country;variable;percentile;year;value;age;pop
NI;xlcyux999i;p0p100;1960;8e-10;999;i
NI;xlcyux999i;p0p100;1961;8e-10;999;i
NI;xlcyux999i;p0p100;1962;8e-10;999;i
NI;xlcyux999i;p0p100;1963;8e-10;999;i
NI;xlcyux999i;p0p100;1964;8e-10;999;i
NI;xlcyux999i;p0p100;1965;8e-10;999;i
NI;xlcyux999i;p0p100;1966;8e-10;999;i
NI;xlcyux999i;p0p100;1967;8e-10;999;i
NI;xlcyux999i;p0p100;1968;8e-10;999;i
NI;xlcyux999i;p0p100;1969;8e-10;999;i
NI;xlcyux999i;p0p100;1970;8e-10;999;i
NI;xlcyux999i;p0p100;1971;8e-10;999;i
NI;xlcyux999i;p0p100;1972;9e-10;999;i
NI;xlcyux999i;p0p100;1973;1e-09;999;i
NI;xlcyux999i;p0p100;1974;1.1e-09;999;i
NI;xlcyux999i;p0p100;1975;1.1e-09;999;i
NI;xlcyux999i;p0p100;1976;1.1e-09;999;i
NI;xlcyux999i;p0p100;1977;1.1e-09;999;i
NI;xlcyux999i;p0p100;1978;1.2e-09;999;i
NI;xlcyux999i;p0p100;1979;1.8e-09;999;i
NI;xlcyux999i;p0p100;1980;2e-09;999;i
NI;xlcyux999i;p0p100;1981;1.7e-09;999;i
NI;xlcyux999i;p0p100;1982;1.6e-09;999;i
NI;xlcyux999i;p0p100;1983;1.5e-09;999;i
NI;xlcyux999i;p0p100;1984;1.3e-09;999;i
NI;xlcyux999i;p0p100;1985;2.6e-09;999;i
NI;xlcyux999i;p0p100;1986;5.6e-09;999;i
NI;xlcyux999i;p0p100;1987;5.5e-09;999;i
NI;xlcyux999i;p0p100;1988;1.44935e-05;999;i
NI;xlcyux999i;p0p100;1989;0.0008315564;999;i
NI;xlcyux999i;p0p100;1990;0.029461902;999;i
NI;xlcyux999i;p0p100;1991;0.80227584;999;i
NI;xlcyux999i;p0p100;1992;0.90668541;999;i
NI;xlcyux999i;p0p100;1993;0.97543377;999;i
NI;xlcyux999i;p0p100;1994;0.78002965;999;i
NI;xlcyux999i;p0p100;1995;0.90351039;999;i
NI;xlcyux999i;p0p100;1996;1.0145926;999;i
NI;xlcyux999i;p0p100;1997;1.1397215;999;i
NI;xlcyux999i;p0p100;1998;1.2781701;999;i
NI;xlcyux999i;p0p100;1999;1.4265394;999;i
NI;xlcyux999i;p0p100;2000;1.5322082;999;i
NI;xlcyux999i;p0p100;2001;1.6155409;999;i
NI;xlcyux999i;p0p100;2002;1.7218072;999;i
NI;xlcyux999i;p0p100;2003;1.8248854;999;i
NI;xlcyux999i;p0p100;2004;1.9255322;999;i
NI;xlcyux999i;p0p100;2005;2.0420651;999;i
NI;xlcyux999i;p0p100;2006;2.2035661;999;i
NI;xlcyux999i;p0p100;2007;2.4250314;999;i
NI;xlcyux999i;p0p100;2008;2.7878628;999;i
NI;xlcyux999i;p0p100;2009;2.9773448;999;i
NI;xlcyux999i;p0p100;2010;3.1544461;999;i
NI;xlcyux999i;p0p100;2011;3.4704642;999;i
NI;xlcyux999i;p0p100;2012;3.7302635;999;i
NI;xlcyux999i;p0p100;2013;3.9902725;999;i
NI;xlcyux999i;p0p100;2014;4.2254705;999;i
NI;xlcyux999i;p0p100;2015;4.3768601;999;i
NI;xlcyux999i;p0p100;2016;4.3074808;999;i
NI;xlcyux999i;p0p100;2017;4.4462242;999;i
NI;xlcyux999i;p0p100;2018;4.8104472;999;i
NI;xlcyup999i;p0p100;1960;5e-10;999;i
NI;xlcyup999i;p0p100;1961;4e-10;999;i
NI;xlcyup999i;p0p100;1962;5e-10;999;i
NI;xlcyup999i;p0p100;1963;5e-10;999;i
NI;xlcyup999i;p0p100;1964;5e-10;999;i
NI;xlcyup999i;p0p100;1965;5e-10;999;i
NI;xlcyup999i;p0p100;1966;5e-10;999;i
NI;xlcyup999i;p0p100;1967;5e-10;999;i
NI;xlcyup999i;p0p100;1968;5e-10;999;i
NI;xlcyup999i;p0p100;1969;5e-10;999;i
NI;xlcyup999i;p0p100;1970;5e-10;999;i
NI;xlcyup999i;p0p100;1971;5e-10;999;i
NI;xlcyup999i;p0p100;1972;5e-10;999;i
NI;xlcyup999i;p0p100;1973;6e-10;999;i
NI;xlcyup999i;p0p100;1974;8e-10;999;i
NI;xlcyup999i;p0p100;1975;8e-10;999;i
NI;xlcyup999i;p0p100;1976;8e-10;999;i
NI;xlcyup999i;p0p100;1977;9e-10;999;i
NI;xlcyup999i;p0p100;1978;9e-10;999;i
NI;xlcyup999i;p0p100;1979;1.2e-09;999;i
NI;xlcyup999i;p0p100;1980;1.6e-09;999;i
NI;xlcyup999i;p0p100;1981;1.6e-09;999;i
NI;xlcyup999i;p0p100;1982;1.9e-09;999;i
NI;xlcyup999i;p0p100;1983;2.1e-09;999;i
NI;xlcyup999i;p0p100;1984;2.9e-09;999;i
NI;xlcyup999i;p0p100;1985;7.6e-09;999;i
NI;xlcyup999i;p0p100;1986;2.75e-08;999;i
NI;xlcyup999i;p0p100;1987;1.599e-07;999;i
NI;xlcyup999i;p0p100;1988;1.89685e-05;999;i
NI;xlcyup999i;p0p100;1989;0.0007686928;999;i
NI;xlcyup999i;p0p100;1990;0.051508289;999;i
NI;xlcyup999i;p0p100;1991;1.5501698;999;i
NI;xlcyup999i;p0p100;1992;1.7499992;999;i
NI;xlcyup999i;p0p100;1993;1.6604859;999;i
NI;xlcyup999i;p0p100;1994;1.4125266;999;i
NI;xlcyup999i;p0p100;1995;1.337442;999;i
NI;xlcyup999i;p0p100;1996;1.3273196;999;i
NI;xlcyup999i;p0p100;1997;1.368349;999;i
NI;xlcyup999i;p0p100;1998;1.5491146;999;i
NI;xlcyup999i;p0p100;1999;1.6729237;999;i
NI;xlcyup999i;p0p100;2000;1.7011606;999;i
NI;xlcyup999i;p0p100;2001;1.7922461;999;i
NI;xlcyup999i;p0p100;2002;1.8495134;999;i
NI;xlcyup999i;p0p100;2003;1.8831106;999;i
