country;variable;percentile;year;value;age;pop
NP;xlcyux999i;p0p100;1960;3.0465403;999;i
NP;xlcyux999i;p0p100;1961;3.0948787;999;i
NP;xlcyux999i;p0p100;1962;3.0948787;999;i
NP;xlcyux999i;p0p100;1963;3.0948787;999;i
NP;xlcyux999i;p0p100;1964;3.0948787;999;i
NP;xlcyux999i;p0p100;1965;3.0948787;999;i
NP;xlcyux999i;p0p100;1966;3.0941679;999;i
NP;xlcyux999i;p0p100;1967;3.2635214;999;i
NP;xlcyux999i;p0p100;1968;4.1128292;999;i
NP;xlcyux999i;p0p100;1969;4.1128292;999;i
NP;xlcyux999i;p0p100;1970;4.1128292;999;i
NP;xlcyux999i;p0p100;1971;4.1128311;999;i
NP;xlcyux999i;p0p100;1972;4.5098886;999;i
NP;xlcyux999i;p0p100;1973;5.2780161;999;i
NP;xlcyux999i;p0p100;1974;5.3847136;999;i
NP;xlcyux999i;p0p100;1975;5.9160638;999;i
NP;xlcyux999i;p0p100;1976;6.438602;999;i
NP;xlcyux999i;p0p100;1977;6.7283039;999;i
NP;xlcyux999i;p0p100;1978;7.1932621;999;i
NP;xlcyux999i;p0p100;1979;7.7173448;999;i
NP;xlcyux999i;p0p100;1980;8.0086174;999;i
NP;xlcyux999i;p0p100;1981;7.2373314;999;i
NP;xlcyux999i;p0p100;1982;6.9979086;999;i
NP;xlcyux999i;p0p100;1983;7.3621674;999;i
NP;xlcyux999i;p0p100;1984;7.094449;999;i
NP;xlcyux999i;p0p100;1985;6.213326;999;i
NP;xlcyux999i;p0p100;1986;6.1485996;999;i
NP;xlcyux999i;p0p100;1987;5.8620582;999;i
NP;xlcyux999i;p0p100;1988;6.2570186;999;i
NP;xlcyux999i;p0p100;1989;7.221262;999;i
NP;xlcyux999i;p0p100;1990;6.1400561;999;i
NP;xlcyux999i;p0p100;1991;6.9983582;999;i
NP;xlcyux999i;p0p100;1992;7.7462668;999;i
NP;xlcyux999i;p0p100;1993;8.4358759;999;i
