country;variable;percentile;year;value;age;pop
NR;xlcyux999i;p0p100;1960;0.36268333;999;i
NR;xlcyux999i;p0p100;1961;0.36268333;999;i
NR;xlcyux999i;p0p100;1962;0.36268333;999;i
NR;xlcyux999i;p0p100;1963;0.36268333;999;i
NR;xlcyux999i;p0p100;1964;0.36268333;999;i
NR;xlcyux999i;p0p100;1965;0.36268333;999;i
NR;xlcyux999i;p0p100;1966;0.36268333;999;i
NR;xlcyux999i;p0p100;1967;0.36268333;999;i
NR;xlcyux999i;p0p100;1968;0.36268333;999;i
NR;xlcyux999i;p0p100;1969;0.36268333;999;i
NR;xlcyux999i;p0p100;1970;0.36268333;999;i
NR;xlcyux999i;p0p100;1971;0.35770762;999;i
NR;xlcyux999i;p0p100;1972;0.36488923;999;i
NR;xlcyux999i;p0p100;1973;0.35393003;999;i
NR;xlcyux999i;p0p100;1974;0.35482898;999;i
NR;xlcyux999i;p0p100;1975;0.41072246;999;i
NR;xlcyux999i;p0p100;1976;0.42148843;999;i
NR;xlcyux999i;p0p100;1977;0.4854202;999;i
NR;xlcyux999i;p0p100;1978;0.51892656;999;i
NR;xlcyux999i;p0p100;1979;0.5753544;999;i
NR;xlcyux999i;p0p100;1980;0.58612686;999;i
NR;xlcyux999i;p0p100;1981;0.51052701;999;i
NR;xlcyux999i;p0p100;1982;0.52092004;999;i
NR;xlcyux999i;p0p100;1983;0.56184089;999;i
NR;xlcyux999i;p0p100;1984;0.49116325;999;i
NR;xlcyux999i;p0p100;1985;0.48759332;999;i
NR;xlcyux999i;p0p100;1986;0.43326512;999;i
NR;xlcyux999i;p0p100;1987;0.38370275;999;i
NR;xlcyux999i;p0p100;1988;0.34386724;999;i
NR;xlcyux999i;p0p100;1989;0.33587259;999;i
NR;xlcyux999i;p0p100;1990;0.26782373;999;i
NR;xlcyux999i;p0p100;1991;0.24115375;999;i
NR;xlcyux999i;p0p100;1992;0.24691734;999;i
NR;xlcyux999i;p0p100;1993;0.25521877;999;i
NR;xlcyux999i;p0p100;1994;0.15869494;999;i
NR;xlcyux999i;p0p100;1995;0.16153337;999;i
NR;xlcyux999i;p0p100;1996;0.15369697;999;i
NR;xlcyux999i;p0p100;1997;0.16253436;999;i
NR;xlcyux999i;p0p100;1998;0.19227399;999;i
NR;xlcyux999i;p0p100;1999;0.1872316;999;i
NR;xlcyux999i;p0p100;2000;0.20835003;999;i
NR;xlcyux999i;p0p100;2001;0.23359026;999;i
NR;xlcyux999i;p0p100;2002;0.22237186;999;i
NR;xlcyux999i;p0p100;2003;0.18628819;999;i
NR;xlcyux999i;p0p100;2004;0.1642848;999;i
NR;xlcyux999i;p0p100;2005;0.15980262;999;i
NR;xlcyux999i;p0p100;2006;0.16654967;999;i
NR;xlcyux999i;p0p100;2007;0.15709069;999;i
NR;xlcyux999i;p0p100;2008;0.17156966;999;i
NR;xlcyux999i;p0p100;2009;0.18769003;999;i
NR;xlcyux999i;p0p100;2010;0.16102161;999;i
NR;xlcyux999i;p0p100;2011;0.15003777;999;i
NR;xlcyux999i;p0p100;2012;0.15300225;999;i
NR;xlcyux999i;p0p100;2013;0.16718586;999;i
NR;xlcyux999i;p0p100;2014;0.18057707;999;i
NR;xlcyux999i;p0p100;2015;0.21374431;999;i
NR;xlcyux999i;p0p100;2016;0.20245594;999;i
NR;xlcyux999i;p0p100;2018;0.1980295;999;i
NR;xlcyup999i;p0p100;1970;0.13854033;999;i
NR;xlcyup999i;p0p100;1971;0.14204897;999;i
NR;xlcyup999i;p0p100;1972;0.15213042;999;i
NR;xlcyup999i;p0p100;1973;0.16646206;999;i
NR;xlcyup999i;p0p100;1974;0.19125302;999;i
NR;xlcyup999i;p0p100;1975;0.21586479;999;i
NR;xlcyup999i;p0p100;1976;0.23376194;999;i
NR;xlcyup999i;p0p100;1977;0.25523952;999;i
NR;xlcyup999i;p0p100;1978;0.27016249;999;i
NR;xlcyup999i;p0p100;1979;0.28309995;999;i
NR;xlcyup999i;p0p100;1980;0.2920551;999;i
NR;xlcyup999i;p0p100;1981;0.31614596;999;i
NR;xlcyup999i;p0p100;1982;0.34597954;999;i
NR;xlcyup999i;p0p100;1983;0.36744815;999;i
NR;xlcyup999i;p0p100;1984;0.39196083;999;i
NR;xlcyup999i;p0p100;1985;0.41188833;999;i
NR;xlcyup999i;p0p100;1986;0.42498934;999;i
NR;xlcyup999i;p0p100;1987;0.42961681;999;i
NR;xlcyup999i;p0p100;1988;0.39897585;999;i
NR;xlcyup999i;p0p100;1989;0.3708829;999;i
NR;xlcyup999i;p0p100;1990;0.37172335;999;i
NR;xlcyup999i;p0p100;1991;0.41819328;999;i
NR;xlcyup999i;p0p100;1992;0.43729091;999;i
NR;xlcyup999i;p0p100;1993;0.35630313;999;i
NR;xlcyup999i;p0p100;1994;0.27857029;999;i
NR;xlcyup999i;p0p100;1995;0.23940516;999;i
NR;xlcyup999i;p0p100;1996;0.22784281;999;i
NR;xlcyup999i;p0p100;1997;0.22465286;999;i
NR;xlcyup999i;p0p100;1998;0.23499182;999;i
NR;xlcyup999i;p0p100;1999;0.24657601;999;i
NR;xlcyup999i;p0p100;2000;0.24359915;999;i
NR;xlcyup999i;p0p100;2001;0.25281838;999;i
NR;xlcyup999i;p0p100;2002;0.26720613;999;i
NR;xlcyup999i;p0p100;2003;0.27281085;999;i
NR;xlcyup999i;p0p100;2004;0.26843506;999;i
NR;xlcyup999i;p0p100;2005;0.29186699;999;i
NR;xlcyup999i;p0p100;2006;0.28180858;999;i
NR;xlcyup999i;p0p100;2007;0.22577681;999;i
NR;xlcyup999i;p0p100;2008;0.27205482;999;i
NR;xlcyup999i;p0p100;2009;0.31659755;999;i
NR;xlcyup999i;p0p100;2010;0.27534789;999;i
NR;xlcyup999i;p0p100;2011;0.28490755;999;i
NR;xlcyup999i;p0p100;2012;0.25249612;999;i
