country;variable;percentile;year;value;age;pop
NZ;sfiinc992t;p99.5p100;1921;0.0781812794;992;t
NZ;sfiinc992t;p99.5p100;1922;0.0722355657;992;t
NZ;sfiinc992t;p99.5p100;1923;0.0753828374;992;t
NZ;sfiinc992t;p99.5p100;1924;0.0750664449;992;t
NZ;sfiinc992t;p99.5p100;1925;0.0760421102;992;t
NZ;sfiinc992t;p99.5p100;1926;0.0736471447;992;t
NZ;sfiinc992t;p99.5p100;1927;0.0719654188;992;t
NZ;sfiinc992t;p99.5p100;1928;0.0797999514;992;t
NZ;sfiinc992t;p99.5p100;1929;0.0747864432;992;t
NZ;sfiinc992t;p99.5p100;1930;0.0705645115;992;t
NZ;sfiinc992t;p99.5p100;1933;0.073905447;992;t
NZ;sfiinc992t;p99.5p100;1934;0.069637202;992;t
NZ;sfiinc992t;p99.5p100;1935;0.0692919563;992;t
NZ;sfiinc992t;p99.5p100;1936;0.0728082541;992;t
NZ;sfiinc992t;p99.5p100;1937;0.0548476717;992;t
NZ;sfiinc992t;p99.5p100;1938;0.0478640675;992;t
NZ;sfiinc992t;p99.5p100;1939;0.051457803;992;t
NZ;sfiinc992t;p99.5p100;1940;0.0483154068;992;t
NZ;sfiinc992t;p99.5p100;1945;0.0449462879;992;t
NZ;sfiinc992t;p99.5p100;1946;0.0489997541;992;t
NZ;sfiinc992t;p99.5p100;1947;0.0503167669;992;t
NZ;sfiinc992t;p99.5p100;1948;0.0508765266;992;t
NZ;sfiinc992t;p99.5p100;1949;0.052611437;992;t
NZ;sfiinc992t;p99.5p100;1950;0.0616606141;992;t
NZ;sfiinc992t;p99.5p100;1951;0.051134234;992;t
NZ;sfiinc992t;p99.5p100;1952;0.0510637451;992;t
NZ;sfiinc992t;p95p99;1921;0.1404107935;992;t
NZ;sfiinc992t;p95p99;1922;0.1337157931;992;t
NZ;sfiinc992t;p95p99;1923;0.1377440698;992;t
NZ;sfiinc992t;p95p99;1924;0.1358707992;992;t
NZ;sfiinc992t;p95p99;1925;0.1407369734;992;t
NZ;sfiinc992t;p95p99;1926;0.1433547613;992;t
NZ;sfiinc992t;p95p99;1927;0.1434159761;992;t
NZ;sfiinc992t;p95p99;1928;0.139494084;992;t
NZ;sfiinc992t;p95p99;1929;0.1449201132;992;t
NZ;sfiinc992t;p95p99;1930;0.1559791728;992;t
NZ;sfiinc992t;p95p99;1933;0.1513640278;992;t
NZ;sfiinc992t;p95p99;1934;0.1521720755;992;t
NZ;sfiinc992t;p95p99;1935;0.1428690354;992;t
NZ;sfiinc992t;p95p99;1936;0.1348884512;992;t
NZ;sfiinc992t;p95p99;1937;0.1218277059;992;t
NZ;sfiinc992t;p95p99;1938;0.1114686334;992;t
NZ;sfiinc992t;p95p99;1939;0.1207631533;992;t
NZ;sfiinc992t;p95p99;1940;0.1174344837;992;t
NZ;sfiinc992t;p95p99;1945;0.1019906547;992;t
NZ;sfiinc992t;p95p99;1946;0.1104083061;992;t
NZ;sfiinc992t;p95p99;1947;0.1182403294;992;t
NZ;sfiinc992t;p95p99;1948;0.1193007216;992;t
NZ;sfiinc992t;p95p99;1949;0.1230255229;992;t
NZ;sfiinc992t;p95p99;1950;0.1315259228;992;t
NZ;sfiinc992t;p95p99;1951;0.1222959364;992;t
NZ;sfiinc992t;p95p99;1952;0.1264684794;992;t
NZ;sfiinc992t;p95p100;1921;0.2538584467;992;t
NZ;sfiinc992t;p95p100;1922;0.2383892619;992;t
NZ;sfiinc992t;p95p100;1923;0.2471826251;992;t
NZ;sfiinc992t;p95p100;1924;0.2447242438;992;t
NZ;sfiinc992t;p95p100;1925;0.251554449;992;t
NZ;sfiinc992t;p95p100;1926;0.2517534608;992;t
NZ;sfiinc992t;p95p100;1927;0.2498524005;992;t
NZ;sfiinc992t;p95p100;1928;0.254174253;992;t
NZ;sfiinc992t;p95p100;1929;0.254815379;992;t
NZ;sfiinc992t;p95p100;1930;0.2616621526;992;t
NZ;sfiinc992t;p95p100;1933;0.2599355602;992;t
NZ;sfiinc992t;p95p100;1934;0.2564031159;992;t
NZ;sfiinc992t;p95p100;1935;0.2464779975;992;t
NZ;sfiinc992t;p95p100;1936;0.2415204838;992;t
NZ;sfiinc992t;p95p100;1937;0.2051398106;992;t
NZ;sfiinc992t;p95p100;1938;0.1846819346;992;t
NZ;sfiinc992t;p95p100;1939;0.199224878;992;t
NZ;sfiinc992t;p95p100;1940;0.191605508;992;t
NZ;sfiinc992t;p95p100;1945;0.1707966257;992;t
NZ;sfiinc992t;p95p100;1946;0.1854358661;992;t
NZ;sfiinc992t;p95p100;1947;0.1954135104;992;t
NZ;sfiinc992t;p95p100;1948;0.1966680751;992;t
NZ;sfiinc992t;p95p100;1949;0.2032012824;992;t
NZ;sfiinc992t;p95p100;1950;0.2258953095;992;t
NZ;sfiinc992t;p95p100;1951;0.2011235039;992;t
NZ;sfiinc992t;p95p100;1952;0.2058989685;992;t
NZ;sfiinc992t;p90p95;1924;0.0925537959;992;t
NZ;sfiinc992t;p90p95;1925;0.0981928549;992;t
NZ;sfiinc992t;p90p95;1926;0.1055785002;992;t
NZ;sfiinc992t;p90p95;1927;0.1070454805;992;t
