country;variable;percentile;year;value;age;pop
PA;xlcyux999i;p0p100;1960;0.40620536;999;i
PA;xlcyux999i;p0p100;1961;0.40620536;999;i
PA;xlcyux999i;p0p100;1962;0.40620536;999;i
PA;xlcyux999i;p0p100;1963;0.40620536;999;i
PA;xlcyux999i;p0p100;1964;0.40620536;999;i
PA;xlcyux999i;p0p100;1965;0.40620536;999;i
PA;xlcyux999i;p0p100;1966;0.40620536;999;i
PA;xlcyux999i;p0p100;1967;0.40620536;999;i
PA;xlcyux999i;p0p100;1968;0.40620536;999;i
PA;xlcyux999i;p0p100;1969;0.40620536;999;i
PA;xlcyux999i;p0p100;1970;0.40620536;999;i
PA;xlcyux999i;p0p100;1971;0.40620536;999;i
PA;xlcyux999i;p0p100;1972;0.44542113;999;i
PA;xlcyux999i;p0p100;1973;0.50266021;999;i
PA;xlcyux999i;p0p100;1974;0.50991607;999;i
PA;xlcyux999i;p0p100;1975;0.53768545;999;i
PA;xlcyux999i;p0p100;1976;0.51508814;999;i
PA;xlcyux999i;p0p100;1977;0.53826427;999;i
PA;xlcyux999i;p0p100;1978;0.59396905;999;i
PA;xlcyux999i;p0p100;1979;0.64311206;999;i
PA;xlcyux999i;p0p100;1980;0.66738474;999;i
PA;xlcyux999i;p0p100;1981;0.58666795;999;i
PA;xlcyux999i;p0p100;1982;0.52838993;999;i
PA;xlcyux999i;p0p100;1983;0.50615615;999;i
PA;xlcyux999i;p0p100;1984;0.43102676;999;i
PA;xlcyux999i;p0p100;1985;0.34052309;999;i
PA;xlcyux999i;p0p100;1986;0.28962073;999;i
PA;xlcyux999i;p0p100;1987;0.26866552;999;i
PA;xlcyux999i;p0p100;1988;0.26866552;999;i
PA;xlcyux999i;p0p100;1989;0.2655966;999;i
PA;xlcyux999i;p0p100;1990;0.20906469;999;i
PA;xlcyux999i;p0p100;1991;0.18785018;999;i
PA;xlcyux999i;p0p100;1992;0.18133709;999;i
PA;xlcyux999i;p0p100;1993;0.17355211;999;i
PA;xlcyux999i;p0p100;1994;0.1160262;999;i
PA;xlcyux999i;p0p100;1995;0.11974017;999;i
PA;xlcyux999i;p0p100;1996;0.12027652;999;i
PA;xlcyux999i;p0p100;1997;0.12062993;999;i
PA;xlcyux999i;p0p100;1998;0.12078814;999;i
PA;xlcyux999i;p0p100;1999;0.12079848;999;i
PA;xlcyux999i;p0p100;2000;0.12079477;999;i
PA;xlcyux999i;p0p100;2001;0.12081572;999;i
PA;xlcyux999i;p0p100;2002;0.12081734;999;i
PA;xlcyux999i;p0p100;2003;0.12081619;999;i
PA;xlcyux999i;p0p100;2004;0.12081962;999;i
PA;xlcyux999i;p0p100;2005;0.1220358;999;i
PA;xlcyux999i;p0p100;2006;0.12541641;999;i
PA;xlcyux999i;p0p100;2007;0.13144867;999;i
PA;xlcyux999i;p0p100;2008;0.14391275;999;i
PA;xlcyux999i;p0p100;2009;0.14638254;999;i
PA;xlcyux999i;p0p100;2010;0.14770462;999;i
PA;xlcyux999i;p0p100;2011;0.15476374;999;i
PA;xlcyux999i;p0p100;2012;0.15842004;999;i
PA;xlcyux999i;p0p100;2013;0.16140075;999;i
PA;xlcyux999i;p0p100;2014;0.16277541;999;i
PA;xlcyux999i;p0p100;2015;0.16057837;999;i
PA;xlcyux999i;p0p100;2016;0.15050091;999;i
PA;xlcyux999i;p0p100;2017;0.14795624;999;i
PA;xlcyux999i;p0p100;2018;0.15344241;999;i
PA;xlcyup999i;p0p100;1960;0.40101093;999;i
PA;xlcyup999i;p0p100;1961;0.32701418;999;i
PA;xlcyup999i;p0p100;1962;0.37135786;999;i
PA;xlcyup999i;p0p100;1963;0.40466288;999;i
PA;xlcyup999i;p0p100;1964;0.40483966;999;i
PA;xlcyup999i;p0p100;1965;0.38113818;999;i
PA;xlcyup999i;p0p100;1966;0.38267899;999;i
PA;xlcyup999i;p0p100;1967;0.38220313;999;i
PA;xlcyup999i;p0p100;1968;0.38048682;999;i
PA;xlcyup999i;p0p100;1969;0.38648951;999;i
PA;xlcyup999i;p0p100;1970;0.39156139;999;i
PA;xlcyup999i;p0p100;1971;0.39045963;999;i
PA;xlcyup999i;p0p100;1972;0.40907863;999;i
PA;xlcyup999i;p0p100;1973;0.43555379;999;i
PA;xlcyup999i;p0p100;1974;0.48208153;999;i
PA;xlcyup999i;p0p100;1975;0.52511442;999;i
PA;xlcyup999i;p0p100;1976;0.52684206;999;i
PA;xlcyup999i;p0p100;1977;0.54535979;999;i
PA;xlcyup999i;p0p100;1978;0.57503909;999;i
PA;xlcyup999i;p0p100;1979;0.60101986;999;i
PA;xlcyup999i;p0p100;1980;0.62498981;999;i
PA;xlcyup999i;p0p100;1981;0.63711429;999;i
PA;xlcyup999i;p0p100;1982;0.64065075;999;i
PA;xlcyup999i;p0p100;1983;0.67612487;999;i
PA;xlcyup999i;p0p100;1984;0.70883089;999;i
PA;xlcyup999i;p0p100;1985;0.70284486;999;i
PA;xlcyup999i;p0p100;1986;0.67366654;999;i
PA;xlcyup999i;p0p100;1987;0.63028139;999;i
PA;xlcyup999i;p0p100;1988;0.54219091;999;i
PA;xlcyup999i;p0p100;1989;0.45162269;999;i
PA;xlcyup999i;p0p100;1990;0.40084207;999;i
PA;xlcyup999i;p0p100;1991;0.38845193;999;i
PA;xlcyup999i;p0p100;1992;0.37255171;999;i
PA;xlcyup999i;p0p100;1993;0.3040514;999;i
PA;xlcyup999i;p0p100;1994;0.24882528;999;i
PA;xlcyup999i;p0p100;1995;0.20874244;999;i
PA;xlcyup999i;p0p100;1996;0.18953505;999;i
PA;xlcyup999i;p0p100;1997;0.18084647;999;i
PA;xlcyup999i;p0p100;1998;0.18133706;999;i
PA;xlcyup999i;p0p100;1999;0.18080963;999;i
PA;xlcyup999i;p0p100;2000;0.16723108;999;i
PA;xlcyup999i;p0p100;2001;0.16598336;999;i
PA;xlcyup999i;p0p100;2002;0.16866876;999;i
PA;xlcyup999i;p0p100;2003;0.16488524;999;i
PA;xlcyup999i;p0p100;2004;0.15766688;999;i
PA;xlcyup999i;p0p100;2005;0.15388919;999;i
PA;xlcyup999i;p0p100;2006;0.15197387;999;i
PA;xlcyup999i;p0p100;2007;0.15418625;999;i
PA;xlcyup999i;p0p100;2008;0.15379021;999;i
PA;xlcyup999i;p0p100;2009;0.16611715;999;i
PA;xlcyup999i;p0p100;2010;0.1594027;999;i
PA;xlcyup999i;p0p100;2011;0.15611649;999;i
PA;xlcyup999i;p0p100;2012;0.16331331;999;i
PA;xlcyup999i;p0p100;2013;0.16903514;999;i
PA;xlcyup999i;p0p100;2014;0.1753204;999;i
PA;xlcyup999i;p0p100;2015;0.18178394;999;i
PA;xlcyup999i;p0p100;2016;0.18544783;999;i
PA;xlcyup999i;p0p100;2017;0.18940046;999;i
PA;xlcyup999i;p0p100;2018;0.19197913;999;i
PA;xlcusx999i;p0p100;1960;1.0;999;i
PA;xlcusx999i;p0p100;1961;1.0;999;i
PA;xlcusx999i;p0p100;1962;1.0;999;i
PA;xlcusx999i;p0p100;1963;1.0;999;i
PA;xlcusx999i;p0p100;1964;1.0;999;i
PA;xlcusx999i;p0p100;1965;1.0;999;i
PA;xlcusx999i;p0p100;1966;1.0;999;i
PA;xlcusx999i;p0p100;1967;1.0;999;i
PA;xlcusx999i;p0p100;1968;1.0;999;i
PA;xlcusx999i;p0p100;1969;1.0;999;i
PA;xlcusx999i;p0p100;1970;1.0;999;i
PA;xlcusx999i;p0p100;1971;1.0;999;i
PA;xlcusx999i;p0p100;1972;1.0;999;i
PA;xlcusx999i;p0p100;1973;1.0;999;i
PA;xlcusx999i;p0p100;1974;1.0;999;i
PA;xlcusx999i;p0p100;1975;1.0;999;i
PA;xlcusx999i;p0p100;1976;1.0;999;i
PA;xlcusx999i;p0p100;1977;1.0;999;i
PA;xlcusx999i;p0p100;1978;1.0;999;i
PA;xlcusx999i;p0p100;1979;1.0;999;i
PA;xlcusx999i;p0p100;1980;1.0;999;i
PA;xlcusx999i;p0p100;1981;1.0;999;i
PA;xlcusx999i;p0p100;1982;1.0;999;i
PA;xlcusx999i;p0p100;1983;1.0;999;i
PA;xlcusx999i;p0p100;1984;1.0;999;i
PA;xlcusx999i;p0p100;1985;1.0;999;i
PA;xlcusx999i;p0p100;1986;1.0;999;i
PA;xlcusx999i;p0p100;1987;1.0;999;i
PA;xlcusx999i;p0p100;1988;1.0;999;i
PA;xlcusx999i;p0p100;1989;1.0;999;i
