country;variable;percentile;year;value;age;pop
PG;xlcyux999i;p0p100;1960;0.36268333;999;i
PG;xlcyux999i;p0p100;1961;0.36268333;999;i
PG;xlcyux999i;p0p100;1962;0.36268333;999;i
PG;xlcyux999i;p0p100;1963;0.36268333;999;i
PG;xlcyux999i;p0p100;1964;0.36268333;999;i
PG;xlcyux999i;p0p100;1965;0.36268333;999;i
PG;xlcyux999i;p0p100;1966;0.36268333;999;i
PG;xlcyux999i;p0p100;1967;0.36268333;999;i
PG;xlcyux999i;p0p100;1968;0.36268333;999;i
PG;xlcyux999i;p0p100;1969;0.36268333;999;i
PG;xlcyux999i;p0p100;1970;0.36268333;999;i
PG;xlcyux999i;p0p100;1971;0.35858116;999;i
PG;xlcyux999i;p0p100;1972;0.37194398;999;i
PG;xlcyux999i;p0p100;1973;0.35393003;999;i
PG;xlcyux999i;p0p100;1974;0.35524112;999;i
PG;xlcyux999i;p0p100;1975;0.41073433;999;i
PG;xlcyux999i;p0p100;1976;0.40836576;999;i
PG;xlcyux999i;p0p100;1977;0.42598686;999;i
PG;xlcyux999i;p0p100;1978;0.42107949;999;i
PG;xlcyux999i;p0p100;1979;0.45773983;999;i
PG;xlcyux999i;p0p100;1980;0.44777903;999;i
PG;xlcyux999i;p0p100;1981;0.39480847;999;i
PG;xlcyux999i;p0p100;1982;0.39019397;999;i
PG;xlcyux999i;p0p100;1983;0.42322034;999;i
PG;xlcyux999i;p0p100;1984;0.38729978;999;i
PG;xlcyux999i;p0p100;1985;0.34063005;999;i
PG;xlcyux999i;p0p100;1986;0.28134167;999;i
PG;xlcyux999i;p0p100;1987;0.24392121;999;i
PG;xlcyux999i;p0p100;1988;0.23294713;999;i
PG;xlcyux999i;p0p100;1989;0.2280937;999;i
PG;xlcyux999i;p0p100;1990;0.19965678;999;i
PG;xlcyux999i;p0p100;1991;0.17877872;999;i
PG;xlcyux999i;p0p100;1992;0.17492923;999;i
PG;xlcyux999i;p0p100;1993;0.16976462;999;i
PG;xlcyux999i;p0p100;1994;0.11734194;999;i
PG;xlcyux999i;p0p100;1995;0.15324846;999;i
PG;xlcyux999i;p0p100;1996;0.15865375;999;i
PG;xlcyux999i;p0p100;1997;0.17346242;999;i
PG;xlcyux999i;p0p100;1998;0.2504653;999;i
PG;xlcyux999i;p0p100;1999;0.31054541;999;i
PG;xlcyux999i;p0p100;2000;0.33606997;999;i
PG;xlcyux999i;p0p100;2001;0.40941006;999;i
PG;xlcyux999i;p0p100;2002;0.4706102;999;i
PG;xlcyux999i;p0p100;2003;0.4305228;999;i
PG;xlcyux999i;p0p100;2004;0.38934609;999;i
PG;xlcyux999i;p0p100;2005;0.37854892;999;i
PG;xlcyux999i;p0p100;2006;0.38336471;999;i
PG;xlcyux999i;p0p100;2007;0.38979074;999;i
PG;xlcyux999i;p0p100;2008;0.3885771;999;i
PG;xlcyux999i;p0p100;2009;0.40330487;999;i
PG;xlcyux999i;p0p100;2010;0.40165231;999;i
PG;xlcyux999i;p0p100;2011;0.3669402;999;i
PG;xlcyux999i;p0p100;2012;0.33009169;999;i
PG;xlcyux999i;p0p100;2013;0.36226556;999;i
PG;xlcyux999i;p0p100;2014;0.40065295;999;i
PG;xlcyux999i;p0p100;2015;0.44454706;999;i
PG;xlcyux999i;p0p100;2016;0.47152376;999;i
PG;xlcyux999i;p0p100;2017;0.47180164;999;i
PG;xlcyux999i;p0p100;2018;0.48395503;999;i
PG;xlcyup999i;p0p100;1960;0.32770178;999;i
PG;xlcyup999i;p0p100;1961;0.2659069;999;i
PG;xlcyup999i;p0p100;1962;0.30110833;999;i
PG;xlcyup999i;p0p100;1963;0.32621491;999;i
PG;xlcyup999i;p0p100;1964;0.3234238;999;i
PG;xlcyup999i;p0p100;1965;0.30936557;999;i
PG;xlcyup999i;p0p100;1966;0.32927272;999;i
PG;xlcyup999i;p0p100;1967;0.34799716;999;i
PG;xlcyup999i;p0p100;1968;0.3625744;999;i
PG;xlcyup999i;p0p100;1969;0.38186559;999;i
PG;xlcyup999i;p0p100;1970;0.39521462;999;i
PG;xlcyup999i;p0p100;1971;0.40652719;999;i
PG;xlcyup999i;p0p100;1972;0.4345558;999;i
PG;xlcyup999i;p0p100;1973;0.53219831;999;i
PG;xlcyup999i;p0p100;1974;0.57894075;999;i
PG;xlcyup999i;p0p100;1975;0.58202064;999;i
PG;xlcyup999i;p0p100;1976;0.64295161;999;i
PG;xlcyup999i;p0p100;1977;0.73123032;999;i
PG;xlcyup999i;p0p100;1978;0.7159031;999;i
PG;xlcyup999i;p0p100;1979;0.77497745;999;i
PG;xlcyup999i;p0p100;1980;0.78021491;999;i
PG;xlcyup999i;p0p100;1981;0.7593413;999;i
PG;xlcyup999i;p0p100;1982;0.77275419;999;i
PG;xlcyup999i;p0p100;1983;0.83389223;999;i
PG;xlcyup999i;p0p100;1984;0.90753978;999;i
PG;xlcyup999i;p0p100;1985;0.90110403;999;i
PG;xlcyup999i;p0p100;1986;0.86560732;999;i
PG;xlcyup999i;p0p100;1987;0.87355155;999;i
PG;xlcyup999i;p0p100;1988;0.81536734;999;i
PG;xlcyup999i;p0p100;1989;0.67056227;999;i
PG;xlcyup999i;p0p100;1990;0.61618567;999;i
PG;xlcyup999i;p0p100;1991;0.63588405;999;i
PG;xlcyup999i;p0p100;1992;0.58545125;999;i
PG;xlcyup999i;p0p100;1993;0.44988817;999;i
PG;xlcyup999i;p0p100;1994;0.37060785;999;i
PG;xlcyup999i;p0p100;1995;0.36845481;999;i
PG;xlcyup999i;p0p100;1996;0.34327045;999;i
PG;xlcyup999i;p0p100;1997;0.35862973;999;i
PG;xlcyup999i;p0p100;1998;0.37491378;999;i
PG;xlcyup999i;p0p100;1999;0.4117119;999;i
PG;xlcyup999i;p0p100;2000;0.43597037;999;i
PG;xlcyup999i;p0p100;2001;0.45754731;999;i
PG;xlcyup999i;p0p100;2002;0.51196295;999;i
PG;xlcyup999i;p0p100;2003;0.52876318;999;i
PG;xlcyup999i;p0p100;2004;0.50118876;999;i
PG;xlcyup999i;p0p100;2005;0.51880288;999;i
PG;xlcyup999i;p0p100;2006;0.54908341;999;i
PG;xlcyup999i;p0p100;2007;0.51242983;999;i
PG;xlcyup999i;p0p100;2008;0.53076953;999;i
PG;xlcyup999i;p0p100;2009;0.51220423;999;i
PG;xlcyup999i;p0p100;2010;0.52660573;999;i
PG;xlcyup999i;p0p100;2011;0.53031355;999;i
PG;xlcyup999i;p0p100;2012;0.51950043;999;i
PG;xlcyup999i;p0p100;2013;0.52792037;999;i
PG;xlcyup999i;p0p100;2014;0.55597049;999;i
PG;xlcyup999i;p0p100;2015;0.58739364;999;i
PG;xlcyup999i;p0p100;2016;0.6298191;999;i
PG;xlcyup999i;p0p100;2017;0.67060095;999;i
PG;xlcyup999i;p0p100;2018;0.73084217;999;i
PG;xlcusx999i;p0p100;1960;0.89285702;999;i
PG;xlcusx999i;p0p100;1961;0.89285702;999;i
PG;xlcusx999i;p0p100;1962;0.89285702;999;i
PG;xlcusx999i;p0p100;1963;0.89285702;999;i
PG;xlcusx999i;p0p100;1964;0.89285702;999;i
PG;xlcusx999i;p0p100;1965;0.89285702;999;i
PG;xlcusx999i;p0p100;1966;0.89285702;999;i
PG;xlcusx999i;p0p100;1967;0.89285702;999;i
PG;xlcusx999i;p0p100;1968;0.89285702;999;i
PG;xlcusx999i;p0p100;1969;0.89285702;999;i
PG;xlcusx999i;p0p100;1970;0.89285702;999;i
PG;xlcusx999i;p0p100;1971;0.88275826;999;i
PG;xlcusx999i;p0p100;1972;0.83503896;999;i
PG;xlcusx999i;p0p100;1973;0.7041139;999;i
PG;xlcusx999i;p0p100;1974;0.69666588;999;i
PG;xlcusx999i;p0p100;1975;0.76389331;999;i
