country;variable;percentile;year;value;age;pop
PH;xlcyux999i;p0p100;1960;0.8185032;999;i
PH;xlcyux999i;p0p100;1961;0.82053405;999;i
PH;xlcyux999i;p0p100;1962;1.5142734;999;i
PH;xlcyux999i;p0p100;1963;1.5884348;999;i
PH;xlcyux999i;p0p100;1964;1.5882659;999;i
PH;xlcyux999i;p0p100;1965;1.5879271;999;i
PH;xlcyux999i;p0p100;1966;1.584201;999;i
PH;xlcyux999i;p0p100;1967;1.584201;999;i
PH;xlcyux999i;p0p100;1968;1.584201;999;i
PH;xlcyux999i;p0p100;1969;1.584201;999;i
PH;xlcyux999i;p0p100;1970;2.3983786;999;i
PH;xlcyux999i;p0p100;1971;2.6125944;999;i
PH;xlcyux999i;p0p100;1972;2.9731157;999;i
PH;xlcyux999i;p0p100;1973;3.3961146;999;i
PH;xlcyux999i;p0p100;1974;3.4612465;999;i
PH;xlcyux999i;p0p100;1975;3.8970907;999;i
PH;xlcyux999i;p0p100;1976;3.8323889;999;i
PH;xlcyux999i;p0p100;1977;3.9846764;999;i
PH;xlcyux999i;p0p100;1978;4.3750324;999;i
PH;xlcyux999i;p0p100;1979;4.7445917;999;i
PH;xlcyux999i;p0p100;1980;5.0130162;999;i
PH;xlcyux999i;p0p100;1981;4.6344714;999;i
PH;xlcyux999i;p0p100;1982;4.5124502;999;i
PH;xlcyux999i;p0p100;1983;5.6247697;999;i
PH;xlcyux999i;p0p100;1984;7.1975894;999;i
PH;xlcyux999i;p0p100;1985;6.3362298;999;i
PH;xlcyux999i;p0p100;1986;5.9041162;999;i
PH;xlcyux999i;p0p100;1987;5.5258255;999;i
PH;xlcyux999i;p0p100;1988;5.6674123;999;i
PH;xlcyux999i;p0p100;1989;5.7731891;999;i
PH;xlcyux999i;p0p100;1990;5.0824671;999;i
PH;xlcyux999i;p0p100;1991;5.1618662;999;i
PH;xlcyux999i;p0p100;1992;4.6263609;999;i
PH;xlcyux999i;p0p100;1993;4.706706;999;i
PH;xlcyux999i;p0p100;1994;3.0650833;999;i
PH;xlcyux999i;p0p100;1995;3.0790544;999;i
PH;xlcyux999i;p0p100;1996;3.1531813;999;i
PH;xlcyux999i;p0p100;1997;3.5550435;999;i
PH;xlcyux999i;p0p100;1998;4.9393959;999;i
PH;xlcyux999i;p0p100;1999;4.7218895;999;i
PH;xlcyux999i;p0p100;2000;5.3381925;999;i
PH;xlcyux999i;p0p100;2001;6.1607141;999;i
PH;xlcyux999i;p0p100;2002;6.2346053;999;i
PH;xlcyux999i;p0p100;2003;6.5486403;999;i
PH;xlcyux999i;p0p100;2004;6.7707219;999;i
PH;xlcyux999i;p0p100;2005;6.7224021;999;i
PH;xlcyux999i;p0p100;2006;6.4356518;999;i
PH;xlcyux999i;p0p100;2007;6.0661445;999;i
PH;xlcyux999i;p0p100;2008;6.378686;999;i
PH;xlcyux999i;p0p100;2009;6.9794736;999;i
PH;xlcyux999i;p0p100;2010;6.6629057;999;i
PH;xlcyux999i;p0p100;2011;6.7033033;999;i
PH;xlcyux999i;p0p100;2012;6.6898875;999;i
PH;xlcyux999i;p0p100;2013;6.8508458;999;i
PH;xlcyux999i;p0p100;2014;7.2264395;999;i
PH;xlcyux999i;p0p100;2015;7.3067718;999;i
PH;xlcyux999i;p0p100;2016;7.1476588;999;i
PH;xlcyux999i;p0p100;2017;7.4575448;999;i
PH;xlcyux999i;p0p100;2018;7.9964685;999;i
PH;xlcyup999i;p0p100;1960;0.74487436;999;i
PH;xlcyup999i;p0p100;1961;0.62258619;999;i
PH;xlcyup999i;p0p100;1962;0.75072777;999;i
PH;xlcyup999i;p0p100;1963;0.86973232;999;i
PH;xlcyup999i;p0p100;1964;0.88438553;999;i
PH;xlcyup999i;p0p100;1965;0.8603828;999;i
PH;xlcyup999i;p0p100;1966;0.89846677;999;i
PH;xlcyup999i;p0p100;1967;0.89188015;999;i
PH;xlcyup999i;p0p100;1968;0.93947214;999;i
PH;xlcyup999i;p0p100;1969;0.99839765;999;i
PH;xlcyup999i;p0p100;1970;1.1262524;999;i
PH;xlcyup999i;p0p100;1971;1.2481852;999;i
PH;xlcyup999i;p0p100;1972;1.3259658;999;i
PH;xlcyup999i;p0p100;1973;1.5206026;999;i
PH;xlcyup999i;p0p100;1974;2.0000286;999;i
PH;xlcyup999i;p0p100;1975;2.1603;999;i
PH;xlcyup999i;p0p100;1976;2.2463844;999;i
PH;xlcyup999i;p0p100;1977;2.4010901;999;i
PH;xlcyup999i;p0p100;1978;2.5635476;999;i
PH;xlcyup999i;p0p100;1979;2.8087931;999;i
PH;xlcyup999i;p0p100;1980;3.0170076;999;i
PH;xlcyup999i;p0p100;1981;3.3229053;999;i
PH;xlcyup999i;p0p100;1982;3.5625668;999;i
PH;xlcyup999i;p0p100;1983;4.0253091;999;i
PH;xlcyup999i;p0p100;1984;6.2526059;999;i
PH;xlcyup999i;p0p100;1985;7.18648;999;i
PH;xlcyup999i;p0p100;1986;7.0115228;999;i
PH;xlcyup999i;p0p100;1987;7.0448756;999;i
PH;xlcyup999i;p0p100;1988;6.6815376;999;i
PH;xlcyup999i;p0p100;1989;6.1465816;999;i
PH;xlcyup999i;p0p100;1990;6.1284618;999;i
PH;xlcyup999i;p0p100;1991;6.8866286;999;i
PH;xlcyup999i;p0p100;1992;6.7852697;999;i
PH;xlcyup999i;p0p100;1993;5.7129412;999;i
PH;xlcyup999i;p0p100;1994;4.9598861;999;i
PH;xlcyup999i;p0p100;1995;4.4543037;999;i
PH;xlcyup999i;p0p100;1996;4.3421116;999;i
PH;xlcyup999i;p0p100;1997;4.331429;999;i
PH;xlcyup999i;p0p100;1998;4.750071;999;i
PH;xlcyup999i;p0p100;1999;5.0056672;999;i
PH;xlcyup999i;p0p100;2000;4.9562259;999;i
PH;xlcyup999i;p0p100;2001;5.1392188;999;i
PH;xlcyup999i;p0p100;2002;5.3503637;999;i
PH;xlcyup999i;p0p100;2003;5.3374138;999;i
PH;xlcyup999i;p0p100;2004;5.281538;999;i
PH;xlcyup999i;p0p100;2005;5.3616862;999;i
PH;xlcyup999i;p0p100;2006;5.4423704;999;i
PH;xlcyup999i;p0p100;2007;5.2182207;999;i
PH;xlcyup999i;p0p100;2008;5.2058601;999;i
PH;xlcyup999i;p0p100;2009;5.4278421;999;i
PH;xlcyup999i;p0p100;2010;5.2913179;999;i
PH;xlcyup999i;p0p100;2011;5.093008;999;i
PH;xlcyup999i;p0p100;2012;5.1166701;999;i
PH;xlcyup999i;p0p100;2013;5.1222901;999;i
PH;xlcyup999i;p0p100;2014;5.2597184;999;i
PH;xlcyup999i;p0p100;2015;5.2608566;999;i
PH;xlcyup999i;p0p100;2016;5.3829794;999;i
PH;xlcyup999i;p0p100;2017;5.5415993;999;i
PH;xlcyup999i;p0p100;2018;5.7851911;999;i
PH;xlcusx999i;p0p100;1960;2.0149984;999;i
PH;xlcusx999i;p0p100;1961;2.0199981;999;i
PH;xlcusx999i;p0p100;1962;3.7278516;999;i
PH;xlcusx999i;p0p100;1963;3.910423;999;i
PH;xlcusx999i;p0p100;1964;3.9100072;999;i
PH;xlcusx999i;p0p100;1965;3.9091733;999;i
PH;xlcusx999i;p0p100;1966;3.9000001;999;i
PH;xlcusx999i;p0p100;1967;3.9000001;999;i
PH;xlcusx999i;p0p100;1968;3.9000001;999;i
PH;xlcusx999i;p0p100;1969;3.9000001;999;i
PH;xlcusx999i;p0p100;1970;5.9043498;999;i
PH;xlcusx999i;p0p100;1971;6.4317083;999;i
PH;xlcusx999i;p0p100;1972;6.6748419;999;i
PH;xlcusx999i;p0p100;1973;6.7562833;999;i
PH;xlcusx999i;p0p100;1974;6.7878752;999;i
PH;xlcusx999i;p0p100;1975;7.2479;999;i
PH;xlcusx999i;p0p100;1976;7.4402585;999;i
PH;xlcusx999i;p0p100;1977;7.4028249;999;i
PH;xlcusx999i;p0p100;1978;7.3657584;999;i
PH;xlcusx999i;p0p100;1979;7.3775501;999;i
PH;xlcusx999i;p0p100;1980;7.5114331;999;i
PH;xlcusx999i;p0p100;1981;7.8996501;999;i
PH;xlcusx999i;p0p100;1982;8.54;999;i
PH;xlcusx999i;p0p100;1983;11.112717;999;i
PH;xlcusx999i;p0p100;1984;16.698708;999;i
PH;xlcusx999i;p0p100;1985;18.607342;999;i
PH;xlcusx999i;p0p100;1986;20.385683;999;i
PH;xlcusx999i;p0p100;1987;20.567675;999;i
PH;xlcusx999i;p0p100;1988;21.094675;999;i
PH;xlcusx999i;p0p100;1989;21.736683;999;i
PH;xlcusx999i;p0p100;1990;24.310499;999;i
PH;xlcusx999i;p0p100;1991;27.478634;999;i
PH;xlcusx999i;p0p100;1992;25.512491;999;i
PH;xlcusx999i;p0p100;1993;27.119843;999;i
PH;xlcusx999i;p0p100;1994;26.417166;999;i
PH;xlcusx999i;p0p100;1995;25.714466;999;i
PH;xlcusx999i;p0p100;1996;26.216101;999;i
PH;xlcusx999i;p0p100;1997;29.470659;999;i
PH;xlcusx999i;p0p100;1998;40.893051;999;i
PH;xlcusx999i;p0p100;1999;39.088982;999;i
PH;xlcusx999i;p0p100;2000;44.192249;999;i
PH;xlcusx999i;p0p100;2001;50.992649;999;i
PH;xlcusx999i;p0p100;2002;51.603565;999;i
PH;xlcusx999i;p0p100;2003;54.203335;999;i
PH;xlcusx999i;p0p100;2004;56.039917;999;i
PH;xlcusx999i;p0p100;2005;55.085491;999;i
PH;xlcusx999i;p0p100;2006;51.314274;999;i
PH;xlcusx999i;p0p100;2007;46.148392;999;i
PH;xlcusx999i;p0p100;2008;44.323288;999;i
PH;xlcusx999i;p0p100;2009;47.679688;999;i
PH;xlcusx999i;p0p100;2010;45.109665;999;i
PH;xlcusx999i;p0p100;2011;43.313137;999;i
PH;xlcusx999i;p0p100;2012;42.228794;999;i
PH;xlcusx999i;p0p100;2013;42.446186;999;i
PH;xlcusx999i;p0p100;2014;44.395153;999;i
PH;xlcusx999i;p0p100;2015;45.502838;999;i
PH;xlcusx999i;p0p100;2016;47.492462;999;i
PH;xlcusx999i;p0p100;2017;50.403721;999;i
PH;xlcusx999i;p0p100;2018;51.042091;999;i
PH;xlcusp999i;p0p100;1960;1.2645403;999;i
PH;xlcusp999i;p0p100;1961;1.287164;999;i
PH;xlcusp999i;p0p100;1962;1.35653;999;i
PH;xlcusp999i;p0p100;1963;1.4550868;999;i
PH;xlcusp999i;p0p100;1964;1.4960926;999;i
PH;xlcusp999i;p0p100;1965;1.5263803;999;i
PH;xlcusp999i;p0p100;1966;1.5625516;999;i
PH;xlcusp999i;p0p100;1967;1.5475051;999;i
PH;xlcusp999i;p0p100;1968;1.5785111;999;i
PH;xlcusp999i;p0p100;1969;1.5925672;999;i
PH;xlcusp999i;p0p100;1970;1.7413055;999;i
PH;xlcusp999i;p0p100;1971;1.8960663;999;i
PH;xlcusp999i;p0p100;1972;1.9349946;999;i
PH;xlcusp999i;p0p100;1973;2.1443012;999;i
PH;xlcusp999i;p0p100;1974;2.6171131;999;i
PH;xlcusp999i;p0p100;1975;2.6262317;999;i
PH;xlcusp999i;p0p100;1976;2.697299;999;i
PH;xlcusp999i;p0p100;1977;2.7536018;999;i
PH;xlcusp999i;p0p100;1978;2.8161848;999;i
PH;xlcusp999i;p0p100;1979;2.9893377;999;i
PH;xlcusp999i;p0p100;1980;3.1362;999;i
PH;xlcusp999i;p0p100;1981;3.2031438;999;i
PH;xlcusp999i;p0p100;1982;3.2812126;999;i
