country;variable;percentile;year;value;age;pop
PK;xlcyux999i;p0p100;1960;1.9343094;999;i
PK;xlcyux999i;p0p100;1961;1.9343094;999;i
PK;xlcyux999i;p0p100;1962;1.9343094;999;i
PK;xlcyux999i;p0p100;1963;1.9343094;999;i
PK;xlcyux999i;p0p100;1964;1.9343094;999;i
PK;xlcyux999i;p0p100;1965;1.9343094;999;i
PK;xlcyux999i;p0p100;1966;1.9343094;999;i
PK;xlcyux999i;p0p100;1967;1.9343094;999;i
PK;xlcyux999i;p0p100;1968;1.9343094;999;i
PK;xlcyux999i;p0p100;1969;1.9343094;999;i
PK;xlcyux999i;p0p100;1970;1.9343094;999;i
PK;xlcyux999i;p0p100;1971;1.9343094;999;i
PK;xlcyux999i;p0p100;1972;3.8668711;999;i
PK;xlcyux999i;p0p100;1973;5.0237117;999;i
PK;xlcyux999i;p0p100;1974;5.0481687;999;i
PK;xlcyux999i;p0p100;1975;5.3230858;999;i
PK;xlcyux999i;p0p100;1976;5.0993724;999;i
PK;xlcyux999i;p0p100;1977;5.3288164;999;i
PK;xlcyux999i;p0p100;1978;5.8802934;999;i
PK;xlcyux999i;p0p100;1979;6.3668094;999;i
PK;xlcyux999i;p0p100;1980;6.6071091;999;i
PK;xlcyux999i;p0p100;1981;5.8080125;999;i
PK;xlcyux999i;p0p100;1982;6.2600822;999;i
PK;xlcyux999i;p0p100;1983;6.6392374;999;i
PK;xlcyux999i;p0p100;1984;6.0543451;999;i
PK;xlcyux999i;p0p100;1985;5.423985;999;i
PK;xlcyux999i;p0p100;1986;4.8214636;999;i
PK;xlcyux999i;p0p100;1987;4.674458;999;i
PK;xlcyux999i;p0p100;1988;4.836864;999;i
PK;xlcyux999i;p0p100;1989;5.4557505;999;i
PK;xlcyux999i;p0p100;1990;4.5382457;999;i
PK;xlcyux999i;p0p100;1991;4.4709778;999;i
PK;xlcyux999i;p0p100;1992;4.5484405;999;i
PK;xlcyux999i;p0p100;1993;4.8780608;999;i
PK;xlcyux999i;p0p100;1994;3.5465255;999;i
PK;xlcyux999i;p0p100;1995;3.7889001;999;i
PK;xlcyux999i;p0p100;1996;4.3394184;999;i
PK;xlcyux999i;p0p100;1997;4.9592805;999;i
PK;xlcyux999i;p0p100;1998;5.441103;999;i
PK;xlcyux999i;p0p100;1999;5.9796081;999;i
PK;xlcyux999i;p0p100;2000;6.4804201;999;i
PK;xlcyux999i;p0p100;2001;7.4817753;999;i
PK;xlcyux999i;p0p100;2002;7.2156687;999;i
PK;xlcyux999i;p0p100;2003;6.977376;999;i
PK;xlcyux999i;p0p100;2004;7.038693;999;i
PK;xlcyux999i;p0p100;2005;7.2628965;999;i
