country;variable;percentile;year;value;age;pop
PR;xlcyux999i;p0p100;2018;0.15666421;999;i
PR;xlcyup999i;p0p100;1960;0.34384605;999;i
PR;xlcyup999i;p0p100;1961;0.2881946;999;i
PR;xlcyup999i;p0p100;1962;0.33549395;999;i
PR;xlcyup999i;p0p100;1963;0.36774412;999;i
PR;xlcyup999i;p0p100;1964;0.36769915;999;i
PR;xlcyup999i;p0p100;1965;0.35263982;999;i
PR;xlcyup999i;p0p100;1966;0.36232334;999;i
PR;xlcyup999i;p0p100;1967;0.37215376;999;i
PR;xlcyup999i;p0p100;1968;0.38585111;999;i
PR;xlcyup999i;p0p100;1969;0.40197852;999;i
PR;xlcyup999i;p0p100;1970;0.41267017;999;i
PR;xlcyup999i;p0p100;1971;0.41929242;999;i
PR;xlcyup999i;p0p100;1972;0.43657646;999;i
PR;xlcyup999i;p0p100;1973;0.45880243;999;i
PR;xlcyup999i;p0p100;1974;0.49864253;999;i
PR;xlcyup999i;p0p100;1975;0.52500916;999;i
PR;xlcyup999i;p0p100;1976;0.52332783;999;i
PR;xlcyup999i;p0p100;1977;0.54100841;999;i
PR;xlcyup999i;p0p100;1978;0.56361562;999;i
PR;xlcyup999i;p0p100;1979;0.58964169;999;i
PR;xlcyup999i;p0p100;1980;0.61189318;999;i
PR;xlcyup999i;p0p100;1981;0.65661037;999;i
PR;xlcyup999i;p0p100;1982;0.68229634;999;i
PR;xlcyup999i;p0p100;1983;0.69500792;999;i
PR;xlcyup999i;p0p100;1984;0.72907174;999;i
PR;xlcyup999i;p0p100;1985;0.72581232;999;i
PR;xlcyup999i;p0p100;1986;0.70055974;999;i
PR;xlcyup999i;p0p100;1987;0.67611408;999;i
PR;xlcyup999i;p0p100;1988;0.60184699;999;i
PR;xlcyup999i;p0p100;1989;0.52618718;999;i
PR;xlcyup999i;p0p100;1990;0.48165068;999;i
PR;xlcyup999i;p0p100;1991;0.4777045;999;i
PR;xlcyup999i;p0p100;1992;0.44578892;999;i
PR;xlcyup999i;p0p100;1993;0.3602528;999;i
PR;xlcyup999i;p0p100;1994;0.29280925;999;i
PR;xlcyup999i;p0p100;1995;0.25268829;999;i
PR;xlcyup999i;p0p100;1996;0.23473302;999;i
PR;xlcyup999i;p0p100;1997;0.22894602;999;i
PR;xlcyup999i;p0p100;1998;0.23604017;999;i
PR;xlcyup999i;p0p100;1999;0.23896118;999;i
PR;xlcyup999i;p0p100;2000;0.23370828;999;i
PR;xlcyup999i;p0p100;2001;0.23874952;999;i
PR;xlcyup999i;p0p100;2002;0.24697438;999;i
PR;xlcyup999i;p0p100;2003;0.24723831;999;i
PR;xlcyup999i;p0p100;2004;0.2427329;999;i
PR;xlcyup999i;p0p100;2005;0.24687281;999;i
PR;xlcyup999i;p0p100;2006;0.24978961;999;i
PR;xlcyup999i;p0p100;2007;0.24439822;999;i
