country;variable;percentile;year;value;age;pop
PW;xlcyux999i;p0p100;2005;0.1220358;999;i
PW;xlcyux999i;p0p100;2006;0.12541641;999;i
PW;xlcyux999i;p0p100;2007;0.13144867;999;i
PW;xlcyux999i;p0p100;2008;0.14391275;999;i
PW;xlcyux999i;p0p100;2009;0.14638254;999;i
PW;xlcyux999i;p0p100;2010;0.14770462;999;i
PW;xlcyux999i;p0p100;2011;0.15476374;999;i
PW;xlcyux999i;p0p100;2012;0.15842004;999;i
PW;xlcyux999i;p0p100;2013;0.16140075;999;i
PW;xlcyux999i;p0p100;2014;0.16277541;999;i
PW;xlcyux999i;p0p100;2015;0.16057837;999;i
PW;xlcyux999i;p0p100;2016;0.15050091;999;i
PW;xlcyux999i;p0p100;2017;0.14795624;999;i
PW;xlcyux999i;p0p100;2018;0.15666421;999;i
PW;xlcyup999i;p0p100;1970;0.20042011;999;i
PW;xlcyup999i;p0p100;1971;0.21292253;999;i
PW;xlcyup999i;p0p100;1972;0.23257549;999;i
PW;xlcyup999i;p0p100;1973;0.25026968;999;i
PW;xlcyup999i;p0p100;1974;0.27261102;999;i
PW;xlcyup999i;p0p100;1975;0.296092;999;i
PW;xlcyup999i;p0p100;1976;0.31117806;999;i
PW;xlcyup999i;p0p100;1977;0.3338027;999;i
PW;xlcyup999i;p0p100;1978;0.36020079;999;i
PW;xlcyup999i;p0p100;1979;0.37975946;999;i
PW;xlcyup999i;p0p100;1980;0.39451578;999;i
PW;xlcyup999i;p0p100;1981;0.42983609;999;i
PW;xlcyup999i;p0p100;1982;0.46561047;999;i
PW;xlcyup999i;p0p100;1983;0.49743161;999;i
PW;xlcyup999i;p0p100;1984;0.54422069;999;i
PW;xlcyup999i;p0p100;1985;0.57428211;999;i
PW;xlcyup999i;p0p100;1986;0.58776897;999;i
PW;xlcyup999i;p0p100;1987;0.59332168;999;i
PW;xlcyup999i;p0p100;1988;0.55426854;999;i
PW;xlcyup999i;p0p100;1989;0.50506014;999;i
PW;xlcyup999i;p0p100;1990;0.47787187;999;i
PW;xlcyup999i;p0p100;1991;0.48387128;999;i
PW;xlcyup999i;p0p100;1992;0.46376714;999;i
PW;xlcyup999i;p0p100;1993;0.37769219;999;i
PW;xlcyup999i;p0p100;1994;0.30267432;999;i
PW;xlcyup999i;p0p100;1995;0.27721986;999;i
PW;xlcyup999i;p0p100;1996;0.26850826;999;i
PW;xlcyup999i;p0p100;1997;0.26054972;999;i
PW;xlcyup999i;p0p100;1998;0.26183257;999;i
PW;xlcyup999i;p0p100;1999;0.26243749;999;i
PW;xlcyup999i;p0p100;2000;0.25714061;999;i
PW;xlcyup999i;p0p100;2001;0.25998732;999;i
PW;xlcyup999i;p0p100;2002;0.25335631;999;i
PW;xlcyup999i;p0p100;2003;0.24580814;999;i
PW;xlcyup999i;p0p100;2004;0.25175774;999;i
PW;xlcyup999i;p0p100;2005;0.2599479;999;i
PW;xlcyup999i;p0p100;2006;0.25459051;999;i
PW;xlcyup999i;p0p100;2007;0.24604453;999;i
PW;xlcyup999i;p0p100;2008;0.2419738;999;i
PW;xlcyup999i;p0p100;2009;0.2424912;999;i
PW;xlcyup999i;p0p100;2010;0.22818361;999;i
PW;xlcyup999i;p0p100;2011;0.21372978;999;i
PW;xlcyup999i;p0p100;2012;0.22483487;999;i
PW;xlcyup999i;p0p100;2013;0.2348465;999;i
PW;xlcyup999i;p0p100;2014;0.2494875;999;i
PW;xlcyup999i;p0p100;2015;0.26858762;999;i
PW;xlcyup999i;p0p100;2016;0.27673128;999;i
PW;xlcyup999i;p0p100;2017;0.27737647;999;i
PW;xlcyup999i;p0p100;2018;0.28465459;999;i
PW;xlcusx999i;p0p100;2005;1.0;999;i
PW;xlcusx999i;p0p100;2006;1.0;999;i
PW;xlcusx999i;p0p100;2007;1.0;999;i
PW;xlcusx999i;p0p100;2008;1.0;999;i
PW;xlcusx999i;p0p100;2009;1.0;999;i
PW;xlcusx999i;p0p100;2010;1.0;999;i
