country;variable;percentile;year;value;age;pop
QB;tptinc992j;p99.6p100;1990;91957.9921875;992;j
QB;tptinc992j;p99.6p100;1991;91890.96875;992;j
QB;tptinc992j;p99.6p100;1992;89018.6328125;992;j
QB;tptinc992j;p99.6p100;1993;85550.1015625;992;j
QB;tptinc992j;p99.6p100;1994;85340.875;992;j
QB;tptinc992j;p99.6p100;1995;85902.328125;992;j
QB;tptinc992j;p99.6p100;1996;88714.640625;992;j
QB;tptinc992j;p99.6p100;1997;90680.59375;992;j
QB;tptinc992j;p99.6p100;1998;91782.5390625;992;j
QB;tptinc992j;p99.6p100;1999;92117.5234375;992;j
QB;tptinc992j;p99.6p100;2000;93498.3671875;992;j
QB;tptinc992j;p99.6p100;2001;94796.1484375;992;j
QB;tptinc992j;p99.6p100;2002;96801.203125;992;j
QB;tptinc992j;p99.6p100;2003;99746.578125;992;j
QB;tptinc992j;p99.6p100;2004;101911.359375;992;j
QB;tptinc992j;p99.6p100;2005;105438.828125;992;j
QB;tptinc992j;p99.6p100;2006;108892.9765625;992;j
QB;tptinc992j;p99.6p100;2007;112703.3984375;992;j
QB;tptinc992j;p99.6p100;2008;116423.890625;992;j
QB;tptinc992j;p99.6p100;2009;116068.625;992;j
QB;tptinc992j;p99.6p100;2010;117937.71875;992;j
QB;tptinc992j;p99.6p100;2011;111886.7265625;992;j
QB;tptinc992j;p99.6p100;2012;118816.875;992;j
QB;tptinc992j;p99.6p100;2013;114832.1015625;992;j
QB;tptinc992j;p99.6p100;2014;114852.7109375;992;j
QB;tptinc992j;p99.6p100;2015;115266.5390625;992;j
QB;tptinc992j;p99.6p100;2016;114479.765625;992;j
QB;tptinc992j;p99.6p100;2017;114393.4140625;992;j
QB;tptinc992j;p99.5p99.6;1990;82094.140625;992;j
QB;tptinc992j;p99.5p99.6;1991;82051.0390625;992;j
QB;tptinc992j;p99.5p99.6;1992;79558.9609375;992;j
QB;tptinc992j;p99.5p99.6;1993;76839.0;992;j
QB;tptinc992j;p99.5p99.6;1994;76718.7421875;992;j
QB;tptinc992j;p99.5p99.6;1995;77273.578125;992;j
QB;tptinc992j;p99.5p99.6;1996;79722.40625;992;j
QB;tptinc992j;p99.5p99.6;1997;81565.0703125;992;j
QB;tptinc992j;p99.5p99.6;1998;82571.3515625;992;j
QB;tptinc992j;p99.5p99.6;1999;82765.7890625;992;j
QB;tptinc992j;p99.5p99.6;2000;83927.96875;992;j
