country;variable;percentile;year;value;age;pop
QC;xlcyux999i;p0p100;2018;0.13756561;999;i
QC;xlcyup999i;p0p100;2018;0.23799415;999;i
QC;xlcusx999i;p0p100;2018;0.87809217;999;i
QC;xlcusp999i;p0p100;2018;0.75421751;999;i
QC;xlceux999i;p0p100;2018;1.0763879;999;i
QC;xlceup999i;p0p100;2018;1.0;999;i
QC;npopul999m;p0p100;1950;167173556.0;999;m
QC;npopul999m;p0p100;1951;170782601.0;999;m
QC;npopul999m;p0p100;1952;174503387.0;999;m
QC;npopul999m;p0p100;1953;178256805.0;999;m
QC;npopul999m;p0p100;1954;182198133.0;999;m
QC;npopul999m;p0p100;1955;186248668.0;999;m
QC;npopul999m;p0p100;1956;190495999.0;999;m
QC;npopul999m;p0p100;1957;194815610.0;999;m
QC;npopul999m;p0p100;1958;199099045.0;999;m
QC;npopul999m;p0p100;1959;203817764.0;999;m
QC;npopul999m;p0p100;1960;208168653.0;999;m
QC;npopul999m;p0p100;1961;212862303.0;999;m
QC;npopul999m;p0p100;1962;217599145.0;999;m
QC;npopul999m;p0p100;1963;222255639.0;999;m
QC;npopul999m;p0p100;1964;227096134.0;999;m
QC;npopul999m;p0p100;1965;231614268.0;999;m
QC;npopul999m;p0p100;1966;236068749.0;999;m
QC;npopul999m;p0p100;1967;240389909.0;999;m
QC;npopul999m;p0p100;1968;245366911.0;999;m
QC;npopul999m;p0p100;1969;250005707.0;999;m
QC;npopul999m;p0p100;1970;254647409.0;999;m
QC;npopul999m;p0p100;1971;259950436.0;999;m
QC;npopul999m;p0p100;1972;264963661.0;999;m
QC;npopul999m;p0p100;1973;269726410.0;999;m
QC;npopul999m;p0p100;1974;274392136.0;999;m
QC;npopul999m;p0p100;1975;279119206.0;999;m
QC;npopul999m;p0p100;1976;284235323.0;999;m
QC;npopul999m;p0p100;1977;289348515.0;999;m
QC;npopul999m;p0p100;1978;294172799.0;999;m
QC;npopul999m;p0p100;1979;299560974.0;999;m
QC;npopul999m;p0p100;1980;305058596.0;999;m
QC;npopul999m;p0p100;1981;310294382.0;999;m
QC;npopul999m;p0p100;1982;315461817.0;999;m
QC;npopul999m;p0p100;1983;320566380.0;999;m
QC;npopul999m;p0p100;1984;325795862.0;999;m
