country;variable;percentile;year;value;age;pop
QD;xlcyux999i;p0p100;2018;0.25002107;999;i
QD;xlcyup999i;p0p100;2018;0.23799415;999;i
QD;xlcusx999i;p0p100;2018;1.5959042;999;i
QD;xlcusp999i;p0p100;2018;0.75421751;999;i
QD;xlceux999i;p0p100;2018;1.9563001;999;i
QD;xlceup999i;p0p100;2018;1.0;999;i
QD;npopul999m;p0p100;1950;796385449.0;999;m
QD;npopul999m;p0p100;1951;813030575.0;999;m
QD;npopul999m;p0p100;1952;829063137.0;999;m
QD;npopul999m;p0p100;1953;844620571.0;999;m
QD;npopul999m;p0p100;1954;860171298.0;999;m
QD;npopul999m;p0p100;1955;876193696.0;999;m
QD;npopul999m;p0p100;1956;891881059.0;999;m
QD;npopul999m;p0p100;1957;908501909.0;999;m
QD;npopul999m;p0p100;1958;925747155.0;999;m
QD;npopul999m;p0p100;1959;943528132.0;999;m
QD;npopul999m;p0p100;1960;962170417.0;999;m
QD;npopul999m;p0p100;1961;980747004.0;999;m
QD;npopul999m;p0p100;1962;1000401757.0;999;m
QD;npopul999m;p0p100;1963;1020876335.0;999;m
QD;npopul999m;p0p100;1964;1042424987.0;999;m
QD;npopul999m;p0p100;1965;1065659127.0;999;m
QD;npopul999m;p0p100;1966;1089309560.0;999;m
QD;npopul999m;p0p100;1967;1114801866.0;999;m
QD;npopul999m;p0p100;1968;1141228542.0;999;m
QD;npopul999m;p0p100;1969;1168229196.0;999;m
QD;npopul999m;p0p100;1970;1195927455.0;999;m
QD;npopul999m;p0p100;1971;1223113829.0;999;m
QD;npopul999m;p0p100;1972;1250480015.0;999;m
QD;npopul999m;p0p100;1973;1277902838.0;999;m
QD;npopul999m;p0p100;1974;1305086407.0;999;m
QD;npopul999m;p0p100;1975;1331954277.0;999;m
QD;npopul999m;p0p100;1976;1358604258.0;999;m
QD;npopul999m;p0p100;1977;1384710595.0;999;m
QD;npopul999m;p0p100;1978;1410622243.0;999;m
QD;npopul999m;p0p100;1979;1430865007.0;999;m
QD;npopul999m;p0p100;1980;1450192867.0;999;m
QD;npopul999m;p0p100;1981;1470210034.0;999;m
QD;npopul999m;p0p100;1982;1499143229.0;999;m
QD;npopul999m;p0p100;1983;1523590732.0;999;m
QD;npopul999m;p0p100;1984;1554570280.0;999;m
QD;npopul999m;p0p100;1985;1585816596.0;999;m
QD;npopul999m;p0p100;1986;1619801707.0;999;m
QD;npopul999m;p0p100;1987;1641462894.0;999;m
QD;npopul999m;p0p100;1988;1681803141.0;999;m
QD;npopul999m;p0p100;1989;1708196292.0;999;m
QD;npopul999m;p0p100;1990;1737585638.0;999;m
QD;npopul999m;p0p100;1991;1756709847.0;999;m
QD;npopul999m;p0p100;1992;1784682637.0;999;m
QD;npopul999m;p0p100;1993;1812273870.0;999;m
QD;npopul999m;p0p100;1994;1840115582.0;999;m
QD;npopul999m;p0p100;1995;1866054535.0;999;m
QD;npopul999m;p0p100;1996;1891875843.0;999;m
QD;npopul999m;p0p100;1997;1919802103.0;999;m
QD;npopul999m;p0p100;1998;1944621629.0;999;m
QD;npopul999m;p0p100;1999;1970146334.0;999;m
QD;npopul999m;p0p100;2000;2001824377.0;999;m
QD;npopul999m;p0p100;2001;2019956049.0;999;m
QD;npopul999m;p0p100;2002;2043812158.0;999;m
QD;npopul999m;p0p100;2003;2103394497.0;999;m
QD;npopul999m;p0p100;2004;2126463066.0;999;m
QD;npopul999m;p0p100;2005;2142691457.0;999;m
QD;npopul999m;p0p100;2006;2165666884.0;999;m
QD;npopul999m;p0p100;2007;2190741182.0;999;m
QD;npopul999m;p0p100;2008;2214947766.0;999;m
QD;npopul999m;p0p100;2009;2240655815.0;999;m
QD;npopul999m;p0p100;2010;2233019457.0;999;m
QD;npopul999m;p0p100;2011;2280612390.0;999;m
QD;npopul999m;p0p100;2012;2304311201.0;999;m
QD;npopul999m;p0p100;2013;2328832403.0;999;m
QD;npopul999m;p0p100;2014;2351977559.0;999;m
QD;npopul999m;p0p100;2015;2375374720.0;999;m
QD;npopul999m;p0p100;2016;2397454184.0;999;m
