country;variable;percentile;year;value;age;pop
QF-MER;xlcyux999i;p0p100;2018;0.12780301;999;i
QF-MER;xlcyup999i;p0p100;2018;0.28654376;999;i
QF-MER;xlcusx999i;p0p100;2018;0.81577677;999;i
QF-MER;xlcusp999i;p0p100;2018;0.90807408;999;i
QF-MER;xlceux999i;p0p100;2018;1.0;999;i
QF-MER;xlceup999i;p0p100;2018;1.2039949;999;i
QF-MER;npopul999m;p0p100;1980;11709581.0;999;m
QF-MER;npopul999m;p0p100;1981;11892236.0;999;m
QF-MER;npopul999m;p0p100;1982;12113323.0;999;m
QF-MER;npopul999m;p0p100;1983;12315526.0;999;m
QF-MER;npopul999m;p0p100;1984;12501278.0;999;m
QF-MER;npopul999m;p0p100;1985;12682271.0;999;m
QF-MER;npopul999m;p0p100;1986;12891908.0;999;m
QF-MER;npopul999m;p0p100;1987;13091035.0;999;m
QF-MER;npopul999m;p0p100;1988;13294726.0;999;m
QF-MER;npopul999m;p0p100;1989;13512103.0;999;m
QF-MER;npopul999m;p0p100;1990;13721813.0;999;m
QF-MER;npopul999m;p0p100;1991;13937554.0;999;m
QF-MER;npopul999m;p0p100;1992;14148306.0;999;m
QF-MER;npopul999m;p0p100;1993;14335282.0;999;m
QF-MER;npopul999m;p0p100;1994;14526228.0;999;m
QF-MER;npopul999m;p0p100;1995;14729560.0;999;m
QF-MER;npopul999m;p0p100;1996;14950495.0;999;m
QF-MER;npopul999m;p0p100;1997;15170787.0;999;m
QF-MER;npopul999m;p0p100;1998;15381646.0;999;m
QF-MER;npopul999m;p0p100;1999;15597430.0;999;m
QF-MER;npopul999m;p0p100;2000;15812618.0;999;m
QF-MER;npopul999m;p0p100;2001;16048597.0;999;m
QF-MER;npopul999m;p0p100;2002;16274077.0;999;m
QF-MER;npopul999m;p0p100;2003;16498129.0;999;m
QF-MER;npopul999m;p0p100;2004;16714918.0;999;m
QF-MER;npopul999m;p0p100;2005;16957188.0;999;m
QF-MER;npopul999m;p0p100;2006;17243598.0;999;m
