country;variable;percentile;year;value;age;pop
QF;tptinc992j;p3p4;1990;609.7562255859;992;j
QF;tptinc992j;p3p4;1991;596.2328491211;992;j
QF;tptinc992j;p3p4;1992;589.3854980469;992;j
QF;tptinc992j;p3p4;1993;660.6194458008;992;j
QF;tptinc992j;p3p4;1994;655.4091186523;992;j
QF;tptinc992j;p3p4;1995;690.5560913086;992;j
QF;tptinc992j;p3p4;1996;763.8407592773;992;j
QF;tptinc992j;p3p4;1997;810.5231323242;992;j
QF;tptinc992j;p3p4;1998;862.818359375;992;j
QF;tptinc992j;p3p4;1999;932.867980957;992;j
QF;tptinc992j;p3p4;2000;957.5756225586;992;j
QF;tptinc992j;p3p4;2001;965.2466430664;992;j
QF;tptinc992j;p3p4;2002;970.381652832;992;j
QF;tptinc992j;p3p4;2003;987.3966674805;992;j
QF;tptinc992j;p3p4;2004;1002.4739990234;992;j
QF;tptinc992j;p3p4;2005;1010.422668457;992;j
QF;tptinc992j;p3p4;2006;1020.3599243164;992;j
QF;tptinc992j;p3p4;2007;1033.6440429688;992;j
QF;tptinc992j;p3p4;2008;1022.9348754883;992;j
QF;tptinc992j;p3p4;2009;1028.087890625;992;j
QF;tptinc992j;p3p4;2010;1005.9555664062;992;j
QF;tptinc992j;p3p4;2011;1025.2747802734;992;j
QF;tptinc992j;p3p4;2012;1047.294921875;992;j
QF;tptinc992j;p3p4;2013;1034.0751953125;992;j
QF;tptinc992j;p3p4;2014;1045.8653564453;992;j
QF;tptinc992j;p3p4;2015;1048.5894775391;992;j
QF;tptinc992j;p3p4;2016;1065.1102294922;992;j
QF;tptinc992j;p3p4;2017;1069.3380126953;992;j
QF;tptinc992j;p3p100;1990;609.7562255859;992;j
QF;tptinc992j;p3p100;1991;596.2328491211;992;j
QF;tptinc992j;p3p100;1992;589.3854980469;992;j
QF;tptinc992j;p3p100;1993;660.6194458008;992;j
QF;tptinc992j;p3p100;1994;655.4091186523;992;j
QF;tptinc992j;p3p100;1995;690.5560913086;992;j
QF;tptinc992j;p3p100;1996;763.8407592773;992;j
QF;tptinc992j;p3p100;1997;810.5231323242;992;j
QF;tptinc992j;p3p100;1998;862.818359375;992;j
QF;tptinc992j;p3p100;1999;932.867980957;992;j
QF;tptinc992j;p3p100;2000;957.5756225586;992;j
QF;tptinc992j;p3p100;2001;965.2466430664;992;j
QF;tptinc992j;p3p100;2002;970.381652832;992;j
QF;tptinc992j;p3p100;2003;987.3966674805;992;j
QF;tptinc992j;p3p100;2004;1002.4739990234;992;j
QF;tptinc992j;p3p100;2005;1010.422668457;992;j
QF;tptinc992j;p3p100;2006;1020.3599243164;992;j
QF;tptinc992j;p3p100;2007;1033.6440429688;992;j
QF;tptinc992j;p3p100;2008;1022.9348754883;992;j
QF;tptinc992j;p3p100;2009;1028.087890625;992;j
QF;tptinc992j;p3p100;2010;1005.9555664062;992;j
QF;tptinc992j;p3p100;2011;1025.2747802734;992;j
QF;tptinc992j;p3p100;2012;1047.294921875;992;j
QF;tptinc992j;p3p100;2013;1034.0751953125;992;j
QF;tptinc992j;p3p100;2014;1045.8653564453;992;j
QF;tptinc992j;p3p100;2015;1048.5894775391;992;j
QF;tptinc992j;p3p100;2016;1065.1102294922;992;j
QF;tptinc992j;p3p100;2017;1069.3380126953;992;j
QF;tptinc992j;p39p40;1990;5966.23828125;992;j
QF;tptinc992j;p39p40;1991;5711.9541015625;992;j
QF;tptinc992j;p39p40;1992;5634.2919921875;992;j
QF;tptinc992j;p39p40;1993;6006.7470703125;992;j
QF;tptinc992j;p39p40;1994;6190.26171875;992;j
QF;tptinc992j;p39p40;1995;6411.28125;992;j
QF;tptinc992j;p39p40;1996;6606.1352539062;992;j
QF;tptinc992j;p39p40;1997;6783.359375;992;j
QF;tptinc992j;p39p40;1998;7057.7338867188;992;j
QF;tptinc992j;p39p40;1999;7450.6997070312;992;j
QF;tptinc992j;p39p40;2000;7568.6528320312;992;j
QF;tptinc992j;p39p40;2001;7631.4819335938;992;j
QF;tptinc992j;p39p40;2002;7702.2265625;992;j
QF;tptinc992j;p39p40;2003;7848.2353515625;992;j
QF;tptinc992j;p39p40;2004;7979.7744140625;992;j
QF;tptinc992j;p39p40;2005;8028.1826171875;992;j
QF;tptinc992j;p39p40;2006;8062.154296875;992;j
QF;tptinc992j;p39p40;2007;8200.59765625;992;j
QF;tptinc992j;p39p40;2008;8324.2294921875;992;j
QF;tptinc992j;p39p40;2009;8445.46484375;992;j
QF;tptinc992j;p39p40;2010;8407.263671875;992;j
QF;tptinc992j;p39p40;2011;8512.8369140625;992;j
QF;tptinc992j;p39p40;2012;8600.3935546875;992;j
QF;tptinc992j;p39p40;2013;8697.8271484375;992;j
QF;tptinc992j;p39p40;2014;8794.7705078125;992;j
QF;tptinc992j;p39p40;2015;8924.583984375;992;j
QF;tptinc992j;p39p40;2016;9110.099609375;992;j
QF;tptinc992j;p39p40;2017;9227.109375;992;j
QF;tptinc992j;p39p100;1990;5966.23828125;992;j
QF;tptinc992j;p39p100;1991;5711.9541015625;992;j
QF;tptinc992j;p39p100;1992;5634.2919921875;992;j
QF;tptinc992j;p39p100;1993;6006.7470703125;992;j
QF;tptinc992j;p39p100;1994;6190.26171875;992;j
QF;tptinc992j;p39p100;1995;6411.28125;992;j
QF;tptinc992j;p39p100;1996;6606.1352539062;992;j
QF;tptinc992j;p39p100;1997;6783.359375;992;j
QF;tptinc992j;p39p100;1998;7057.7338867188;992;j
QF;tptinc992j;p39p100;1999;7450.6997070312;992;j
QF;tptinc992j;p39p100;2000;7568.6528320312;992;j
QF;tptinc992j;p39p100;2001;7631.4819335938;992;j
QF;tptinc992j;p39p100;2002;7702.2265625;992;j
QF;tptinc992j;p39p100;2003;7848.2353515625;992;j
QF;tptinc992j;p39p100;2004;7979.7744140625;992;j
QF;tptinc992j;p39p100;2005;8028.1826171875;992;j
QF;tptinc992j;p39p100;2006;8062.154296875;992;j
QF;tptinc992j;p39p100;2007;8200.59765625;992;j
QF;tptinc992j;p39p100;2008;8324.2294921875;992;j
QF;tptinc992j;p39p100;2009;8445.46484375;992;j
QF;tptinc992j;p39p100;2010;8407.263671875;992;j
QF;tptinc992j;p39p100;2011;8512.8369140625;992;j
QF;tptinc992j;p39p100;2012;8600.3935546875;992;j
QF;tptinc992j;p39p100;2013;8697.8271484375;992;j
QF;tptinc992j;p39p100;2014;8794.7705078125;992;j
QF;tptinc992j;p39p100;2015;8924.583984375;992;j
QF;tptinc992j;p39p100;2016;9110.099609375;992;j
QF;tptinc992j;p39p100;2017;9227.109375;992;j
QF;tptinc992j;p38p39;1990;5749.3427734375;992;j
QF;tptinc992j;p38p39;1991;5507.4008789062;992;j
QF;tptinc992j;p38p39;1992;5432.4892578125;992;j
QF;tptinc992j;p38p39;1993;5795.8549804688;992;j
QF;tptinc992j;p38p39;1994;5972.3095703125;992;j
QF;tptinc992j;p38p39;1995;6193.4921875;992;j
QF;tptinc992j;p38p39;1996;6382.71875;992;j
QF;tptinc992j;p38p39;1997;6560.431640625;992;j
QF;tptinc992j;p38p39;1998;6826.7158203125;992;j
QF;tptinc992j;p38p39;1999;7211.4365234375;992;j
QF;tptinc992j;p38p39;2000;7336.2592773438;992;j
QF;tptinc992j;p38p39;2001;7389.5947265625;992;j
QF;tptinc992j;p38p39;2002;7447.5610351562;992;j
QF;tptinc992j;p38p39;2003;7584.16796875;992;j
QF;tptinc992j;p38p39;2004;7717.94921875;992;j
QF;tptinc992j;p38p39;2005;7758.7563476562;992;j
QF;tptinc992j;p38p39;2006;7800.3012695312;992;j
QF;tptinc992j;p38p39;2007;7953.4106445312;992;j
QF;tptinc992j;p38p39;2008;8075.8188476562;992;j
QF;tptinc992j;p38p39;2009;8189.3872070312;992;j
QF;tptinc992j;p38p39;2010;8154.701171875;992;j
QF;tptinc992j;p38p39;2011;8262.994140625;992;j
QF;tptinc992j;p38p39;2012;8342.4658203125;992;j
QF;tptinc992j;p38p39;2013;8435.169921875;992;j
QF;tptinc992j;p38p39;2014;8528.7958984375;992;j
QF;tptinc992j;p38p39;2015;8650.5263671875;992;j
QF;tptinc992j;p38p39;2016;8835.5615234375;992;j
QF;tptinc992j;p38p39;2017;8953.54296875;992;j
QF;tptinc992j;p38p100;1990;5749.3427734375;992;j
QF;tptinc992j;p38p100;1991;5507.4008789062;992;j
QF;tptinc992j;p38p100;1992;5432.4892578125;992;j
QF;tptinc992j;p38p100;1993;5795.8549804688;992;j
QF;tptinc992j;p38p100;1994;5972.3095703125;992;j
QF;tptinc992j;p38p100;1995;6193.4921875;992;j
QF;tptinc992j;p38p100;1996;6382.71875;992;j
QF;tptinc992j;p38p100;1997;6560.431640625;992;j
QF;tptinc992j;p38p100;1998;6826.7158203125;992;j
QF;tptinc992j;p38p100;1999;7211.4365234375;992;j
QF;tptinc992j;p38p100;2000;7336.2592773438;992;j
QF;tptinc992j;p38p100;2001;7389.5947265625;992;j
QF;tptinc992j;p38p100;2002;7447.5610351562;992;j
QF;tptinc992j;p38p100;2003;7584.16796875;992;j
QF;tptinc992j;p38p100;2004;7717.94921875;992;j
QF;tptinc992j;p38p100;2005;7758.7563476562;992;j
QF;tptinc992j;p38p100;2006;7800.3012695312;992;j
QF;tptinc992j;p38p100;2007;7953.4106445312;992;j
QF;tptinc992j;p38p100;2008;8075.8188476562;992;j
QF;tptinc992j;p38p100;2009;8189.3872070312;992;j
QF;tptinc992j;p38p100;2010;8154.701171875;992;j
QF;tptinc992j;p38p100;2011;8262.994140625;992;j
QF;tptinc992j;p38p100;2012;8342.4658203125;992;j
QF;tptinc992j;p38p100;2013;8435.169921875;992;j
QF;tptinc992j;p38p100;2014;8528.7958984375;992;j
QF;tptinc992j;p38p100;2015;8650.5263671875;992;j
QF;tptinc992j;p38p100;2016;8835.5615234375;992;j
QF;tptinc992j;p38p100;2017;8953.54296875;992;j
QF;tptinc992j;p37p38;1990;5550.7055664062;992;j
QF;tptinc992j;p37p38;1991;5300.0639648438;992;j
QF;tptinc992j;p37p38;1992;5230.6630859375;992;j
QF;tptinc992j;p37p38;1993;5589.9018554688;992;j
QF;tptinc992j;p37p38;1994;5759.0385742188;992;j
QF;tptinc992j;p37p38;1995;5976.2880859375;992;j
QF;tptinc992j;p37p38;1996;6162.8095703125;992;j
QF;tptinc992j;p37p38;1997;6340.2543945312;992;j
QF;tptinc992j;p37p38;1998;6596.568359375;992;j
QF;tptinc992j;p37p38;1999;6978.26171875;992;j
QF;tptinc992j;p37p38;2000;7109.34375;992;j
QF;tptinc992j;p37p38;2001;7156.0747070312;992;j
QF;tptinc992j;p37p38;2002;7199.0771484375;992;j
QF;tptinc992j;p37p38;2003;7331.4653320312;992;j
QF;tptinc992j;p37p38;2004;7460.9506835938;992;j
QF;tptinc992j;p37p38;2005;7497.7983398438;992;j
QF;tptinc992j;p37p38;2006;7546.2124023438;992;j
QF;tptinc992j;p37p38;2007;7695.7177734375;992;j
QF;tptinc992j;p37p38;2008;7822.310546875;992;j
QF;tptinc992j;p37p38;2009;7924.5126953125;992;j
QF;tptinc992j;p37p38;2010;7898.6274414062;992;j
QF;tptinc992j;p37p38;2011;8011.4404296875;992;j
QF;tptinc992j;p37p38;2012;8090.6147460938;992;j
QF;tptinc992j;p37p38;2013;8180.8041992188;992;j
QF;tptinc992j;p37p38;2014;8273.060546875;992;j
QF;tptinc992j;p37p38;2015;8388.0048828125;992;j
QF;tptinc992j;p37p38;2016;8565.4033203125;992;j
QF;tptinc992j;p37p38;2017;8678.7490234375;992;j
QF;tptinc992j;p37p100;1990;5550.7055664062;992;j
QF;tptinc992j;p37p100;1991;5300.0639648438;992;j
QF;tptinc992j;p37p100;1992;5230.6630859375;992;j
