country;variable;percentile;year;value;age;pop
QG;xlcyux999i;p0p100;2018;0.10478085;999;i
QG;xlcyup999i;p0p100;2018;0.23799416;999;i
QG;xlcusx999i;p0p100;2018;0.66882443;999;i
QG;xlcusp999i;p0p100;2018;0.75421751;999;i
QG;xlceux999i;p0p100;2018;0.81986207;999;i
QG;xlceup999i;p0p100;2018;1.0;999;i
QG;npopul999m;p0p100;1950;5118961.0;999;m
QG;npopul999m;p0p100;1951;5258659.0;999;m
QG;npopul999m;p0p100;1952;5386508.0;999;m
QG;npopul999m;p0p100;1953;5508921.0;999;m
QG;npopul999m;p0p100;1954;5630712.0;999;m
QG;npopul999m;p0p100;1955;5755014.0;999;m
QG;npopul999m;p0p100;1956;5883245.0;999;m
QG;npopul999m;p0p100;1957;6015177.0;999;m
QG;npopul999m;p0p100;1958;6149139.0;999;m
QG;npopul999m;p0p100;1959;6282470.0;999;m
QG;npopul999m;p0p100;1960;6412695.0;999;m
QG;npopul999m;p0p100;1961;6560531.0;999;m
QG;npopul999m;p0p100;1962;6685308.0;999;m
QG;npopul999m;p0p100;1963;6806211.0;999;m
QG;npopul999m;p0p100;1964;6937995.0;999;m
QG;npopul999m;p0p100;1965;7068446.0;999;m
QG;npopul999m;p0p100;1966;7223004.0;999;m
QG;npopul999m;p0p100;1967;7372216.0;999;m
QG;npopul999m;p0p100;1968;7501265.0;999;m
QG;npopul999m;p0p100;1969;7634775.0;999;m
QG;npopul999m;p0p100;1970;7764754.0;999;m
QG;npopul999m;p0p100;1971;8079370.0;999;m
QG;npopul999m;p0p100;1972;8220169.0;999;m
QG;npopul999m;p0p100;1973;8353431.0;999;m
QG;npopul999m;p0p100;1974;8483534.0;999;m
QG;npopul999m;p0p100;1975;8571541.0;999;m
QG;npopul999m;p0p100;1976;8668413.0;999;m
QG;npopul999m;p0p100;1977;8743630.0;999;m
QG;npopul999m;p0p100;1978;8815260.0;999;m
QG;npopul999m;p0p100;1979;8887029.0;999;m
QG;npopul999m;p0p100;1980;8981966.0;999;m
QG;npopul999m;p0p100;1981;9095209.0;999;m
QG;npopul999m;p0p100;1982;9244373.0;999;m
QG;npopul999m;p0p100;1983;9373267.0;999;m
QG;npopul999m;p0p100;1984;9486018.0;999;m
QG;npopul999m;p0p100;1985;9595397.0;999;m
QG;npopul999m;p0p100;1986;9735307.0;999;m
QG;npopul999m;p0p100;1987;9866141.0;999;m
QG;npopul999m;p0p100;1988;10001975.0;999;m
QG;npopul999m;p0p100;1989;10150370.0;999;m
QG;npopul999m;p0p100;1990;10288937.0;999;m
QG;npopul999m;p0p100;1991;10431163.0;999;m
QG;npopul999m;p0p100;1992;10566327.0;999;m
QG;npopul999m;p0p100;1993;10675745.0;999;m
QG;npopul999m;p0p100;1994;10787282.0;999;m
QG;npopul999m;p0p100;1995;10909593.0;999;m
QG;npopul999m;p0p100;1996;11047483.0;999;m
QG;npopul999m;p0p100;1997;11182857.0;999;m
QG;npopul999m;p0p100;1998;11308074.0;999;m
QG;npopul999m;p0p100;1999;11439205.0;999;m
QG;npopul999m;p0p100;2000;11571736.0;999;m
QG;npopul999m;p0p100;2001;11727776.0;999;m
QG;npopul999m;p0p100;2002;11875386.0;999;m
QG;npopul999m;p0p100;2003;12021389.0;999;m
QG;npopul999m;p0p100;2004;12156854.0;999;m
QG;npopul999m;p0p100;2005;12312347.0;999;m
QG;npopul999m;p0p100;2006;12505578.0;999;m
QG;npopul999m;p0p100;2007;12737958.0;999;m
QG;npopul999m;p0p100;2008;12987241.0;999;m
QG;npopul999m;p0p100;2009;13244035.0;999;m
QG;npopul999m;p0p100;2010;13440147.0;999;m
QG;npopul999m;p0p100;2011;13656709.0;999;m
QG;npopul999m;p0p100;2012;13880913.0;999;m
QG;npopul999m;p0p100;2013;14089944.0;999;m
QG;npopul999m;p0p100;2014;14285298.0;999;m
QG;npopul999m;p0p100;2015;14472388.0;999;m
QG;npopul999m;p0p100;2016;14658202.0;999;m
