country;variable;percentile;year;value;age;pop
QI;xlcyux999i;p0p100;2018;0.23688577;999;i
QI;xlcyup999i;p0p100;2018;0.23799415;999;i
QI;xlcusx999i;p0p100;2018;1.5120605;999;i
QI;xlcusp999i;p0p100;2018;0.75421757;999;i
QI;xlceux999i;p0p100;2018;1.8535225;999;i
QI;xlceup999i;p0p100;2018;1.0;999;i
QI;npopul999m;p0p100;1950;18699141.0;999;m
QI;npopul999m;p0p100;1951;19207029.0;999;m
QI;npopul999m;p0p100;1952;19765394.0;999;m
QI;npopul999m;p0p100;1953;20330235.0;999;m
QI;npopul999m;p0p100;1954;20892617.0;999;m
QI;npopul999m;p0p100;1955;21465061.0;999;m
QI;npopul999m;p0p100;1956;22130879.0;999;m
QI;npopul999m;p0p100;1957;22791299.0;999;m
QI;npopul999m;p0p100;1958;23470821.0;999;m
QI;npopul999m;p0p100;1959;24186987.0;999;m
QI;npopul999m;p0p100;1960;24944522.0;999;m
QI;npopul999m;p0p100;1961;25743443.0;999;m
QI;npopul999m;p0p100;1962;26588490.0;999;m
QI;npopul999m;p0p100;1963;27470305.0;999;m
QI;npopul999m;p0p100;1964;28374294.0;999;m
QI;npopul999m;p0p100;1965;29292729.0;999;m
QI;npopul999m;p0p100;1966;30254245.0;999;m
QI;npopul999m;p0p100;1967;31238488.0;999;m
QI;npopul999m;p0p100;1968;32238831.0;999;m
QI;npopul999m;p0p100;1969;33246344.0;999;m
QI;npopul999m;p0p100;1970;34245997.0;999;m
QI;npopul999m;p0p100;1971;35267571.0;999;m
QI;npopul999m;p0p100;1972;36290247.0;999;m
QI;npopul999m;p0p100;1973;37327804.0;999;m
QI;npopul999m;p0p100;1974;38397410.0;999;m
QI;npopul999m;p0p100;1975;39502929.0;999;m
QI;npopul999m;p0p100;1976;40649959.0;999;m
QI;npopul999m;p0p100;1977;41819233.0;999;m
QI;npopul999m;p0p100;1978;42685614.0;999;m
QI;npopul999m;p0p100;1979;44021610.0;999;m
QI;npopul999m;p0p100;1980;45246392.0;999;m
QI;npopul999m;p0p100;1981;46343792.0;999;m
QI;npopul999m;p0p100;1982;47428635.0;999;m
QI;npopul999m;p0p100;1983;48507604.0;999;m
QI;npopul999m;p0p100;1984;49600821.0;999;m
QI;npopul999m;p0p100;1985;50748657.0;999;m
QI;npopul999m;p0p100;1986;52077838.0;999;m
QI;npopul999m;p0p100;1987;53672169.0;999;m
QI;npopul999m;p0p100;1988;55196976.0;999;m
QI;npopul999m;p0p100;1989;56527777.0;999;m
QI;npopul999m;p0p100;1990;59226785.0;999;m
QI;npopul999m;p0p100;1991;60190591.0;999;m
QI;npopul999m;p0p100;1992;61104545.0;999;m
QI;npopul999m;p0p100;1993;62010608.0;999;m
QI;npopul999m;p0p100;1994;62962023.0;999;m
QI;npopul999m;p0p100;1995;63965933.0;999;m
QI;npopul999m;p0p100;1996;64867804.0;999;m
QI;npopul999m;p0p100;1997;65773592.0;999;m
QI;npopul999m;p0p100;1998;66692669.0;999;m
QI;npopul999m;p0p100;1999;67595323.0;999;m
QI;npopul999m;p0p100;2000;68470019.0;999;m
QI;npopul999m;p0p100;2001;69255280.0;999;m
QI;npopul999m;p0p100;2002;70080192.0;999;m
QI;npopul999m;p0p100;2003;70912006.0;999;m
QI;npopul999m;p0p100;2004;71724714.0;999;m
QI;npopul999m;p0p100;2005;72547817.0;999;m
QI;npopul999m;p0p100;2006;73524101.0;999;m
QI;npopul999m;p0p100;2007;74553796.0;999;m
QI;npopul999m;p0p100;2008;75652646.0;999;m
QI;npopul999m;p0p100;2009;76785514.0;999;m
QI;npopul999m;p0p100;2010;77859394.0;999;m
QI;npopul999m;p0p100;2011;78902680.0;999;m
