country;variable;percentile;year;value;age;pop
QP-MER;xlcyux999i;p0p100;2018;0.12780301;999;i
QP-MER;xlcyup999i;p0p100;2018;0.25671899;999;i
QP-MER;xlcusx999i;p0p100;2018;0.81577671;999;i
QP-MER;xlcusp999i;p0p100;2018;0.81355762;999;i
QP-MER;xlceux999i;p0p100;2018;1.0;999;i
QP-MER;xlceup999i;p0p100;2018;1.0786778;999;i
QP-MER;tptinc992j;p9p100;1980;6259.2002;992;j
QP-MER;tptinc992j;p9p100;1981;6047.7002;992;j
QP-MER;tptinc992j;p9p100;1982;5287.2002;992;j
QP-MER;tptinc992j;p9p100;1983;4953.7002;992;j
QP-MER;tptinc992j;p9p100;1984;5234.7998;992;j
QP-MER;tptinc992j;p9p100;1985;5266.7998;992;j
QP-MER;tptinc992j;p9p100;1986;5047.3999;992;j
QP-MER;tptinc992j;p9p100;1987;5005.2998;992;j
QP-MER;tptinc992j;p9p100;1988;5093.5;992;j
QP-MER;tptinc992j;p9p100;1989;5070.1001;992;j
QP-MER;tptinc992j;p9p100;1990;4947.6001;992;j
QP-MER;tptinc992j;p9p100;1991;4611.2998;992;j
QP-MER;tptinc992j;p9p100;1992;4397.6001;992;j
QP-MER;tptinc992j;p9p100;1993;4388.8999;992;j
QP-MER;tptinc992j;p9p100;1994;4657.2002;992;j
QP-MER;tptinc992j;p9p100;1995;4533.6001;992;j
QP-MER;tptinc992j;p9p100;1996;4592.7998;992;j
QP-MER;tptinc992j;p9p100;1997;4741.2002;992;j
QP-MER;tptinc992j;p9p100;1998;4955.7998;992;j
QP-MER;tptinc992j;p9p100;1999;5137.7998;992;j
QP-MER;tptinc992j;p9p100;2000;5111.3999;992;j
QP-MER;tptinc992j;p9p100;2001;5215.2998;992;j
QP-MER;tptinc992j;p9p100;2002;5263.1001;992;j
QP-MER;tptinc992j;p9p100;2003;5215.7998;992;j
QP-MER;tptinc992j;p9p100;2004;5166.0;992;j
QP-MER;tptinc992j;p9p100;2005;5162.7998;992;j
QP-MER;tptinc992j;p9p100;2006;4880.2002;992;j
