country;variable;percentile;year;value;age;pop
QP;xlcyux999i;p0p100;2018;0.11848118;999;i
QP;xlcyup999i;p0p100;2018;0.23799415;999;i
QP;xlcusx999i;p0p100;2018;0.75627476;999;i
QP;xlcusp999i;p0p100;2018;0.75421751;999;i
QP;xlceux999i;p0p100;2018;0.92706096;999;i
QP;xlceup999i;p0p100;2018;1.0;999;i
QP;tptinc992j;p9p100;1980;5812.7002;992;j
QP;tptinc992j;p9p100;1981;5603.0;992;j
QP;tptinc992j;p9p100;1982;4905.3999;992;j
QP;tptinc992j;p9p100;1983;4609.8999;992;j
QP;tptinc992j;p9p100;1984;4883.7998;992;j
QP;tptinc992j;p9p100;1985;4900.2998;992;j
QP;tptinc992j;p9p100;1986;4677.8999;992;j
QP;tptinc992j;p9p100;1987;4662.1001;992;j
QP;tptinc992j;p9p100;1988;4737.0;992;j
QP;tptinc992j;p9p100;1989;4729.8999;992;j
QP;tptinc992j;p9p100;1990;4636.2998;992;j
QP;tptinc992j;p9p100;1991;4299.3999;992;j
QP;tptinc992j;p9p100;1992;4106.7002;992;j
QP;tptinc992j;p9p100;1993;4091.3;992;j
QP;tptinc992j;p9p100;1994;4346.2002;992;j
QP;tptinc992j;p9p100;1995;4245.0;992;j
QP;tptinc992j;p9p100;1996;4306.2998;992;j
QP;tptinc992j;p9p100;1997;4433.6001;992;j
QP;tptinc992j;p9p100;1998;4643.7002;992;j
QP;tptinc992j;p9p100;1999;4798.2002;992;j
QP;tptinc992j;p9p100;2000;4790.0;992;j
QP;tptinc992j;p9p100;2001;4880.0;992;j
QP;tptinc992j;p9p100;2002;4919.0;992;j
QP;tptinc992j;p9p100;2003;4871.1001;992;j
QP;tptinc992j;p9p100;2004;4825.6001;992;j
QP;tptinc992j;p9p100;2005;4848.0;992;j
QP;tptinc992j;p9p100;2006;4562.8999;992;j
QP;tptinc992j;p9p100;2007;4946.2002;992;j
QP;tptinc992j;p9p100;2008;4705.8999;992;j
QP;tptinc992j;p9p100;2009;4389.2002;992;j
QP;tptinc992j;p9p100;2010;4344.7998;992;j
QP;tptinc992j;p9p100;2011;4037.3999;992;j
QP;tptinc992j;p9p100;2012;3986.8999;992;j
QP;tptinc992j;p9p100;2013;4331.6001;992;j
QP;tptinc992j;p9p100;2014;4245.2998;992;j
QP;tptinc992j;p9p100;2015;4288.8999;992;j
QP;tptinc992j;p9p100;2016;4302.8999;992;j
QP;tptinc992j;p9p10;1980;5812.7002;992;j
QP;tptinc992j;p9p10;1981;5603.0;992;j
QP;tptinc992j;p9p10;1982;4905.3999;992;j
QP;tptinc992j;p9p10;1983;4609.8999;992;j
QP;tptinc992j;p9p10;1984;4883.7998;992;j
QP;tptinc992j;p9p10;1985;4900.2998;992;j
