country;variable;percentile;year;value;age;pop
QR;xlcyux999i;p0p100;2018;0.19771732;999;i
QR;xlcyup999i;p0p100;2018;0.23799415;999;i
QR;xlcusx999i;p0p100;2018;1.2620453;999;i
QR;xlcusp999i;p0p100;2018;0.75421751;999;i
QR;xlceux999i;p0p100;2018;1.5470473;999;i
QR;xlceup999i;p0p100;2018;1.0;999;i
QR;npopul999m;p0p100;1950;56853678.0;999;m
QR;npopul999m;p0p100;1951;58391071.0;999;m
QR;npopul999m;p0p100;1952;59979109.0;999;m
QR;npopul999m;p0p100;1953;61611935.0;999;m
QR;npopul999m;p0p100;1954;63285955.0;999;m
QR;npopul999m;p0p100;1955;64999598.0;999;m
QR;npopul999m;p0p100;1956;66753594.0;999;m
QR;npopul999m;p0p100;1957;68550843.0;999;m
QR;npopul999m;p0p100;1958;70395902.0;999;m
QR;npopul999m;p0p100;1959;72294322.0;999;m
QR;npopul999m;p0p100;1960;74250533.0;999;m
QR;npopul999m;p0p100;1961;76265603.0;999;m
QR;npopul999m;p0p100;1962;78335232.0;999;m
QR;npopul999m;p0p100;1963;80448836.0;999;m
QR;npopul999m;p0p100;1964;82592055.0;999;m
QR;npopul999m;p0p100;1965;84753812.0;999;m
QR;npopul999m;p0p100;1966;86932224.0;999;m
QR;npopul999m;p0p100;1967;89128112.0;999;m
QR;npopul999m;p0p100;1968;91336779.0;999;m
QR;npopul999m;p0p100;1969;93553333.0;999;m
QR;npopul999m;p0p100;1970;95775654.0;999;m
QR;npopul999m;p0p100;1971;97999952.0;999;m
QR;npopul999m;p0p100;1972;100229878.0;999;m
QR;npopul999m;p0p100;1973;102480089.0;999;m
QR;npopul999m;p0p100;1974;104770769.0;999;m
QR;npopul999m;p0p100;1975;107116460.0;999;m
QR;npopul999m;p0p100;1976;109520081.0;999;m
QR;npopul999m;p0p100;1977;111977547.0;999;m
QR;npopul999m;p0p100;1978;114487236.0;999;m
QR;npopul999m;p0p100;1979;117045107.0;999;m
QR;npopul999m;p0p100;1980;119646528.0;999;m
QR;npopul999m;p0p100;1981;122291787.0;999;m
QR;npopul999m;p0p100;1982;124977006.0;999;m
QR;npopul999m;p0p100;1983;127687705.0;999;m
QR;npopul999m;p0p100;1984;130405208.0;999;m
QR;npopul999m;p0p100;1985;133115288.0;999;m
QR;npopul999m;p0p100;1986;135810677.0;999;m
QR;npopul999m;p0p100;1987;138491443.0;999;m
QR;npopul999m;p0p100;1988;141159972.0;999;m
QR;npopul999m;p0p100;1989;143821895.0;999;m
QR;npopul999m;p0p100;1990;146480701.0;999;m
QR;npopul999m;p0p100;1991;149133296.0;999;m
QR;npopul999m;p0p100;1992;151774890.0;999;m
QR;npopul999m;p0p100;1993;154405230.0;999;m
QR;npopul999m;p0p100;1994;157024673.0;999;m
QR;npopul999m;p0p100;1995;159631843.0;999;m
QR;npopul999m;p0p100;1996;162226307.0;999;m
QR;npopul999m;p0p100;1997;164802905.0;999;m
QR;npopul999m;p0p100;1998;167350016.0;999;m
QR;npopul999m;p0p100;1999;169852707.0;999;m
QR;npopul999m;p0p100;2000;172299829.0;999;m
QR;npopul999m;p0p100;2001;174688128.0;999;m
QR;npopul999m;p0p100;2002;177018648.0;999;m
QR;npopul999m;p0p100;2003;179289655.0;999;m
QR;npopul999m;p0p100;2004;181500844.0;999;m
QR;npopul999m;p0p100;2005;183653106.0;999;m
QR;npopul999m;p0p100;2006;185744015.0;999;m
QR;npopul999m;p0p100;2007;187776359.0;999;m
QR;npopul999m;p0p100;2008;189763354.0;999;m
QR;npopul999m;p0p100;2009;191722666.0;999;m
QR;npopul999m;p0p100;2010;193667183.0;999;m
QR;npopul999m;p0p100;2011;195602338.0;999;m
QR;npopul999m;p0p100;2012;197525560.0;999;m
QR;npopul999m;p0p100;2013;199431648.0;999;m
QR;npopul999m;p0p100;2014;201311816.0;999;m
QR;npopul999m;p0p100;2015;203159571.0;999;m
QR;npopul999m;p0p100;2016;204972941.0;999;m
QR;npopul999m;p0p100;2017;206754094.0;999;m
QR;npopul999m;p0p100;2018;208505619.0;999;m
QR;npopul999i;p0p100;1950;113737474.0;999;i
QR;npopul999i;p0p100;1951;116825182.0;999;i
QR;npopul999i;p0p100;1952;120014075.0;999;i
QR;npopul999i;p0p100;1953;123292054.0;999;i
QR;npopul999i;p0p100;1954;126651540.0;999;i
QR;npopul999i;p0p100;1955;130089509.0;999;i
QR;npopul999i;p0p100;1956;133607692.0;999;i
QR;npopul999i;p0p100;1957;137212415.0;999;i
QR;npopul999i;p0p100;1958;140913636.0;999;i
QR;npopul999i;p0p100;1959;144723394.0;999;i
QR;npopul999i;p0p100;1960;148651510.0;999;i
QR;npopul999i;p0p100;1961;152700668.0;999;i
QR;npopul999i;p0p100;1962;156862361.0;999;i
QR;npopul999i;p0p100;1963;161115035.0;999;i
QR;npopul999i;p0p100;1964;165429184.0;999;i
QR;npopul999i;p0p100;1965;169782208.0;999;i
QR;npopul999i;p0p100;1966;174169737.0;999;i
QR;npopul999i;p0p100;1967;178594016.0;999;i
QR;npopul999i;p0p100;1968;183048026.0;999;i
QR;npopul999i;p0p100;1969;187525481.0;999;i
QR;npopul999i;p0p100;1970;192024010.0;999;i
QR;npopul999i;p0p100;1971;196537731.0;999;i
QR;npopul999i;p0p100;1972;201072552.0;999;i
QR;npopul999i;p0p100;1973;205653017.0;999;i
QR;npopul999i;p0p100;1974;210312690.0;999;i
QR;npopul999i;p0p100;1975;215076289.0;999;i
QR;npopul999i;p0p100;1976;219947922.0;999;i
QR;npopul999i;p0p100;1977;224921542.0;999;i
QR;npopul999i;p0p100;1978;229997746.0;999;i
QR;npopul999i;p0p100;1979;235174370.0;999;i
QR;npopul999i;p0p100;1980;240446418.0;999;i
QR;npopul999i;p0p100;1981;245814900.0;999;i
QR;npopul999i;p0p100;1982;251271113.0;999;i
QR;npopul999i;p0p100;1983;256787339.0;999;i
QR;npopul999i;p0p100;1984;262327538.0;999;i
QR;npopul999i;p0p100;1985;267863559.0;999;i
QR;npopul999i;p0p100;1986;273382474.0;999;i
QR;npopul999i;p0p100;1987;278883357.0;999;i
QR;npopul999i;p0p100;1988;284364789.0;999;i
QR;npopul999i;p0p100;1989;289829996.0;999;i
QR;npopul999i;p0p100;1990;295280430.0;999;i
QR;npopul999i;p0p100;1991;300706716.0;999;i
QR;npopul999i;p0p100;1992;306101377.0;999;i
QR;npopul999i;p0p100;1993;311470185.0;999;i
QR;npopul999i;p0p100;1994;316822708.0;999;i
QR;npopul999i;p0p100;1995;322162430.0;999;i
QR;npopul999i;p0p100;1996;327490758.0;999;i
QR;npopul999i;p0p100;1997;332794491.0;999;i
QR;npopul999i;p0p100;1998;338045086.0;999;i
QR;npopul999i;p0p100;1999;343204893.0;999;i
QR;npopul999i;p0p100;2000;348245823.0;999;i
QR;npopul999i;p0p100;2001;353160141.0;999;i
QR;npopul999i;p0p100;2002;357951718.0;999;i
QR;npopul999i;p0p100;2003;362619723.0;999;i
QR;npopul999i;p0p100;2004;367167053.0;999;i
QR;npopul999i;p0p100;2005;371598752.0;999;i
