country;variable;percentile;year;value;age;pop
QS;xlcyux999i;p0p100;2018;0.32106224;999;i
QS;xlcyup999i;p0p100;2018;0.23799415;999;i
QS;xlcusx999i;p0p100;2018;2.0493658;999;i
QS;xlcusp999i;p0p100;2018;0.75421751;999;i
QS;xlceux999i;p0p100;2018;2.5121648;999;i
QS;xlceup999i;p0p100;2018;1.0;999;i
QS;npopul999m;p0p100;1950;82430981.0;999;m
QS;npopul999m;p0p100;1951;84284248.0;999;m
QS;npopul999m;p0p100;1952;86286044.0;999;m
QS;npopul999m;p0p100;1953;88429100.0;999;m
QS;npopul999m;p0p100;1954;90706350.0;999;m
QS;npopul999m;p0p100;1955;93111171.0;999;m
QS;npopul999m;p0p100;1956;95637157.0;999;m
QS;npopul999m;p0p100;1957;98278310.0;999;m
QS;npopul999m;p0p100;1958;101028778.0;999;m
QS;npopul999m;p0p100;1959;103883141.0;999;m
QS;npopul999m;p0p100;1960;106835949.0;999;m
QS;npopul999m;p0p100;1961;109881383.0;999;m
QS;npopul999m;p0p100;1962;113012662.0;999;m
QS;npopul999m;p0p100;1963;116226659.0;999;m
QS;npopul999m;p0p100;1964;119519626.0;999;m
QS;npopul999m;p0p100;1965;122884327.0;999;m
QS;npopul999m;p0p100;1966;126315652.0;999;m
QS;npopul999m;p0p100;1967;129805619.0;999;m
QS;npopul999m;p0p100;1968;133351204.0;999;m
QS;npopul999m;p0p100;1969;136955871.0;999;m
QS;npopul999m;p0p100;1970;140620807.0;999;m
QS;npopul999m;p0p100;1971;144353524.0;999;m
QS;npopul999m;p0p100;1972;148144391.0;999;m
QS;npopul999m;p0p100;1973;151966194.0;999;m
QS;npopul999m;p0p100;1974;155780710.0;999;m
QS;npopul999m;p0p100;1975;159565414.0;999;m
QS;npopul999m;p0p100;1976;163304466.0;999;m
QS;npopul999m;p0p100;1977;167014667.0;999;m
QS;npopul999m;p0p100;1978;170742118.0;999;m
QS;npopul999m;p0p100;1979;174557838.0;999;m
QS;npopul999m;p0p100;1980;178508806.0;999;m
QS;npopul999m;p0p100;1981;182650972.0;999;m
QS;npopul999m;p0p100;1982;186915896.0;999;m
QS;npopul999m;p0p100;1983;191242090.0;999;m
QS;npopul999m;p0p100;1984;195641124.0;999;m
QS;npopul999m;p0p100;1985;200048517.0;999;m
QS;npopul999m;p0p100;1986;204481856.0;999;m
QS;npopul999m;p0p100;1987;208960889.0;999;m
QS;npopul999m;p0p100;1988;213440246.0;999;m
QS;npopul999m;p0p100;1989;217865080.0;999;m
QS;npopul999m;p0p100;1990;222211136.0;999;m
QS;npopul999m;p0p100;1991;226428904.0;999;m
QS;npopul999m;p0p100;1992;230542071.0;999;m
QS;npopul999m;p0p100;1993;234563612.0;999;m
QS;npopul999m;p0p100;1994;238548846.0;999;m
QS;npopul999m;p0p100;1995;242513475.0;999;m
QS;npopul999m;p0p100;1996;246486973.0;999;m
QS;npopul999m;p0p100;1997;250429195.0;999;m
QS;npopul999m;p0p100;1998;254343075.0;999;m
QS;npopul999m;p0p100;1999;257716505.0;999;m
QS;npopul999m;p0p100;2000;261485941.0;999;m
QS;npopul999m;p0p100;2001;265212429.0;999;m
QS;npopul999m;p0p100;2002;268849302.0;999;m
QS;npopul999m;p0p100;2003;272403623.0;999;m
QS;npopul999m;p0p100;2004;276010608.0;999;m
QS;npopul999m;p0p100;2005;279657360.0;999;m
QS;npopul999m;p0p100;2006;283342039.0;999;m
QS;npopul999m;p0p100;2007;287068253.0;999;m
QS;npopul999m;p0p100;2008;290845017.0;999;m
QS;npopul999m;p0p100;2009;294587679.0;999;m
QS;npopul999m;p0p100;2010;298316194.0;999;m
QS;npopul999m;p0p100;2011;302073275.0;999;m
QS;npopul999m;p0p100;2012;305854291.0;999;m
QS;npopul999m;p0p100;2013;309601946.0;999;m
QS;npopul999m;p0p100;2014;313297966.0;999;m
QS;npopul999m;p0p100;2015;316924173.0;999;m
QS;npopul999m;p0p100;2016;320469521.0;999;m
QS;npopul999m;p0p100;2017;323934149.0;999;m
QS;npopul999m;p0p100;2018;327322027.0;999;m
QS;npopul999i;p0p100;1950;165557166.0;999;i
QS;npopul999i;p0p100;1951;169324842.0;999;i
QS;npopul999i;p0p100;1952;173374946.0;999;i
QS;npopul999i;p0p100;1953;177694331.0;999;i
QS;npopul999i;p0p100;1954;182270556.0;999;i
QS;npopul999i;p0p100;1955;187091698.0;999;i
QS;npopul999i;p0p100;1956;192146600.0;999;i
QS;npopul999i;p0p100;1957;197424792.0;999;i
QS;npopul999i;p0p100;1958;202916271.0;999;i
QS;npopul999i;p0p100;1959;208611702.0;999;i
QS;npopul999i;p0p100;1960;214501773.0;999;i
QS;npopul999i;p0p100;1961;220576170.0;999;i
QS;npopul999i;p0p100;1962;226822456.0;999;i
QS;npopul999i;p0p100;1963;233234798.0;999;i
QS;npopul999i;p0p100;1964;239806256.0;999;i
QS;npopul999i;p0p100;1965;246523033.0;999;i
QS;npopul999i;p0p100;1966;253375368.0;999;i
QS;npopul999i;p0p100;1967;260348418.0;999;i
QS;npopul999i;p0p100;1968;267437545.0;999;i
QS;npopul999i;p0p100;1969;274650762.0;999;i
QS;npopul999i;p0p100;1970;281991468.0;999;i
QS;npopul999i;p0p100;1971;289474301.0;999;i
