country;variable;percentile;year;value;age;pop
QT;sptinc992j;p9p100;1990;0.9886782346;992;j
QT;sptinc992j;p9p100;1991;0.9890938101;992;j
QT;sptinc992j;p9p100;1992;0.9887503482;992;j
QT;sptinc992j;p9p100;1993;0.987897707;992;j
QT;sptinc992j;p9p100;1994;0.9886169212;992;j
QT;sptinc992j;p9p100;1995;0.9884014274;992;j
QT;sptinc992j;p9p100;1996;0.9885415225;992;j
QT;sptinc992j;p9p100;1997;0.9889519347;992;j
QT;sptinc992j;p9p100;1998;0.9896220667;992;j
QT;sptinc992j;p9p100;1999;0.9903432467;992;j
QT;sptinc992j;p9p100;2000;0.9912783545;992;j
QT;sptinc992j;p9p100;2001;0.9908641497;992;j
QT;sptinc992j;p9p100;2002;0.9904630732;992;j
QT;sptinc992j;p9p100;2003;0.9900149123;992;j
QT;sptinc992j;p9p100;2004;0.9891503444;992;j
QT;sptinc992j;p9p100;2005;0.9890418746;992;j
QT;sptinc992j;p9p100;2006;0.9900878371;992;j
QT;sptinc992j;p9p100;2007;0.9918847141;992;j
QT;sptinc992j;p9p100;2008;0.9911238837;992;j
QT;sptinc992j;p9p100;2009;0.9907220671;992;j
QT;sptinc992j;p9p100;2010;0.9923153438;992;j
QT;sptinc992j;p9p100;2011;0.9932508951;992;j
QT;sptinc992j;p9p100;2012;0.9960419802;992;j
QT;sptinc992j;p9p100;2013;0.9962304259;992;j
QT;sptinc992j;p9p100;2014;0.9964199328;992;j
QT;sptinc992j;p9p100;2015;0.9964108852;992;j
QT;sptinc992j;p9p100;2016;0.9964119434;992;j
QT;sptinc992j;p9p100;2017;0.996409201;992;j
QT;sptinc992j;p9p10;1990;0.0022185999;992;j
QT;sptinc992j;p9p10;1991;0.0020162011;992;j
QT;sptinc992j;p9p10;1992;0.0020613356;992;j
QT;sptinc992j;p9p10;1993;0.002309972;992;j
QT;sptinc992j;p9p10;1994;0.0022282214;992;j
QT;sptinc992j;p9p10;1995;0.0021534509;992;j
QT;sptinc992j;p9p10;1996;0.0020754926;992;j
QT;sptinc992j;p9p10;1997;0.0018941354;992;j
QT;sptinc992j;p9p10;1998;0.0017179667;992;j
QT;sptinc992j;p9p10;1999;0.0015577039;992;j
QT;sptinc992j;p9p10;2000;0.0014023702;992;j
QT;sptinc992j;p9p10;2001;0.0014586366;992;j
QT;sptinc992j;p9p10;2002;0.0015163155;992;j
QT;sptinc992j;p9p10;2003;0.0015710393;992;j
QT;sptinc992j;p9p10;2004;0.0017286327;992;j
QT;sptinc992j;p9p10;2005;0.0017365586;992;j
QT;sptinc992j;p9p10;2006;0.0015318616;992;j
QT;sptinc992j;p9p10;2007;0.0012279273;992;j
QT;sptinc992j;p9p10;2008;0.0013436835;992;j
QT;sptinc992j;p9p10;2009;0.0014104536;992;j
QT;sptinc992j;p9p10;2010;0.0011571496;992;j
QT;sptinc992j;p9p10;2011;0.0010220291;992;j
QT;sptinc992j;p9p10;2012;0.0006623869;992;j
QT;sptinc992j;p9p10;2013;0.000641374;992;j
QT;sptinc992j;p9p10;2014;0.0006213114;992;j
QT;sptinc992j;p9p10;2015;0.0006230135;992;j
QT;sptinc992j;p9p10;2016;0.000622821;992;j
QT;sptinc992j;p9p10;2017;0.0006232972;992;j
QT;sptinc992j;p99p99.1;1990;0.0076799602;992;j
QT;sptinc992j;p99p99.1;1991;0.0077120843;992;j
QT;sptinc992j;p99p99.1;1992;0.0077953646;992;j
QT;sptinc992j;p99p99.1;1993;0.007568738;992;j
QT;sptinc992j;p99p99.1;1994;0.0078330813;992;j
QT;sptinc992j;p99p99.1;1995;0.008102715;992;j
QT;sptinc992j;p99p99.1;1996;0.0083560944;992;j
QT;sptinc992j;p99p99.1;1997;0.0086169234;992;j
QT;sptinc992j;p99p99.1;1998;0.0088809319;992;j
QT;sptinc992j;p99p99.1;1999;0.0091312258;992;j
QT;sptinc992j;p99p99.1;2000;0.0093786474;992;j
QT;sptinc992j;p99p99.1;2001;0.0096131237;992;j
QT;sptinc992j;p99p99.1;2002;0.0098521169;992;j
QT;sptinc992j;p99p99.1;2003;0.0100685414;992;j
QT;sptinc992j;p99p99.1;2004;0.0100516779;992;j
QT;sptinc992j;p99p99.1;2005;0.0102576492;992;j
QT;sptinc992j;p99p99.1;2006;0.0105878366;992;j
QT;sptinc992j;p99p99.1;2007;0.0107827783;992;j
QT;sptinc992j;p99p99.1;2008;0.0110098924;992;j
QT;sptinc992j;p99p99.1;2009;0.0107212653;992;j
