country;variable;percentile;year;value;age;pop
QU;xlcyux999i;p0p100;2018;0.40537643;999;i
QU;xlcyup999i;p0p100;2018;0.23799415;999;i
QU;xlcusx999i;p0p100;2018;2.5875499;999;i
QU;xlcusp999i;p0p100;2018;0.75421751;999;i
QU;xlceux999i;p0p100;2018;3.1718848;999;i
QU;xlceup999i;p0p100;2018;1.0;999;i
QU;npopul999m;p0p100;1950;255254152.0;999;m
QU;npopul999m;p0p100;1951;259490132.0;999;m
QU;npopul999m;p0p100;1952;263993920.0;999;m
QU;npopul999m;p0p100;1953;268723578.0;999;m
QU;npopul999m;p0p100;1954;273658418.0;999;m
QU;npopul999m;p0p100;1955;278792108.0;999;m
QU;npopul999m;p0p100;1956;284291353.0;999;m
QU;npopul999m;p0p100;1957;289992576.0;999;m
QU;npopul999m;p0p100;1958;295910814.0;999;m
QU;npopul999m;p0p100;1959;302058314.0;999;m
QU;npopul999m;p0p100;1960;308430538.0;999;m
QU;npopul999m;p0p100;1961;315076463.0;999;m
QU;npopul999m;p0p100;1962;321979991.0;999;m
QU;npopul999m;p0p100;1963;329113281.0;999;m
QU;npopul999m;p0p100;1964;336440954.0;999;m
QU;npopul999m;p0p100;1965;343946012.0;999;m
QU;npopul999m;p0p100;1966;351772641.0;999;m
QU;npopul999m;p0p100;1967;359813271.0;999;m
QU;npopul999m;p0p100;1968;368059650.0;999;m
QU;npopul999m;p0p100;1969;376500939.0;999;m
QU;npopul999m;p0p100;1970;385119355.0;999;m
QU;npopul999m;p0p100;1971;394004828.0;999;m
QU;npopul999m;p0p100;1972;403086042.0;999;m
QU;npopul999m;p0p100;1973;412380649.0;999;m
QU;npopul999m;p0p100;1974;421922163.0;999;m
QU;npopul999m;p0p100;1975;431743414.0;999;m
QU;npopul999m;p0p100;1976;442017862.0;999;m
QU;npopul999m;p0p100;1977;452598463.0;999;m
QU;npopul999m;p0p100;1978;463497490.0;999;m
QU;npopul999m;p0p100;1979;474721430.0;999;m
QU;npopul999m;p0p100;1980;486257500.0;999;m
QU;npopul999m;p0p100;1981;498264236.0;999;m
QU;npopul999m;p0p100;1982;510573735.0;999;m
QU;npopul999m;p0p100;1983;523132772.0;999;m
QU;npopul999m;p0p100;1984;535879149.0;999;m
QU;npopul999m;p0p100;1985;548763138.0;999;m
QU;npopul999m;p0p100;1986;561965830.0;999;m
QU;npopul999m;p0p100;1987;575300823.0;999;m
QU;npopul999m;p0p100;1988;588747772.0;999;m
QU;npopul999m;p0p100;1989;602287530.0;999;m
QU;npopul999m;p0p100;1990;615891356.0;999;m
QU;npopul999m;p0p100;1991;629778306.0;999;m
QU;npopul999m;p0p100;1992;643718035.0;999;m
QU;npopul999m;p0p100;1993;657662232.0;999;m
QU;npopul999m;p0p100;1994;671560893.0;999;m
QU;npopul999m;p0p100;1995;685375203.0;999;m
QU;npopul999m;p0p100;1996;699345973.0;999;m
QU;npopul999m;p0p100;1997;713223848.0;999;m
QU;npopul999m;p0p100;1998;727019547.0;999;m
QU;npopul999m;p0p100;1999;740760686.0;999;m
QU;npopul999m;p0p100;2000;754454649.0;999;m
QU;npopul999m;p0p100;2001;768388165.0;999;m
QU;npopul999m;p0p100;2002;782264895.0;999;m
QU;npopul999m;p0p100;2003;795996957.0;999;m
QU;npopul999m;p0p100;2004;809484911.0;999;m
QU;npopul999m;p0p100;2005;822655927.0;999;m
QU;npopul999m;p0p100;2006;835777404.0;999;m
QU;npopul999m;p0p100;2007;848637281.0;999;m
QU;npopul999m;p0p100;2008;861218635.0;999;m
QU;npopul999m;p0p100;2009;873489999.0;999;m
QU;npopul999m;p0p100;2010;885438999.0;999;m
QU;npopul999m;p0p100;2011;897609506.0;999;m
QU;npopul999m;p0p100;2012;909363517.0;999;m
QU;npopul999m;p0p100;2013;920845841.0;999;m
QU;npopul999m;p0p100;2014;932275877.0;999;m
QU;npopul999m;p0p100;2015;943768944.0;999;m
QU;npopul999m;p0p100;2016;955274372.0;999;m
QU;npopul999m;p0p100;2017;966772549.0;999;m
