country;variable;percentile;year;value;age;pop
QW;xlcyux999i;p0p100;2018;0.26058525;999;i
QW;xlcyup999i;p0p100;2018;0.23799415;999;i
QW;xlcusx999i;p0p100;2018;1.6633363;999;i
QW;xlcusp999i;p0p100;2018;0.75421751;999;i
QW;xlceux999i;p0p100;2018;2.0389602;999;i
QW;xlceup999i;p0p100;2018;1.0;999;i
QW;npopul999m;p0p100;1950;101424533.0;999;m
QW;npopul999m;p0p100;1951;103334839.0;999;m
QW;npopul999m;p0p100;1952;105435638.0;999;m
QW;npopul999m;p0p100;1953;107675466.0;999;m
QW;npopul999m;p0p100;1954;110012410.0;999;m
QW;npopul999m;p0p100;1955;112413802.0;999;m
QW;npopul999m;p0p100;1956;114856923.0;999;m
QW;npopul999m;p0p100;1957;117328397.0;999;m
QW;npopul999m;p0p100;1958;119823204.0;999;m
QW;npopul999m;p0p100;1959;122342450.0;999;m
QW;npopul999m;p0p100;1960;124887811.0;999;m
QW;npopul999m;p0p100;1961;127455043.0;999;m
QW;npopul999m;p0p100;1962;130028486.0;999;m
QW;npopul999m;p0p100;1963;132578994.0;999;m
QW;npopul999m;p0p100;1964;135070227.0;999;m
QW;npopul999m;p0p100;1965;137478422.0;999;m
QW;npopul999m;p0p100;1966;139791331.0;999;m
QW;npopul999m;p0p100;1967;142021335.0;999;m
QW;npopul999m;p0p100;1968;144201093.0;999;m
QW;npopul999m;p0p100;1969;146377727.0;999;m
QW;npopul999m;p0p100;1970;148587433.0;999;m
QW;npopul999m;p0p100;1971;150842476.0;999;m
QW;npopul999m;p0p100;1972;153139843.0;999;m
QW;npopul999m;p0p100;1973;155482696.0;999;m
QW;npopul999m;p0p100;1974;157870254.0;999;m
QW;npopul999m;p0p100;1975;160302959.0;999;m
QW;npopul999m;p0p100;1976;162782164.0;999;m
QW;npopul999m;p0p100;1977;165313985.0;999;m
QW;npopul999m;p0p100;1978;167908595.0;999;m
QW;npopul999m;p0p100;1979;170578176.0;999;m
QW;npopul999m;p0p100;1980;173329415.0;999;m
QW;npopul999m;p0p100;1981;176155937.0;999;m
QW;npopul999m;p0p100;1982;179047652.0;999;m
QW;npopul999m;p0p100;1983;182000871.0;999;m
QW;npopul999m;p0p100;1984;185011122.0;999;m
