country;variable;percentile;year;value;age;pop
QY-MER;sptinc992j;p98p100;1980;0.1142;992;j
QY-MER;sptinc992j;p98p100;1981;0.1136;992;j
QY-MER;sptinc992j;p98p100;1982;0.1121;992;j
QY-MER;sptinc992j;p98p100;1983;0.1121;992;j
QY-MER;sptinc992j;p98p100;1984;0.114;992;j
QY-MER;sptinc992j;p98p100;1985;0.116;992;j
QY-MER;sptinc992j;p98p100;1986;0.119;992;j
QY-MER;sptinc992j;p98p100;1987;0.1228;992;j
QY-MER;sptinc992j;p98p100;1988;0.1269;992;j
QY-MER;sptinc992j;p98p100;1989;0.1295;992;j
QY-MER;sptinc992j;p98p100;1990;0.1275;992;j
QY-MER;sptinc992j;p98p100;1991;0.12819999;992;j
QY-MER;sptinc992j;p98p100;1992;0.1266;992;j
QY-MER;sptinc992j;p98p100;1993;0.12710001;992;j
QY-MER;sptinc992j;p98p100;1994;0.12899999;992;j
QY-MER;sptinc992j;p98p100;1995;0.12980001;992;j
QY-MER;sptinc992j;p98p100;1996;0.13420001;992;j
QY-MER;sptinc992j;p98p100;1997;0.1366;992;j
QY-MER;sptinc992j;p98p100;1998;0.13940001;992;j
QY-MER;sptinc992j;p98p100;1999;0.1398;992;j
QY-MER;sptinc992j;p98p100;2000;0.1407;992;j
QY-MER;sptinc992j;p98p100;2001;0.1416;992;j
QY-MER;sptinc992j;p98p100;2002;0.1398;992;j
QY-MER;sptinc992j;p98p100;2003;0.14040001;992;j
QY-MER;sptinc992j;p98p100;2004;0.1437;992;j
QY-MER;sptinc992j;p98p100;2005;0.14830001;992;j
QY-MER;sptinc992j;p98p100;2006;0.15000001;992;j
QY-MER;sptinc992j;p98p100;2007;0.155;992;j
QY-MER;sptinc992j;p98p100;2008;0.1514;992;j
QY-MER;sptinc992j;p98p100;2009;0.1453;992;j
QY-MER;sptinc992j;p98p100;2010;0.1433;992;j
QY-MER;sptinc992j;p98p100;2011;0.1468;992;j
QY-MER;sptinc992j;p98p100;2012;0.14560001;992;j
QY-MER;sptinc992j;p98p100;2013;0.1497;992;j
QY-MER;sptinc992j;p98p100;2014;0.1479;992;j
QY-MER;sptinc992j;p98p100;2015;0.1515;992;j
QY-MER;sptinc992j;p98p100;2016;0.15099999;992;j
QY-MER;sptinc992j;p98p100;2017;0.1513;992;j
QY-MER;sptinc992j;p97p98;1980;0.031300001;992;j
QY-MER;sptinc992j;p97p98;1981;0.0309;992;j
QY-MER;sptinc992j;p97p98;1982;0.0308;992;j
QY-MER;sptinc992j;p97p98;1983;0.031099999;992;j
QY-MER;sptinc992j;p97p98;1984;0.031300001;992;j
QY-MER;sptinc992j;p97p98;1985;0.031399999;992;j
QY-MER;sptinc992j;p97p98;1986;0.031800002;992;j
QY-MER;sptinc992j;p97p98;1987;0.032000002;992;j
QY-MER;sptinc992j;p97p98;1988;0.032400001;992;j
QY-MER;sptinc992j;p97p98;1989;0.032600001;992;j
QY-MER;sptinc992j;p97p98;1990;0.032699998;992;j
QY-MER;sptinc992j;p97p98;1991;0.032699998;992;j
QY-MER;sptinc992j;p97p98;1992;0.032900002;992;j
QY-MER;sptinc992j;p97p98;1993;0.033100002;992;j
QY-MER;sptinc992j;p97p98;1994;0.033199999;992;j
QY-MER;sptinc992j;p97p98;1995;0.033100002;992;j
QY-MER;sptinc992j;p97p98;1996;0.033;992;j
QY-MER;sptinc992j;p97p98;1997;0.033;992;j
QY-MER;sptinc992j;p97p98;1998;0.033300001;992;j
QY-MER;sptinc992j;p97p98;1999;0.0337;992;j
QY-MER;sptinc992j;p97p98;2000;0.0337;992;j
QY-MER;sptinc992j;p97p98;2001;0.033799998;992;j
QY-MER;sptinc992j;p97p98;2002;0.033599999;992;j
QY-MER;sptinc992j;p97p98;2003;0.0337;992;j
QY-MER;sptinc992j;p97p98;2004;0.0337;992;j
QY-MER;sptinc992j;p97p98;2005;0.033799998;992;j
QY-MER;sptinc992j;p97p98;2006;0.0339;992;j
QY-MER;sptinc992j;p97p98;2007;0.034400001;992;j
QY-MER;sptinc992j;p97p98;2008;0.033799998;992;j
QY-MER;sptinc992j;p97p98;2009;0.0339;992;j
QY-MER;sptinc992j;p97p98;2010;0.033799998;992;j
QY-MER;sptinc992j;p97p98;2011;0.0341;992;j
QY-MER;sptinc992j;p97p98;2012;0.034299999;992;j
QY-MER;sptinc992j;p97p98;2013;0.0348;992;j
QY-MER;sptinc992j;p97p98;2014;0.034699999;992;j
QY-MER;sptinc992j;p97p98;2015;0.034600001;992;j
QY-MER;sptinc992j;p97p98;2016;0.034400001;992;j
QY-MER;sptinc992j;p97p98;2017;0.034400001;992;j
QY-MER;sptinc992j;p97p100;1980;0.1455;992;j
QY-MER;sptinc992j;p97p100;1981;0.1445;992;j
QY-MER;sptinc992j;p97p100;1982;0.1429;992;j
QY-MER;sptinc992j;p97p100;1983;0.1432;992;j
QY-MER;sptinc992j;p97p100;1984;0.1453;992;j
QY-MER;sptinc992j;p97p100;1985;0.14749999;992;j
QY-MER;sptinc992j;p97p100;1986;0.1508;992;j
QY-MER;sptinc992j;p97p100;1987;0.1548;992;j
QY-MER;sptinc992j;p97p100;1988;0.1593;992;j
QY-MER;sptinc992j;p97p100;1989;0.1621;992;j
QY-MER;sptinc992j;p97p100;1990;0.1603;992;j
QY-MER;sptinc992j;p97p100;1991;0.1609;992;j
QY-MER;sptinc992j;p97p100;1992;0.1595;992;j
QY-MER;sptinc992j;p97p100;1993;0.1602;992;j
QY-MER;sptinc992j;p97p100;1994;0.1621;992;j
QY-MER;sptinc992j;p97p100;1995;0.1629;992;j
