country;variable;percentile;year;value;age;pop
SB;xlcyux999i;p0p100;1960;0.36268333;999;i
SB;xlcyux999i;p0p100;1961;0.36268333;999;i
SB;xlcyux999i;p0p100;1962;0.36268333;999;i
SB;xlcyux999i;p0p100;1963;0.36268333;999;i
SB;xlcyux999i;p0p100;1964;0.36268333;999;i
SB;xlcyux999i;p0p100;1965;0.36268333;999;i
SB;xlcyux999i;p0p100;1966;0.36268333;999;i
SB;xlcyux999i;p0p100;1967;0.36268333;999;i
SB;xlcyux999i;p0p100;1968;0.36268333;999;i
SB;xlcyux999i;p0p100;1969;0.36268333;999;i
SB;xlcyux999i;p0p100;1970;0.36268333;999;i
SB;xlcyux999i;p0p100;1971;0.35811734;999;i
SB;xlcyux999i;p0p100;1972;0.37295112;999;i
SB;xlcyux999i;p0p100;1973;0.35393003;999;i
SB;xlcyux999i;p0p100;1974;0.35596496;999;i
SB;xlcyux999i;p0p100;1975;0.41072002;999;i
SB;xlcyux999i;p0p100;1976;0.42148805;999;i
SB;xlcyux999i;p0p100;1977;0.48541573;999;i
SB;xlcyux999i;p0p100;1978;0.51892602;999;i
SB;xlcyux999i;p0p100;1979;0.55691212;999;i
SB;xlcyux999i;p0p100;1980;0.55381405;999;i
SB;xlcyux999i;p0p100;1981;0.5104987;999;i
SB;xlcyux999i;p0p100;1982;0.51312178;999;i
SB;xlcyux999i;p0p100;1983;0.58134979;999;i
SB;xlcyux999i;p0p100;1984;0.54900527;999;i
SB;xlcyux999i;p0p100;1985;0.50423527;999;i
SB;xlcyux999i;p0p100;1986;0.5043745;999;i
SB;xlcyux999i;p0p100;1987;0.5382154;999;i
SB;xlcyux999i;p0p100;1988;0.55950046;999;i
SB;xlcyux999i;p0p100;1989;0.60907722;999;i
SB;xlcyux999i;p0p100;1990;0.52867931;999;i
SB;xlcyux999i;p0p100;1991;0.50996625;999;i
SB;xlcyux999i;p0p100;1992;0.53097314;999;i
SB;xlcyux999i;p0p100;1993;0.55323786;999;i
SB;xlcyux999i;p0p100;1994;0.3818838;999;i
SB;xlcyux999i;p0p100;1995;0.40782303;999;i
SB;xlcyux999i;p0p100;1996;0.42894918;999;i
SB;xlcyux999i;p0p100;1997;0.44837439;999;i
