country;variable;percentile;year;value;age;pop
SC;tptinc992j;p9p100;1990;23115.29296875;992;j
SC;tptinc992j;p9p100;1991;23120.279296875;992;j
SC;tptinc992j;p9p100;1992;24171.591796875;992;j
SC;tptinc992j;p9p100;1993;24469.298828125;992;j
SC;tptinc992j;p9p100;1994;23578.494140625;992;j
SC;tptinc992j;p9p100;1995;22177.67578125;992;j
SC;tptinc992j;p9p100;1996;22073.1171875;992;j
SC;tptinc992j;p9p100;1997;25396.634765625;992;j
SC;tptinc992j;p9p100;1998;27693.72265625;992;j
SC;tptinc992j;p9p100;1999;27450.49609375;992;j
SC;tptinc992j;p9p100;2000;26455.771484375;992;j
SC;tptinc992j;p9p100;2001;25289.99609375;992;j
SC;tptinc992j;p9p100;2002;23709.8046875;992;j
SC;tptinc992j;p9p100;2003;22083.796875;992;j
SC;tptinc992j;p9p100;2004;21158.7421875;992;j
SC;tptinc992j;p9p100;2005;22651.373046875;992;j
SC;tptinc992j;p9p100;2006;24775.626953125;992;j
SC;tptinc992j;p9p100;2007;26429.7109375;992;j
SC;tptinc992j;p9p100;2008;25044.115234375;992;j
SC;tptinc992j;p9p100;2009;24550.533203125;992;j
SC;tptinc992j;p9p100;2010;27247.884765625;992;j
SC;tptinc992j;p9p100;2011;26569.609375;992;j
SC;tptinc992j;p9p100;2012;29325.439453125;992;j
SC;tptinc992j;p9p100;2013;28836.353515625;992;j
SC;tptinc992j;p9p100;2014;29245.490234375;992;j
SC;tptinc992j;p9p100;2015;30354.9453125;992;j
SC;tptinc992j;p9p100;2016;30799.22265625;992;j
SC;tptinc992j;p9p100;2017;32493.052734375;992;j
SC;tptinc992j;p9p10;1990;23115.29296875;992;j
SC;tptinc992j;p9p10;1991;23120.279296875;992;j
SC;tptinc992j;p9p10;1992;24171.591796875;992;j
SC;tptinc992j;p9p10;1993;24469.298828125;992;j
SC;tptinc992j;p9p10;1994;23578.494140625;992;j
SC;tptinc992j;p9p10;1995;22177.67578125;992;j
SC;tptinc992j;p9p10;1996;22073.1171875;992;j
SC;tptinc992j;p9p10;1997;25396.634765625;992;j
SC;tptinc992j;p9p10;1998;27693.72265625;992;j
SC;tptinc992j;p9p10;1999;27450.49609375;992;j
SC;tptinc992j;p9p10;2000;26455.771484375;992;j
SC;tptinc992j;p9p10;2001;25289.99609375;992;j
SC;tptinc992j;p9p10;2002;23709.8046875;992;j
SC;tptinc992j;p9p10;2003;22083.796875;992;j
SC;tptinc992j;p9p10;2004;21158.7421875;992;j
SC;tptinc992j;p9p10;2005;22651.373046875;992;j
SC;tptinc992j;p9p10;2006;24775.626953125;992;j
SC;tptinc992j;p9p10;2007;26429.7109375;992;j
SC;tptinc992j;p9p10;2008;25044.115234375;992;j
SC;tptinc992j;p9p10;2009;24550.533203125;992;j
SC;tptinc992j;p9p10;2010;27247.884765625;992;j
SC;tptinc992j;p9p10;2011;26569.609375;992;j
SC;tptinc992j;p9p10;2012;29325.439453125;992;j
SC;tptinc992j;p9p10;2013;28836.353515625;992;j
SC;tptinc992j;p9p10;2014;29245.490234375;992;j
SC;tptinc992j;p9p10;2015;30354.9453125;992;j
SC;tptinc992j;p9p10;2016;30799.22265625;992;j
SC;tptinc992j;p9p10;2017;32493.052734375;992;j
SC;tptinc992j;p99p99.1;1990;1694934.625;992;j
SC;tptinc992j;p99p99.1;1991;1695300.375;992;j
SC;tptinc992j;p99p99.1;1992;1772388.125;992;j
SC;tptinc992j;p99p99.1;1993;1794217.5;992;j
SC;tptinc992j;p99p99.1;1994;1728899.0;992;j
SC;tptinc992j;p99p99.1;1995;1626183.75;992;j
SC;tptinc992j;p99p99.1;1996;1618516.875;992;j
SC;tptinc992j;p99p99.1;1997;1862214.625;992;j
SC;tptinc992j;p99p99.1;1998;2030649.125;992;j
SC;tptinc992j;p99p99.1;1999;2012814.625;992;j
SC;tptinc992j;p99p99.1;2000;1920993.875;992;j
SC;tptinc992j;p99p99.1;2001;1818559.5;992;j
SC;tptinc992j;p99p99.1;2002;1688499.25;992;j
SC;tptinc992j;p99p99.1;2003;1557618.25;992;j
SC;tptinc992j;p99p99.1;2004;1478125.625;992;j
SC;tptinc992j;p99p99.1;2005;1567362.25;992;j
SC;tptinc992j;p99p99.1;2006;1698132.75;992;j
SC;tptinc992j;p99p99.1;2007;1811504.375;992;j
SC;tptinc992j;p99p99.1;2008;1716535.125;992;j
SC;tptinc992j;p99p99.1;2009;1682704.75;992;j
SC;tptinc992j;p99p99.1;2010;1867582.5;992;j
SC;tptinc992j;p99p99.1;2011;1821093.125;992;j
SC;tptinc992j;p99p99.1;2012;2009979.0;992;j
SC;tptinc992j;p99p99.1;2013;1976456.75;992;j
SC;tptinc992j;p99p99.1;2014;2004499.25;992;j
SC;tptinc992j;p99p99.1;2015;2080541.75;992;j
SC;tptinc992j;p99p99.1;2016;2110992.75;992;j
SC;tptinc992j;p99p99.1;2017;2227088.5;992;j
SC;tptinc992j;p99p100;1990;1694934.625;992;j
SC;tptinc992j;p99p100;1991;1695300.375;992;j
SC;tptinc992j;p99p100;1992;1772388.125;992;j
SC;tptinc992j;p99p100;1993;1794217.5;992;j
SC;tptinc992j;p99p100;1994;1728899.0;992;j
SC;tptinc992j;p99p100;1995;1626183.75;992;j
SC;tptinc992j;p99p100;1996;1618516.875;992;j
SC;tptinc992j;p99p100;1997;1862214.625;992;j
SC;tptinc992j;p99p100;1998;2030649.125;992;j
SC;tptinc992j;p99p100;1999;2012814.625;992;j
SC;tptinc992j;p99p100;2000;1920993.875;992;j
SC;tptinc992j;p99p100;2001;1818559.5;992;j
SC;tptinc992j;p99p100;2002;1688499.25;992;j
SC;tptinc992j;p99p100;2003;1557618.25;992;j
SC;tptinc992j;p99p100;2004;1478125.625;992;j
SC;tptinc992j;p99p100;2005;1567362.25;992;j
SC;tptinc992j;p99p100;2006;1698132.75;992;j
SC;tptinc992j;p99p100;2007;1811504.375;992;j
SC;tptinc992j;p99p100;2008;1716535.125;992;j
SC;tptinc992j;p99p100;2009;1682704.75;992;j
SC;tptinc992j;p99p100;2010;1867582.5;992;j
SC;tptinc992j;p99p100;2011;1821093.125;992;j
SC;tptinc992j;p99p100;2012;2009979.0;992;j
SC;tptinc992j;p99p100;2013;1976456.75;992;j
SC;tptinc992j;p99p100;2014;2004499.25;992;j
SC;tptinc992j;p99p100;2015;2080541.75;992;j
SC;tptinc992j;p99p100;2016;2110992.75;992;j
SC;tptinc992j;p99p100;2017;2227088.5;992;j
SC;tptinc992j;p99.9p99.91;1990;6533137.0;992;j
SC;tptinc992j;p99.9p99.91;1991;6534546.5;992;j
SC;tptinc992j;p99.9p99.91;1992;6831681.5;992;j
SC;tptinc992j;p99.9p99.91;1993;6915823.5;992;j
SC;tptinc992j;p99.9p99.91;1994;6664052.5;992;j
SC;tptinc992j;p99.9p99.91;1995;6268136.0;992;j
SC;tptinc992j;p99.9p99.91;1996;6238584.0;992;j
SC;tptinc992j;p99.9p99.91;1997;7177918.5;992;j
SC;tptinc992j;p99.9p99.91;1998;7827150.5;992;j
SC;tptinc992j;p99.9p99.91;1999;7758407.5;992;j
SC;tptinc992j;p99.9p99.91;2000;7340738.5;992;j
SC;tptinc992j;p99.9p99.91;2001;6888148.0;992;j
SC;tptinc992j;p99.9p99.91;2002;6337974.0;992;j
SC;tptinc992j;p99.9p99.91;2003;5792897.5;992;j
SC;tptinc992j;p99.9p99.91;2004;5445514.0;992;j
SC;tptinc992j;p99.9p99.91;2005;5718658.5;992;j
SC;tptinc992j;p99.9p99.91;2006;6134718.5;992;j
SC;tptinc992j;p99.9p99.91;2007;6544288.0;992;j
SC;tptinc992j;p99.9p99.91;2008;6201199.5;992;j
SC;tptinc992j;p99.9p99.91;2009;6078983.0;992;j
SC;tptinc992j;p99.9p99.91;2010;6746877.0;992;j
SC;tptinc992j;p99.9p99.91;2011;6578928.5;992;j
SC;tptinc992j;p99.9p99.91;2012;7261302.5;992;j
SC;tptinc992j;p99.9p99.91;2013;7140199.5;992;j
SC;tptinc992j;p99.9p99.91;2014;7241506.5;992;j
SC;tptinc992j;p99.9p99.91;2015;7516219.5;992;j
SC;tptinc992j;p99.9p99.91;2016;7626228.0;992;j
