country;variable;percentile;year;value;age;pop
SD;tptinc992j;p9p100;1990;4967.6313476562;992;j
SD;tptinc992j;p9p100;1991;5183.4047851562;992;j
SD;tptinc992j;p9p100;1992;5303.8056640625;992;j
SD;tptinc992j;p9p100;1993;5265.8715820312;992;j
SD;tptinc992j;p9p100;1994;5321.416015625;992;j
SD;tptinc992j;p9p100;1995;5500.4521484375;992;j
SD;tptinc992j;p9p100;1996;5425.1435546875;992;j
SD;tptinc992j;p9p100;1997;5677.0693359375;992;j
SD;tptinc992j;p9p100;1998;5888.7856445312;992;j
SD;tptinc992j;p9p100;1999;6023.7573242188;992;j
SD;tptinc992j;p9p100;2000;5860.8247070312;992;j
SD;tptinc992j;p9p100;2001;6417.63671875;992;j
SD;tptinc992j;p9p100;2002;6713.154296875;992;j
SD;tptinc992j;p9p100;2003;6895.3920898438;992;j
SD;tptinc992j;p9p100;2004;7054.2241210938;992;j
SD;tptinc992j;p9p100;2005;7309.0166015625;992;j
SD;tptinc992j;p9p100;2006;7267.830078125;992;j
SD;tptinc992j;p9p100;2007;7772.5415039062;992;j
SD;tptinc992j;p9p100;2008;8107.2861328125;992;j
SD;tptinc992j;p9p100;2009;7476.650390625;992;j
SD;tptinc992j;p9p100;2010;8079.8530273438;992;j
SD;tptinc992j;p9p100;2011;8149.6318359375;992;j
SD;tptinc992j;p9p100;2012;8016.0185546875;992;j
SD;tptinc992j;p9p100;2013;7677.90625;992;j
SD;tptinc992j;p9p100;2014;7928.1450195312;992;j
SD;tptinc992j;p9p100;2015;7911.2314453125;992;j
SD;tptinc992j;p9p100;2016;7968.248046875;992;j
SD;tptinc992j;p9p100;2017;7958.9194335938;992;j
SD;tptinc992j;p9p10;1990;4967.6313476562;992;j
SD;tptinc992j;p9p10;1991;5183.4047851562;992;j
SD;tptinc992j;p9p10;1992;5303.8056640625;992;j
SD;tptinc992j;p9p10;1993;5265.8715820312;992;j
SD;tptinc992j;p9p10;1994;5321.416015625;992;j
SD;tptinc992j;p9p10;1995;5500.4521484375;992;j
SD;tptinc992j;p9p10;1996;5425.1435546875;992;j
SD;tptinc992j;p9p10;1997;5677.0693359375;992;j
SD;tptinc992j;p9p10;1998;5888.7856445312;992;j
SD;tptinc992j;p9p10;1999;6023.7573242188;992;j
SD;tptinc992j;p9p10;2000;5860.8247070312;992;j
SD;tptinc992j;p9p10;2001;6417.63671875;992;j
SD;tptinc992j;p9p10;2002;6713.154296875;992;j
SD;tptinc992j;p9p10;2003;6895.3920898438;992;j
SD;tptinc992j;p9p10;2004;7054.2241210938;992;j
SD;tptinc992j;p9p10;2005;7309.0166015625;992;j
SD;tptinc992j;p9p10;2006;7267.830078125;992;j
SD;tptinc992j;p9p10;2007;7772.5415039062;992;j
SD;tptinc992j;p9p10;2008;8107.2861328125;992;j
SD;tptinc992j;p9p10;2009;7476.650390625;992;j
SD;tptinc992j;p9p10;2010;8079.8530273438;992;j
SD;tptinc992j;p9p10;2011;8149.6318359375;992;j
SD;tptinc992j;p9p10;2012;8016.0185546875;992;j
SD;tptinc992j;p9p10;2013;7677.90625;992;j
SD;tptinc992j;p9p10;2014;7928.1450195312;992;j
SD;tptinc992j;p9p10;2015;7911.2314453125;992;j
SD;tptinc992j;p9p10;2016;7968.248046875;992;j
SD;tptinc992j;p9p10;2017;7958.9194335938;992;j
SD;tptinc992j;p99p99.1;1990;209803.234375;992;j
SD;tptinc992j;p99p99.1;1991;218916.21875;992;j
SD;tptinc992j;p99p99.1;1992;224001.234375;992;j
SD;tptinc992j;p99p99.1;1993;222399.125;992;j
SD;tptinc992j;p99p99.1;1994;224744.984375;992;j
SD;tptinc992j;p99p99.1;1995;232306.40625;992;j
SD;tptinc992j;p99p99.1;1996;229125.828125;992;j
SD;tptinc992j;p99p99.1;1997;239765.6875;992;j
SD;tptinc992j;p99p99.1;1998;248707.3125;992;j
SD;tptinc992j;p99p99.1;1999;254407.703125;992;j
SD;tptinc992j;p99p99.1;2000;247526.40625;992;j
SD;tptinc992j;p99p99.1;2001;271042.84375;992;j
SD;tptinc992j;p99p99.1;2002;283523.75;992;j
SD;tptinc992j;p99p99.1;2003;291220.40625;992;j
SD;tptinc992j;p99p99.1;2004;297928.5;992;j
SD;tptinc992j;p99p99.1;2005;308689.40625;992;j
SD;tptinc992j;p99p99.1;2006;306949.9375;992;j
SD;tptinc992j;p99p99.1;2007;328265.96875;992;j
SD;tptinc992j;p99p99.1;2008;342403.59375;992;j
SD;tptinc992j;p99p99.1;2009;315769.28125;992;j
SD;tptinc992j;p99p99.1;2010;341245.0;992;j
SD;tptinc992j;p99p99.1;2011;344192.03125;992;j
SD;tptinc992j;p99p99.1;2012;338549.0;992;j
SD;tptinc992j;p99p99.1;2013;324269.125;992;j
SD;tptinc992j;p99p99.1;2014;334837.75;992;j
SD;tptinc992j;p99p99.1;2015;334123.40625;992;j
SD;tptinc992j;p99p99.1;2016;336531.46875;992;j
SD;tptinc992j;p99p99.1;2017;336137.46875;992;j
SD;tptinc992j;p99p100;1990;209803.234375;992;j
SD;tptinc992j;p99p100;1991;218916.21875;992;j
SD;tptinc992j;p99p100;1992;224001.234375;992;j
SD;tptinc992j;p99p100;1993;222399.125;992;j
SD;tptinc992j;p99p100;1994;224744.984375;992;j
SD;tptinc992j;p99p100;1995;232306.40625;992;j
SD;tptinc992j;p99p100;1996;229125.828125;992;j
SD;tptinc992j;p99p100;1997;239765.6875;992;j
SD;tptinc992j;p99p100;1998;248707.3125;992;j
