country;variable;percentile;year;value;age;pop
SG;xlcyux999i;p0p100;1960;1.243484;999;i
SG;xlcyux999i;p0p100;1961;1.243484;999;i
SG;xlcyux999i;p0p100;1962;1.243484;999;i
SG;xlcyux999i;p0p100;1963;1.243484;999;i
SG;xlcyux999i;p0p100;1964;1.243484;999;i
SG;xlcyux999i;p0p100;1965;1.243484;999;i
SG;xlcyux999i;p0p100;1966;1.243484;999;i
SG;xlcyux999i;p0p100;1967;1.243484;999;i
SG;xlcyux999i;p0p100;1968;1.243484;999;i
SG;xlcyux999i;p0p100;1969;1.243484;999;i
SG;xlcyux999i;p0p100;1970;1.243484;999;i
SG;xlcyux999i;p0p100;1971;1.2392113;999;i
SG;xlcyux999i;p0p100;1972;1.2527469;999;i
SG;xlcyux999i;p0p100;1973;1.2352204;999;i
SG;xlcyux999i;p0p100;1974;1.2425975;999;i
SG;xlcyux999i;p0p100;1975;1.2750136;999;i
SG;xlcyux999i;p0p100;1976;1.2727013;999;i
SG;xlcyux999i;p0p100;1977;1.3130419;999;i
SG;xlcyux999i;p0p100;1978;1.3507004;999;i
SG;xlcyux999i;p0p100;1979;1.3984848;999;i
SG;xlcyux999i;p0p100;1980;1.4290099;999;i
SG;xlcyux999i;p0p100;1981;1.2394485;999;i
SG;xlcyux999i;p0p100;1982;1.1307677;999;i
SG;xlcyux999i;p0p100;1983;1.0695332;999;i
SG;xlcyux999i;p0p100;1984;0.91941595;999;i
SG;xlcyux999i;p0p100;1985;0.74920189;999;i
SG;xlcyux999i;p0p100;1986;0.63062495;999;i
SG;xlcyux999i;p0p100;1987;0.56580514;999;i
SG;xlcyux999i;p0p100;1988;0.5406692;999;i
SG;xlcyux999i;p0p100;1989;0.51798201;999;i
SG;xlcyux999i;p0p100;1990;0.37893674;999;i
SG;xlcyux999i;p0p100;1991;0.32452056;999;i
SG;xlcyux999i;p0p100;1992;0.29539207;999;i
SG;xlcyux999i;p0p100;1993;0.28042391;999;i
SG;xlcyux999i;p0p100;1994;0.17722353;999;i
SG;xlcyux999i;p0p100;1995;0.16971672;999;i
