country;variable;percentile;year;value;age;pop
SM;xlcyux999i;p0p100;1999;0.11338475;999;i
SM;xlcyux999i;p0p100;2000;0.13111074;999;i
SM;xlcyux999i;p0p100;2001;0.13501278;999;i
SM;xlcyux999i;p0p100;2002;0.12837467;999;i
SM;xlcyux999i;p0p100;2003;0.10704727;999;i
SM;xlcyux999i;p0p100;2004;0.097303897;999;i
SM;xlcyux999i;p0p100;2005;0.098131426;999;i
SM;xlcyux999i;p0p100;2006;0.099974543;999;i
SM;xlcyux999i;p0p100;2007;0.096041322;999;i
SM;xlcyux999i;p0p100;2008;0.098245591;999;i
SM;xlcyux999i;p0p100;2009;0.1053725;999;i
SM;xlcyux999i;p0p100;2010;0.11152363;999;i
SM;xlcyux999i;p0p100;2011;0.11133011;999;i
SM;xlcyux999i;p0p100;2012;0.1232973;999;i
SM;xlcyux999i;p0p100;2013;0.12156045;999;i
SM;xlcyux999i;p0p100;2014;0.12268883;999;i
SM;xlcyux999i;p0p100;2015;0.14478692;999;i
SM;xlcyux999i;p0p100;2016;0.13605812;999;i
SM;xlcyux999i;p0p100;2017;0.13129598;999;i
SM;xlcyux999i;p0p100;2018;0.12780301;999;i
SM;xlcyup999i;p0p100;1970;0.11550558;999;i
SM;xlcyup999i;p0p100;1971;0.11991809;999;i
SM;xlcyup999i;p0p100;1972;0.12635306;999;i
SM;xlcyup999i;p0p100;1973;0.13976757;999;i
SM;xlcyup999i;p0p100;1974;0.16671406;999;i
SM;xlcyup999i;p0p100;1975;0.19270054;999;i
SM;xlcyup999i;p0p100;1976;0.21730533;999;i
SM;xlcyup999i;p0p100;1977;0.25416115;999;i
SM;xlcyup999i;p0p100;1978;0.2828114;999;i
SM;xlcyup999i;p0p100;1979;0.31152746;999;i
SM;xlcyup999i;p0p100;1980;0.35384542;999;i
SM;xlcyup999i;p0p100;1981;0.41443786;999;i
SM;xlcyup999i;p0p100;1982;0.48046228;999;i
SM;xlcyup999i;p0p100;1983;0.54702747;999;i
SM;xlcyup999i;p0p100;1984;0.61378634;999;i
SM;xlcyup999i;p0p100;1985;0.65473491;999;i
SM;xlcyup999i;p0p100;1986;0.66693705;999;i
SM;xlcyup999i;p0p100;1987;0.66082805;999;i
SM;xlcyup999i;p0p100;1988;0.60961729;999;i
SM;xlcyup999i;p0p100;1989;0.54622322;999;i
SM;xlcyup999i;p0p100;1990;0.52505398;999;i
SM;xlcyup999i;p0p100;1991;0.54471576;999;i
SM;xlcyup999i;p0p100;1992;0.51897365;999;i
SM;xlcyup999i;p0p100;1993;0.4264372;999;i
SM;xlcyup999i;p0p100;1994;0.34962603;999;i
SM;xlcyup999i;p0p100;1995;0.30750385;999;i
SM;xlcyup999i;p0p100;1996;0.28955984;999;i
SM;xlcyup999i;p0p100;1997;0.2696704;999;i
SM;xlcyup999i;p0p100;1998;0.27236709;999;i
SM;xlcyup999i;p0p100;1999;0.27351409;999;i
SM;xlcyup999i;p0p100;2000;0.26291934;999;i
SM;xlcyup999i;p0p100;2001;0.26525089;999;i
SM;xlcyup999i;p0p100;2002;0.27141216;999;i
SM;xlcyup999i;p0p100;2003;0.26868853;999;i
SM;xlcyup999i;p0p100;2004;0.25684366;999;i
SM;xlcyup999i;p0p100;2005;0.25100809;999;i
SM;xlcyup999i;p0p100;2006;0.24749753;999;i
SM;xlcyup999i;p0p100;2007;0.23419659;999;i
SM;xlcyup999i;p0p100;2008;0.22089908;999;i
SM;xlcyup999i;p0p100;2009;0.23263526;999;i
SM;xlcyup999i;p0p100;2010;0.21673204;999;i
SM;xlcyup999i;p0p100;2011;0.20261006;999;i
SM;xlcyup999i;p0p100;2012;0.20473601;999;i
SM;xlcyup999i;p0p100;2013;0.20760109;999;i
SM;xlcyup999i;p0p100;2014;0.20651485;999;i
SM;xlcyup999i;p0p100;2015;0.21042717;999;i
SM;xlcyup999i;p0p100;2016;0.21333963;999;i
SM;xlcyup999i;p0p100;2017;0.21676488;999;i
SM;xlcyup999i;p0p100;2018;0.221471;999;i
SM;xlcusx999i;p0p100;1999;0.9386273;999;i
SM;xlcusx999i;p0p100;2000;1.0854008;999;i
SM;xlcusx999i;p0p100;2001;1.11751;999;i
SM;xlcusx999i;p0p100;2002;1.0625516;999;i
SM;xlcusx999i;p0p100;2003;0.88603419;999;i
SM;xlcusx999i;p0p100;2004;0.80536503;999;i
SM;xlcusx999i;p0p100;2005;0.80412;999;i
SM;xlcusx999i;p0p100;2006;0.79714084;999;i
SM;xlcusx999i;p0p100;2007;0.73063749;999;i
SM;xlcusx999i;p0p100;2008;0.68267471;999;i
SM;xlcusx999i;p0p100;2009;0.71984339;999;i
SM;xlcusx999i;p0p100;2010;0.75504494;999;i
SM;xlcusx999i;p0p100;2011;0.71935523;999;i
SM;xlcusx999i;p0p100;2012;0.77829361;999;i
SM;xlcusx999i;p0p100;2013;0.75315917;999;i
SM;xlcusx999i;p0p100;2014;0.75373071;999;i
SM;xlcusx999i;p0p100;2015;0.90165895;999;i
SM;xlcusx999i;p0p100;2016;0.90403515;999;i
SM;xlcusx999i;p0p100;2017;0.88739741;999;i
SM;xlcusx999i;p0p100;2018;0.81577677;999;i
SM;xlceup999i;p0p100;1995;0.87862647;999;i
SM;xlceup999i;p0p100;1996;0.89057261;999;i
SM;xlceup999i;p0p100;1997;0.8850677;999;i
SM;xlceup999i;p0p100;1998;0.8910377;999;i
SM;xlceup999i;p0p100;1999;0.89055651;999;i
SM;xlceup999i;p0p100;2000;0.90117085;999;i
SM;xlceup999i;p0p100;2001;0.90334094;999;i
SM;xlceup999i;p0p100;2002;0.9025268;999;i
SM;xlceup999i;p0p100;2003;0.90434653;999;i
SM;xlceup999i;p0p100;2004;0.90451837;999;i
SM;xlceup999i;p0p100;2005;0.90416217;999;i
SM;xlceup999i;p0p100;2006;0.90399802;999;i
SM;xlceup999i;p0p100;2007;0.89767057;999;i
SM;xlceup999i;p0p100;2008;0.89441097;999;i
SM;xlceup999i;p0p100;2009;0.91959822;999;i
SM;xlceup999i;p0p100;2010;0.90994626;999;i
SM;xlceup999i;p0p100;2011;0.91013181;999;i
SM;xlceup999i;p0p100;2012;0.92157817;999;i
SM;xlceup999i;p0p100;2013;0.94098425;999;i
SM;xlceup999i;p0p100;2014;0.93190879;999;i
SM;xlceup999i;p0p100;2015;0.93070704;999;i
SM;xlceup999i;p0p100;2016;0.92962593;999;i
SM;xlceup999i;p0p100;2017;0.92899394;999;i
SM;xlceup999i;p0p100;2018;0.93057328;999;i
SM;xlcusp999i;p0p100;1970;0.17858386;999;i
SM;xlcusp999i;p0p100;1971;0.1821626;999;i
SM;xlcusp999i;p0p100;1972;0.18438822;999;i
SM;xlcusp999i;p0p100;1973;0.19709541;999;i
SM;xlcusp999i;p0p100;1974;0.21815164;999;i
SM;xlcusp999i;p0p100;1975;0.23426203;999;i
SM;xlcusp999i;p0p100;1976;0.26092482;999;i
SM;xlcusp999i;p0p100;1977;0.29147536;999;i
SM;xlcusp999i;p0p100;1978;0.31068242;999;i
SM;xlcusp999i;p0p100;1979;0.33155194;999;i
SM;xlcusp999i;p0p100;1980;0.3678247;999;i
SM;xlcusp999i;p0p100;1981;0.39950103;999;i
SM;xlcusp999i;p0p100;1982;0.4425177;999;i
SM;xlcusp999i;p0p100;1983;0.48778692;999;i
SM;xlcusp999i;p0p100;1984;0.52003813;999;i
SM;xlcusp999i;p0p100;1985;0.54855865;999;i
SM;xlcusp999i;p0p100;1986;0.57779157;999;i
SM;xlcusp999i;p0p100;1987;0.59696239;999;i
SM;xlcusp999i;p0p100;1988;0.61454672;999;i
SM;xlcusp999i;p0p100;1989;0.62676245;999;i
SM;xlcusp999i;p0p100;1990;0.65636301;999;i
SM;xlcusp999i;p0p100;1991;0.6817323;999;i
SM;xlcusp999i;p0p100;1992;0.69343042;999;i
SM;xlcusp999i;p0p100;1993;0.70513606;999;i
SM;xlcusp999i;p0p100;1994;0.71671075;999;i
SM;xlcusp999i;p0p100;1995;0.73963755;999;i
SM;xlcusp999i;p0p100;1996;0.75358337;999;i
SM;xlcusp999i;p0p100;1997;0.73308355;999;i
