country;variable;percentile;year;value;age;pop
SN;tptinc992j;p9p100;1990;100224.40625;992;j
SN;tptinc992j;p9p100;1991;97353.296875;992;j
SN;tptinc992j;p9p100;1992;124373.5390625;992;j
SN;tptinc992j;p9p100;1993;143331.734375;992;j
SN;tptinc992j;p9p100;1994;167572.109375;992;j
SN;tptinc992j;p9p100;1995;171076.6875;992;j
SN;tptinc992j;p9p100;1996;177110.140625;992;j
SN;tptinc992j;p9p100;1997;176036.203125;992;j
SN;tptinc992j;p9p100;1998;181938.875;992;j
SN;tptinc992j;p9p100;1999;197308.40625;992;j
SN;tptinc992j;p9p100;2000;189672.953125;992;j
SN;tptinc992j;p9p100;2001;195929.21875;992;j
SN;tptinc992j;p9p100;2002;191264.015625;992;j
SN;tptinc992j;p9p100;2003;199025.515625;992;j
SN;tptinc992j;p9p100;2004;205354.84375;992;j
SN;tptinc992j;p9p100;2005;212244.109375;992;j
SN;tptinc992j;p9p100;2006;209821.640625;992;j
SN;tptinc992j;p9p100;2007;213608.84375;992;j
SN;tptinc992j;p9p100;2008;215662.234375;992;j
SN;tptinc992j;p9p100;2009;211147.34375;992;j
SN;tptinc992j;p9p100;2010;212639.5;992;j
SN;tptinc992j;p9p100;2011;206027.9375;992;j
SN;tptinc992j;p9p100;2012;208401.828125;992;j
SN;tptinc992j;p9p100;2013;208554.953125;992;j
SN;tptinc992j;p9p100;2014;210488.546875;992;j
SN;tptinc992j;p9p100;2015;216406.921875;992;j
SN;tptinc992j;p9p100;2016;221446.234375;992;j
SN;tptinc992j;p9p100;2017;228231.1875;992;j
SN;tptinc992j;p9p10;1990;100224.40625;992;j
SN;tptinc992j;p9p10;1991;97353.296875;992;j
SN;tptinc992j;p9p10;1992;124373.5390625;992;j
SN;tptinc992j;p9p10;1993;143331.734375;992;j
SN;tptinc992j;p9p10;1994;167572.109375;992;j
SN;tptinc992j;p9p10;1995;171076.6875;992;j
SN;tptinc992j;p9p10;1996;177110.140625;992;j
SN;tptinc992j;p9p10;1997;176036.203125;992;j
SN;tptinc992j;p9p10;1998;181938.875;992;j
SN;tptinc992j;p9p10;1999;197308.40625;992;j
SN;tptinc992j;p9p10;2000;189672.953125;992;j
SN;tptinc992j;p9p10;2001;195929.21875;992;j
SN;tptinc992j;p9p10;2002;191264.015625;992;j
SN;tptinc992j;p9p10;2003;199025.515625;992;j
