country;variable;percentile;year;value;age;pop
SR;xlcyux999i;p0p100;1960;0.0007656972;999;i
SR;xlcyux999i;p0p100;1961;0.0007656972;999;i
SR;xlcyux999i;p0p100;1962;0.0007656972;999;i
SR;xlcyux999i;p0p100;1963;0.0007656972;999;i
SR;xlcyux999i;p0p100;1964;0.0007656972;999;i
SR;xlcyux999i;p0p100;1965;0.0007656972;999;i
SR;xlcyux999i;p0p100;1966;0.0007656972;999;i
SR;xlcyux999i;p0p100;1967;0.0007656972;999;i
SR;xlcyux999i;p0p100;1968;0.0007656972;999;i
SR;xlcyux999i;p0p100;1969;0.0007656972;999;i
SR;xlcyux999i;p0p100;1970;0.0007656972;999;i
SR;xlcyux999i;p0p100;1971;0.0007651217;999;i
SR;xlcyux999i;p0p100;1972;0.0007950767;999;i
SR;xlcyux999i;p0p100;1973;0.0008972484;999;i
SR;xlcyux999i;p0p100;1974;0.0009102001;999;i
SR;xlcyux999i;p0p100;1975;0.0009597685;999;i
SR;xlcyux999i;p0p100;1976;0.0009194323;999;i
SR;xlcyux999i;p0p100;1977;0.0009608018;999;i
SR;xlcyux999i;p0p100;1978;0.0010602347;999;i
SR;xlcyux999i;p0p100;1979;0.0011479551;999;i
SR;xlcyux999i;p0p100;1980;0.0011912818;999;i
SR;xlcyux999i;p0p100;1981;0.0010472023;999;i
SR;xlcyux999i;p0p100;1982;0.000943176;999;i
SR;xlcyux999i;p0p100;1983;0.0009034887;999;i
SR;xlcyux999i;p0p100;1984;0.0007693827;999;i
SR;xlcyux999i;p0p100;1985;0.0006078337;999;i
SR;xlcyux999i;p0p100;1986;0.000516973;999;i
SR;xlcyux999i;p0p100;1987;0.000479568;999;i
SR;xlcyux999i;p0p100;1988;0.000479568;999;i
SR;xlcyux999i;p0p100;1989;0.0004740899;999;i
SR;xlcyux999i;p0p100;1990;0.0003731805;999;i
SR;xlcyux999i;p0p100;1991;0.0003353126;999;i
SR;xlcyux999i;p0p100;1992;0.0003236867;999;i
SR;xlcyux999i;p0p100;1993;0.0003097905;999;i
SR;xlcyux999i;p0p100;1994;0.025811277;999;i
SR;xlcyux999i;p0p100;1995;0.053017594;999;i
SR;xlcyux999i;p0p100;1996;0.048233092;999;i
SR;xlcyux999i;p0p100;1997;0.048440896;999;i
SR;xlcyux999i;p0p100;1998;0.048509296;999;i
SR;xlcyux999i;p0p100;1999;0.10075612;999;i
SR;xlcyux999i;p0p100;2000;0.15974994;999;i
SR;xlcyux999i;p0p100;2001;0.26315868;999;i
SR;xlcyux999i;p0p100;2002;0.28352809;999;i
SR;xlcyux999i;p0p100;2003;0.31428316;999;i
SR;xlcyux999i;p0p100;2004;0.33027047;999;i
SR;xlcyux999i;p0p100;2005;0.33336112;999;i
SR;xlcyux999i;p0p100;2006;0.34411129;999;i
SR;xlcyux999i;p0p100;2007;0.36082658;999;i
SR;xlcyux999i;p0p100;2008;0.39504045;999;i
SR;xlcyux999i;p0p100;2009;0.40182003;999;i
SR;xlcyux999i;p0p100;2010;0.40551072;999;i
SR;xlcyux999i;p0p100;2011;0.50576788;999;i
SR;xlcyux999i;p0p100;2012;0.52278614;999;i
SR;xlcyux999i;p0p100;2013;0.53262246;999;i
SR;xlcyux999i;p0p100;2014;0.53715885;999;i
SR;xlcyux999i;p0p100;2015;0.54864281;999;i
SR;xlcyux999i;p0p100;2016;0.93741453;999;i
SR;xlcyux999i;p0p100;2017;1.1078463;999;i
SR;xlcyux999i;p0p100;2018;1.1595516;999;i
SR;xlcyup999i;p0p100;1960;0.0006221388;999;i
SR;xlcyup999i;p0p100;1961;0.0005204244;999;i
SR;xlcyup999i;p0p100;1962;0.000609953;999;i
SR;xlcyup999i;p0p100;1963;0.0006683688;999;i
SR;xlcyup999i;p0p100;1964;0.000651571;999;i
SR;xlcyup999i;p0p100;1965;0.0006243137;999;i
SR;xlcyup999i;p0p100;1966;0.0006411721;999;i
SR;xlcyup999i;p0p100;1967;0.0006456228;999;i
SR;xlcyup999i;p0p100;1968;0.000649552;999;i
SR;xlcyup999i;p0p100;1969;0.0006711518;999;i
SR;xlcyup999i;p0p100;1970;0.0006777729;999;i
SR;xlcyup999i;p0p100;1971;0.0006731688;999;i
SR;xlcyup999i;p0p100;1972;0.0006627195;999;i
SR;xlcyup999i;p0p100;1973;0.0006863698;999;i
SR;xlcyup999i;p0p100;1974;0.0008853128;999;i
SR;xlcyup999i;p0p100;1975;0.0009025323;999;i
SR;xlcyup999i;p0p100;1976;0.0008636216;999;i
SR;xlcyup999i;p0p100;1977;0.0009800544;999;i
SR;xlcyup999i;p0p100;1978;0.0010407756;999;i
SR;xlcyup999i;p0p100;1979;0.0011227638;999;i
SR;xlcyup999i;p0p100;1980;0.0011725693;999;i
SR;xlcyup999i;p0p100;1981;0.001207441;999;i
SR;xlcyup999i;p0p100;1982;0.001279616;999;i
SR;xlcyup999i;p0p100;1983;0.0012720764;999;i
SR;xlcyup999i;p0p100;1984;0.0012844498;999;i
SR;xlcyup999i;p0p100;1985;0.0011128113;999;i
SR;xlcyup999i;p0p100;1986;0.0010949043;999;i
SR;xlcyup999i;p0p100;1987;0.0012145633;999;i
SR;xlcyup999i;p0p100;1988;0.0011454385;999;i
SR;xlcyup999i;p0p100;1989;0.001080221;999;i
SR;xlcyup999i;p0p100;1990;0.0014208277;999;i
SR;xlcyup999i;p0p100;1991;0.0015384498;999;i
SR;xlcyup999i;p0p100;1992;0.0018949306;999;i
SR;xlcyup999i;p0p100;1993;0.0038452977;999;i
SR;xlcyup999i;p0p100;1994;0.016338611;999;i
SR;xlcyup999i;p0p100;1995;0.051395889;999;i
SR;xlcyup999i;p0p100;1996;0.052046612;999;i
SR;xlcyup999i;p0p100;1997;0.049587965;999;i
SR;xlcyup999i;p0p100;1998;0.05768881;999;i
SR;xlcyup999i;p0p100;1999;0.099232942;999;i
SR;xlcyup999i;p0p100;2000;0.1494552;999;i
SR;xlcyup999i;p0p100;2001;0.20489088;999;i
SR;xlcyup999i;p0p100;2002;0.28154635;999;i
SR;xlcyup999i;p0p100;2003;0.33022308;999;i
SR;xlcyup999i;p0p100;2004;0.34924152;999;i
SR;xlcyup999i;p0p100;2005;0.39125112;999;i
SR;xlcyup999i;p0p100;2006;0.43039048;999;i
SR;xlcyup999i;p0p100;2007;0.42602044;999;i
SR;xlcyup999i;p0p100;2008;0.45651883;999;i
SR;xlcyup999i;p0p100;2009;0.49317434;999;i
SR;xlcyup999i;p0p100;2010;0.49449176;999;i
SR;xlcyup999i;p0p100;2011;0.52091038;999;i
SR;xlcyup999i;p0p100;2012;0.56828153;999;i
SR;xlcyup999i;p0p100;2013;0.55965555;999;i
SR;xlcyup999i;p0p100;2014;0.56593704;999;i
SR;xlcyup999i;p0p100;2015;0.55741912;999;i
SR;xlcyup999i;p0p100;2016;0.73210019;999;i
SR;xlcyup999i;p0p100;2017;1.035513;999;i
SR;xlcyup999i;p0p100;2018;1.1369371;999;i
SR;xlcusx999i;p0p100;1960;0.001885;999;i
SR;xlcusx999i;p0p100;1961;0.001885;999;i
SR;xlcusx999i;p0p100;1962;0.001885;999;i
SR;xlcusx999i;p0p100;1963;0.001885;999;i
SR;xlcusx999i;p0p100;1964;0.001885;999;i
SR;xlcusx999i;p0p100;1965;0.001885;999;i
SR;xlcusx999i;p0p100;1966;0.001885;999;i
SR;xlcusx999i;p0p100;1967;0.001885;999;i
SR;xlcusx999i;p0p100;1968;0.001885;999;i
SR;xlcusx999i;p0p100;1969;0.001885;999;i
SR;xlcusx999i;p0p100;1970;0.001885;999;i
SR;xlcusx999i;p0p100;1971;0.0018835834;999;i
SR;xlcusx999i;p0p100;1972;0.001785;999;i
SR;xlcusx999i;p0p100;1973;0.001785;999;i
SR;xlcusx999i;p0p100;1974;0.001785;999;i
SR;xlcusx999i;p0p100;1975;0.001785;999;i
SR;xlcusx999i;p0p100;1976;0.001785;999;i
SR;xlcusx999i;p0p100;1977;0.001785;999;i
SR;xlcusx999i;p0p100;1978;0.001785;999;i
SR;xlcusx999i;p0p100;1979;0.001785;999;i
SR;xlcusx999i;p0p100;1980;0.001785;999;i
SR;xlcusx999i;p0p100;1981;0.001785;999;i
SR;xlcusx999i;p0p100;1982;0.001785;999;i
SR;xlcusx999i;p0p100;1983;0.001785;999;i
SR;xlcusx999i;p0p100;1984;0.001785;999;i
SR;xlcusx999i;p0p100;1985;0.001785;999;i
SR;xlcusx999i;p0p100;1986;0.001785;999;i
SR;xlcusx999i;p0p100;1987;0.001785;999;i
SR;xlcusx999i;p0p100;1988;0.001785;999;i
SR;xlcusx999i;p0p100;1989;0.001785;999;i
SR;xlcusx999i;p0p100;1990;0.001785;999;i
SR;xlcusx999i;p0p100;1991;0.001785;999;i
SR;xlcusx999i;p0p100;1992;0.001785;999;i
SR;xlcusx999i;p0p100;1993;0.001785;999;i
SR;xlcusx999i;p0p100;1994;0.22246076;999;i
SR;xlcusx999i;p0p100;1995;0.442772;999;i
SR;xlcusx999i;p0p100;1996;0.40101835;999;i
SR;xlcusx999i;p0p100;1997;0.40156615;999;i
SR;xlcusx999i;p0p100;1998;0.40160644;999;i
SR;xlcusx999i;p0p100;1999;0.83408427;999;i
SR;xlcusx999i;p0p100;2000;1.3224906;999;i
SR;xlcusx999i;p0p100;2001;2.1781824;999;i
SR;xlcusx999i;p0p100;2002;2.34675;999;i
SR;xlcusx999i;p0p100;2003;2.6013334;999;i
SR;xlcusx999i;p0p100;2004;2.733583;999;i
SR;xlcusx999i;p0p100;2005;2.7316666;999;i
SR;xlcusx999i;p0p100;2006;2.7437501;999;i
SR;xlcusx999i;p0p100;2007;2.7449999;999;i
SR;xlcusx999i;p0p100;2008;2.7449999;999;i
SR;xlcusx999i;p0p100;2009;2.7449999;999;i
