country;variable;percentile;year;value;age;pop
SV;xlcyux999i;p0p100;1960;0.40620536;999;i
SV;xlcyux999i;p0p100;1961;0.40620536;999;i
SV;xlcyux999i;p0p100;1962;0.40620536;999;i
SV;xlcyux999i;p0p100;1963;0.40620536;999;i
SV;xlcyux999i;p0p100;1964;0.40620536;999;i
SV;xlcyux999i;p0p100;1965;0.40620536;999;i
SV;xlcyux999i;p0p100;1966;0.40620536;999;i
SV;xlcyux999i;p0p100;1967;0.40620536;999;i
SV;xlcyux999i;p0p100;1968;0.40620536;999;i
SV;xlcyux999i;p0p100;1969;0.40620536;999;i
SV;xlcyux999i;p0p100;1970;0.40620536;999;i
SV;xlcyux999i;p0p100;1971;0.40620536;999;i
SV;xlcyux999i;p0p100;1972;0.44542113;999;i
SV;xlcyux999i;p0p100;1973;0.50266021;999;i
SV;xlcyux999i;p0p100;1974;0.50991607;999;i
SV;xlcyux999i;p0p100;1975;0.53768545;999;i
SV;xlcyux999i;p0p100;1976;0.51508814;999;i
SV;xlcyux999i;p0p100;1977;0.53826427;999;i
SV;xlcyux999i;p0p100;1978;0.59396905;999;i
SV;xlcyux999i;p0p100;1979;0.64311206;999;i
SV;xlcyux999i;p0p100;1980;0.66738474;999;i
SV;xlcyux999i;p0p100;1981;0.58666795;999;i
SV;xlcyux999i;p0p100;1982;0.52838993;999;i
SV;xlcyux999i;p0p100;1983;0.50615615;999;i
SV;xlcyux999i;p0p100;1984;0.43102676;999;i
SV;xlcyux999i;p0p100;1985;0.34052309;999;i
SV;xlcyux999i;p0p100;1986;0.28962073;999;i
SV;xlcyux999i;p0p100;1987;0.26866552;999;i
SV;xlcyux999i;p0p100;1988;0.26866552;999;i
SV;xlcyux999i;p0p100;1989;0.2655966;999;i
SV;xlcyux999i;p0p100;1990;0.20906469;999;i
SV;xlcyux999i;p0p100;1991;0.18785018;999;i
SV;xlcyux999i;p0p100;1992;0.18133709;999;i
SV;xlcyux999i;p0p100;1993;0.17355211;999;i
SV;xlcyux999i;p0p100;1994;0.1160262;999;i
SV;xlcyux999i;p0p100;1995;0.11974017;999;i
SV;xlcyux999i;p0p100;1996;0.12027652;999;i
SV;xlcyux999i;p0p100;1997;0.12062993;999;i
SV;xlcyux999i;p0p100;1998;0.12078814;999;i
SV;xlcyux999i;p0p100;1999;0.12079848;999;i
SV;xlcyux999i;p0p100;2000;0.12079477;999;i
SV;xlcyux999i;p0p100;2001;0.12081572;999;i
SV;xlcyux999i;p0p100;2002;0.12081734;999;i
SV;xlcyux999i;p0p100;2003;0.12081619;999;i
SV;xlcyux999i;p0p100;2004;0.12081962;999;i
SV;xlcyux999i;p0p100;2005;0.1220358;999;i
SV;xlcyux999i;p0p100;2006;0.12541641;999;i
SV;xlcyux999i;p0p100;2007;0.13144867;999;i
SV;xlcyux999i;p0p100;2008;0.14391275;999;i
SV;xlcyux999i;p0p100;2009;0.14638254;999;i
SV;xlcyux999i;p0p100;2010;0.14770462;999;i
SV;xlcyux999i;p0p100;2011;0.15476374;999;i
SV;xlcyux999i;p0p100;2012;0.15842004;999;i
SV;xlcyux999i;p0p100;2013;0.16140075;999;i
SV;xlcyux999i;p0p100;2014;0.16277541;999;i
SV;xlcyux999i;p0p100;2015;0.16057837;999;i
SV;xlcyux999i;p0p100;2016;0.15050091;999;i
SV;xlcyux999i;p0p100;2017;0.14795624;999;i
SV;xlcyux999i;p0p100;2018;0.15666421;999;i
SV;xlcyup999i;p0p100;1960;0.21213557;999;i
SV;xlcyup999i;p0p100;1961;0.16745491;999;i
SV;xlcyup999i;p0p100;1962;0.18926314;999;i
SV;xlcyup999i;p0p100;1963;0.20513141;999;i
SV;xlcyup999i;p0p100;1964;0.20309201;999;i
SV;xlcyup999i;p0p100;1965;0.19089203;999;i
SV;xlcyup999i;p0p100;1966;0.18702158;999;i
SV;xlcyup999i;p0p100;1967;0.18135923;999;i
SV;xlcyup999i;p0p100;1968;0.17988186;999;i
SV;xlcyup999i;p0p100;1969;0.18130653;999;i
SV;xlcyup999i;p0p100;1970;0.1861991;999;i
SV;xlcyup999i;p0p100;1971;0.18092431;999;i
SV;xlcyup999i;p0p100;1972;0.18231821;999;i
SV;xlcyup999i;p0p100;1973;0.19685373;999;i
SV;xlcyup999i;p0p100;1974;0.21723329;999;i
SV;xlcyup999i;p0p100;1975;0.23083137;999;i
SV;xlcyup999i;p0p100;1976;0.27170017;999;i
SV;xlcyup999i;p0p100;1977;0.3177202;999;i
SV;xlcyup999i;p0p100;1978;0.31282565;999;i
SV;xlcyup999i;p0p100;1979;0.33981842;999;i
SV;xlcyup999i;p0p100;1980;0.36248258;999;i
SV;xlcyup999i;p0p100;1981;0.37783182;999;i
SV;xlcyup999i;p0p100;1982;0.40933388;999;i
SV;xlcyup999i;p0p100;1983;0.45496246;999;i
SV;xlcyup999i;p0p100;1984;0.51731431;999;i
SV;xlcyup999i;p0p100;1985;0.60936153;999;i
SV;xlcyup999i;p0p100;1986;0.40772513;999;i
SV;xlcyup999i;p0p100;1987;0.42169601;999;i
SV;xlcyup999i;p0p100;1988;0.4244951;999;i
SV;xlcyup999i;p0p100;1989;0.41743237;999;i
SV;xlcyup999i;p0p100;1990;0.29449686;999;i
SV;xlcyup999i;p0p100;1991;0.29893476;999;i
SV;xlcyup999i;p0p100;1992;0.28085202;999;i
SV;xlcyup999i;p0p100;1993;0.23689227;999;i
SV;xlcyup999i;p0p100;1994;0.20268647;999;i
SV;xlcyup999i;p0p100;1995;0.1848096;999;i
SV;xlcyup999i;p0p100;1996;0.17678078;999;i
SV;xlcyup999i;p0p100;1997;0.16980527;999;i
SV;xlcyup999i;p0p100;1998;0.1738617;999;i
SV;xlcyup999i;p0p100;1999;0.17144638;999;i
SV;xlcyup999i;p0p100;2000;0.16417567;999;i
SV;xlcyup999i;p0p100;2001;0.16527255;999;i
SV;xlcyup999i;p0p100;2002;0.16642466;999;i
SV;xlcyup999i;p0p100;2003;0.16445282;999;i
SV;xlcyup999i;p0p100;2004;0.15691917;999;i
SV;xlcyup999i;p0p100;2005;0.15565588;999;i
SV;xlcyup999i;p0p100;2006;0.15771246;999;i
SV;xlcyup999i;p0p100;2007;0.15019289;999;i
SV;xlcyup999i;p0p100;2008;0.14545365;999;i
SV;xlcyup999i;p0p100;2009;0.14907336;999;i
SV;xlcyup999i;p0p100;2010;0.144172;999;i
SV;xlcyup999i;p0p100;2011;0.14349839;999;i
SV;xlcyup999i;p0p100;2012;0.14631358;999;i
SV;xlcyup999i;p0p100;2013;0.1448321;999;i
SV;xlcyup999i;p0p100;2014;0.14607494;999;i
SV;xlcyup999i;p0p100;2015;0.1472397;999;i
SV;xlcyup999i;p0p100;2016;0.14906636;999;i
SV;xlcyup999i;p0p100;2017;0.152053;999;i
SV;xlcyup999i;p0p100;2018;0.15595429;999;i
SV;xlcusx999i;p0p100;1960;1.0;999;i
SV;xlcusx999i;p0p100;1961;1.0;999;i
SV;xlcusx999i;p0p100;1962;1.0;999;i
SV;xlcusx999i;p0p100;1963;1.0;999;i
SV;xlcusx999i;p0p100;1964;1.0;999;i
SV;xlcusx999i;p0p100;1965;1.0;999;i
SV;xlcusx999i;p0p100;1966;1.0;999;i
SV;xlcusx999i;p0p100;1967;1.0;999;i
SV;xlcusx999i;p0p100;1968;1.0;999;i
SV;xlcusx999i;p0p100;1969;1.0;999;i
SV;xlcusx999i;p0p100;1970;1.0;999;i
SV;xlcusx999i;p0p100;1971;1.0;999;i
SV;xlcusx999i;p0p100;1972;1.0;999;i
SV;xlcusx999i;p0p100;1973;1.0;999;i
SV;xlcusx999i;p0p100;1974;1.0;999;i
SV;xlcusx999i;p0p100;1975;1.0;999;i
SV;xlcusx999i;p0p100;1976;1.0;999;i
SV;xlcusx999i;p0p100;1977;1.0;999;i
SV;xlcusx999i;p0p100;1978;1.0;999;i
SV;xlcusx999i;p0p100;1979;1.0;999;i
SV;xlcusx999i;p0p100;1980;1.0;999;i
SV;xlcusx999i;p0p100;1981;1.0;999;i
SV;xlcusx999i;p0p100;1982;1.0;999;i
SV;xlcusx999i;p0p100;1983;1.0;999;i
SV;xlcusx999i;p0p100;1984;1.0;999;i
SV;xlcusx999i;p0p100;1985;1.0;999;i
SV;xlcusx999i;p0p100;1986;1.0;999;i
SV;xlcusx999i;p0p100;1987;1.0;999;i
SV;xlcusx999i;p0p100;1988;1.0;999;i
SV;xlcusx999i;p0p100;1989;1.0;999;i
SV;xlcusx999i;p0p100;1990;1.0;999;i
SV;xlcusx999i;p0p100;1991;1.0;999;i
SV;xlcusx999i;p0p100;1992;1.0;999;i
SV;xlcusx999i;p0p100;1993;1.0;999;i
SV;xlcusx999i;p0p100;1994;1.0;999;i
SV;xlcusx999i;p0p100;1995;1.0;999;i
SV;xlcusx999i;p0p100;1996;1.0;999;i
SV;xlcusx999i;p0p100;1997;1.0;999;i
SV;xlcusx999i;p0p100;1998;1.0;999;i
SV;xlcusx999i;p0p100;1999;1.0;999;i
SV;xlcusx999i;p0p100;2000;1.0;999;i
