country;variable;percentile;year;value;age;pop
SX;xlcyux999i;p0p100;2011;0.2770271;999;i
SX;xlcyux999i;p0p100;2012;0.28357187;999;i
SX;xlcyux999i;p0p100;2013;0.28890732;999;i
SX;xlcyux999i;p0p100;2014;0.29136798;999;i
SX;xlcyux999i;p0p100;2015;0.28743529;999;i
SX;xlcyux999i;p0p100;2016;0.26939663;999;i
SX;xlcyux999i;p0p100;2017;0.26484168;999;i
SX;xlcyux999i;p0p100;2018;0.27320233;999;i
SX;xlcyup999i;p0p100;2005;0.45332968;999;i
SX;xlcyup999i;p0p100;2006;0.44810513;999;i
SX;xlcyup999i;p0p100;2007;0.42640626;999;i
SX;xlcyup999i;p0p100;2008;0.41360673;999;i
SX;xlcyup999i;p0p100;2009;0.42267188;999;i
SX;xlcyup999i;p0p100;2010;0.40816817;999;i
SX;xlcyup999i;p0p100;2011;0.3933931;999;i
SX;xlcyup999i;p0p100;2012;0.40257114;999;i
SX;xlcyup999i;p0p100;2013;0.40454897;999;i
SX;xlcyup999i;p0p100;2014;0.40996841;999;i
SX;xlcyup999i;p0p100;2015;0.41368157;999;i
SX;xlcyup999i;p0p100;2016;0.4166128;999;i
SX;xlcyup999i;p0p100;2017;0.43285134;999;i
SX;xlcyup999i;p0p100;2018;0.44972283;999;i
SX;xlcusx999i;p0p100;2011;1.79;999;i
SX;xlcusx999i;p0p100;2012;1.79;999;i
SX;xlcusx999i;p0p100;2013;1.79;999;i
SX;xlcusx999i;p0p100;2014;1.79;999;i
SX;xlcusx999i;p0p100;2015;1.79;999;i
SX;xlcusx999i;p0p100;2016;1.79;999;i
SX;xlcusx999i;p0p100;2017;1.79;999;i
SX;xlcusx999i;p0p100;2018;1.743872;999;i
SX;xlcusp999i;p0p100;2005;1.3193998;999;i
SX;xlcusp999i;p0p100;2006;1.3096013;999;i
SX;xlcusp999i;p0p100;2007;1.3040972;999;i
SX;xlcusp999i;p0p100;2008;1.3366655;999;i
SX;xlcusp999i;p0p100;2009;1.3310941;999;i
SX;xlcusp999i;p0p100;2010;1.3526055;999;i
SX;xlcusp999i;p0p100;2011;1.3790537;999;i
SX;xlcusp999i;p0p100;2012;1.4055932;999;i
SX;xlcusp999i;p0p100;2013;1.4167578;999;i
SX;xlcusp999i;p0p100;2014;1.4178904;999;i
SX;xlcusp999i;p0p100;2015;1.4064693;999;i
SX;xlcusp999i;p0p100;2016;1.3925935;999;i
SX;xlcusp999i;p0p100;2017;1.4112502;999;i
SX;xlcusp999i;p0p100;2018;1.4251982;999;i
SX;xlceux999i;p0p100;2011;2.4883394;999;i
SX;xlceux999i;p0p100;2012;2.2999032;999;i
SX;xlceux999i;p0p100;2013;2.3766556;999;i
SX;xlceux999i;p0p100;2014;2.3748534;999;i
SX;xlceux999i;p0p100;2015;1.9852295;999;i
SX;xlceux999i;p0p100;2016;1.9800115;999;i
SX;xlceux999i;p0p100;2017;2.0171344;999;i
SX;xlceux999i;p0p100;2018;2.1376829;999;i
SX;xlceup999i;p0p100;2005;1.6329496;999;i
SX;xlceup999i;p0p100;2006;1.636728;999;i
SX;xlceup999i;p0p100;2007;1.6344061;999;i
SX;xlceup999i;p0p100;2008;1.6746762;999;i
SX;xlceup999i;p0p100;2009;1.6708058;999;i
SX;xlceup999i;p0p100;2010;1.7136881;999;i
SX;xlceup999i;p0p100;2011;1.7671362;999;i
SX;xlceup999i;p0p100;2012;1.8120934;999;i
SX;xlceup999i;p0p100;2013;1.8336812;999;i
SX;xlceup999i;p0p100;2014;1.8500034;999;i
SX;xlceup999i;p0p100;2015;1.8296894;999;i
SX;xlceup999i;p0p100;2016;1.8153872;999;i
SX;xlceup999i;p0p100;2017;1.8550802;999;i
SX;xlceup999i;p0p100;2018;1.8896382;999;i
SX;npopul999i;p0p100;1950;1499.0;999;i
SX;npopul999i;p0p100;1951;1666.0;999;i
SX;npopul999i;p0p100;1952;1800.0;999;i
SX;npopul999i;p0p100;1953;1912.0;999;i
SX;npopul999i;p0p100;1954;2009.0;999;i
SX;npopul999i;p0p100;1955;2108.0;999;i
SX;npopul999i;p0p100;1956;2213.0;999;i
SX;npopul999i;p0p100;1957;2322.0;999;i
SX;npopul999i;p0p100;1958;2463.0;999;i
SX;npopul999i;p0p100;1959;2629.0;999;i
SX;npopul999i;p0p100;1960;2833.0;999;i
SX;npopul999i;p0p100;1961;3077.0;999;i
SX;npopul999i;p0p100;1962;3372.0;999;i
SX;npopul999i;p0p100;1963;3696.0;999;i
SX;npopul999i;p0p100;1964;4067.0;999;i
SX;npopul999i;p0p100;1965;4459.0;999;i
SX;npopul999i;p0p100;1966;4894.0;999;i
SX;npopul999i;p0p100;1967;5366.0;999;i
SX;npopul999i;p0p100;1968;5859.0;999;i
SX;npopul999i;p0p100;1969;6357.0;999;i
SX;npopul999i;p0p100;1970;6864.0;999;i
SX;npopul999i;p0p100;1971;7376.0;999;i
SX;npopul999i;p0p100;1972;7899.0;999;i
SX;npopul999i;p0p100;1973;8428.0;999;i
SX;npopul999i;p0p100;1974;8978.0;999;i
SX;npopul999i;p0p100;1975;9557.0;999;i
SX;npopul999i;p0p100;1976;10158.0;999;i
SX;npopul999i;p0p100;1977;10797.0;999;i
SX;npopul999i;p0p100;1978;11475.0;999;i
