country;variable;percentile;year;value;age;pop
SY;xlcyux999i;p0p100;2018;80.525398;999;i
SY;xlcyup999i;p0p100;1960;1.0488646;999;i
SY;xlcyup999i;p0p100;1961;0.84596092;999;i
SY;xlcyup999i;p0p100;1962;0.92896724;999;i
SY;xlcyup999i;p0p100;1963;1.2143549;999;i
SY;xlcyup999i;p0p100;1964;1.2065107;999;i
SY;xlcyup999i;p0p100;1965;1.0955502;999;i
SY;xlcyup999i;p0p100;1966;1.1685474;999;i
SY;xlcyup999i;p0p100;1967;1.1483126;999;i
SY;xlcyup999i;p0p100;1968;1.1858923;999;i
SY;xlcyup999i;p0p100;1969;1.1524274;999;i
SY;xlcyup999i;p0p100;1970;1.16283;999;i
SY;xlcyup999i;p0p100;1971;1.2037504;999;i
SY;xlcyup999i;p0p100;1972;1.1086346;999;i
SY;xlcyup999i;p0p100;1973;1.2738141;999;i
SY;xlcyup999i;p0p100;1974;1.6327349;999;i
SY;xlcyup999i;p0p100;1975;1.7525052;999;i
SY;xlcyup999i;p0p100;1976;1.8241662;999;i
SY;xlcyup999i;p0p100;1977;1.9960915;999;i
SY;xlcyup999i;p0p100;1978;2.1499395;999;i
SY;xlcyup999i;p0p100;1979;2.3793192;999;i
SY;xlcyup999i;p0p100;1980;2.6058042;999;i
SY;xlcyup999i;p0p100;1981;3.0101209;999;i
SY;xlcyup999i;p0p100;1982;3.040278;999;i
SY;xlcyup999i;p0p100;1983;3.1591873;999;i
SY;xlcyup999i;p0p100;1984;3.4295206;999;i
SY;xlcyup999i;p0p100;1985;3.4881845;999;i
SY;xlcyup999i;p0p100;1986;4.1758032;999;i
SY;xlcyup999i;p0p100;1987;4.8945923;999;i
SY;xlcyup999i;p0p100;1988;5.4451914;999;i
SY;xlcyup999i;p0p100;1989;6.2165489;999;i
SY;xlcyup999i;p0p100;1990;6.7385259;999;i
SY;xlcyup999i;p0p100;1991;6.9927621;999;i
SY;xlcyup999i;p0p100;1992;6.7102304;999;i
SY;xlcyup999i;p0p100;1993;5.5979824;999;i
SY;xlcyup999i;p0p100;1994;5.0411716;999;i
SY;xlcyup999i;p0p100;1995;4.4372554;999;i
SY;xlcyup999i;p0p100;1996;4.4263339;999;i
SY;xlcyup999i;p0p100;1997;4.2713146;999;i
SY;xlcyup999i;p0p100;1998;4.2102427;999;i
SY;xlcyup999i;p0p100;1999;4.4724817;999;i
SY;xlcyup999i;p0p100;2000;4.5955024;999;i
SY;xlcyup999i;p0p100;2001;4.6465955;999;i
SY;xlcyup999i;p0p100;2002;4.5549889;999;i
SY;xlcyup999i;p0p100;2003;4.5991926;999;i
SY;xlcyup999i;p0p100;2004;4.758492;999;i
SY;xlcyup999i;p0p100;2005;5.1101546;999;i
SY;xlcyup999i;p0p100;2006;5.392055;999;i
SY;xlcyup999i;p0p100;2007;5.5550561;999;i
SY;xlcyup999i;p0p100;2008;5.9748015;999;i
SY;xlcyup999i;p0p100;2009;5.8929262;999;i
SY;xlcyup999i;p0p100;2010;5.9017158;999;i
SY;xlcyup999i;p0p100;2011;6.0832067;999;i
SY;xlcyup999i;p0p100;2012;7.5665483;999;i
