country;variable;percentile;year;value;age;pop
SZ;tptinc992j;p99.94p99.95;1990;5599848.5;992;j
SZ;tptinc992j;p99.94p99.95;1991;5497221.0;992;j
SZ;tptinc992j;p99.94p99.95;1992;5493975.5;992;j
SZ;tptinc992j;p99.94p99.95;1993;5348952.5;992;j
SZ;tptinc992j;p99.94p99.95;1994;5075845.0;992;j
SZ;tptinc992j;p99.94p99.95;1995;5149247.5;992;j
SZ;tptinc992j;p99.94p99.95;1996;5019218.5;992;j
SZ;tptinc992j;p99.94p99.95;1997;4665800.5;992;j
SZ;tptinc992j;p99.94p99.95;1998;4122676.0;992;j
SZ;tptinc992j;p99.94p99.95;1999;3863754.25;992;j
SZ;tptinc992j;p99.94p99.95;2000;3234542.25;992;j
SZ;tptinc992j;p99.94p99.95;2001;3231061.25;992;j
SZ;tptinc992j;p99.94p99.95;2002;3043770.25;992;j
SZ;tptinc992j;p99.94p99.95;2003;2962149.75;992;j
SZ;tptinc992j;p99.94p99.95;2004;3015707.25;992;j
SZ;tptinc992j;p99.94p99.95;2005;3278793.5;992;j
SZ;tptinc992j;p99.94p99.95;2006;3167049.5;992;j
SZ;tptinc992j;p99.94p99.95;2007;3238900.75;992;j
SZ;tptinc992j;p99.94p99.95;2008;3072357.5;992;j
SZ;tptinc992j;p99.94p99.95;2009;2883664.25;992;j
SZ;tptinc992j;p99.94p99.95;2010;2900471.0;992;j
SZ;tptinc992j;p99.94p99.95;2011;3053703.25;992;j
SZ;tptinc992j;p99.94p99.95;2012;3159508.75;992;j
SZ;tptinc992j;p99.94p99.95;2013;3373990.5;992;j
SZ;tptinc992j;p99.94p99.95;2014;3361698.0;992;j
SZ;tptinc992j;p99.94p99.95;2015;3343734.25;992;j
SZ;tptinc992j;p99.94p99.95;2016;3334207.0;992;j
SZ;tptinc992j;p99.94p99.95;2017;3314600.75;992;j
SZ;tptinc992j;p99.94p100;1990;5599848.5;992;j
SZ;tptinc992j;p99.94p100;1991;5497221.0;992;j
SZ;tptinc992j;p99.94p100;1992;5493975.5;992;j
SZ;tptinc992j;p99.94p100;1993;5348952.5;992;j
SZ;tptinc992j;p99.94p100;1994;5075845.0;992;j
SZ;tptinc992j;p99.94p100;1995;5149247.5;992;j
SZ;tptinc992j;p99.94p100;1996;5019218.5;992;j
SZ;tptinc992j;p99.94p100;1997;4665800.5;992;j
SZ;tptinc992j;p99.94p100;1998;4122676.0;992;j
SZ;tptinc992j;p99.94p100;1999;3863754.25;992;j
SZ;tptinc992j;p99.94p100;2000;3234542.25;992;j
SZ;tptinc992j;p99.94p100;2001;3231061.25;992;j
SZ;tptinc992j;p99.94p100;2002;3043770.25;992;j
SZ;tptinc992j;p99.94p100;2003;2962149.75;992;j
SZ;tptinc992j;p99.94p100;2004;3015707.25;992;j
SZ;tptinc992j;p99.94p100;2005;3278793.5;992;j
SZ;tptinc992j;p99.94p100;2006;3167049.5;992;j
