country;variable;percentile;year;value;age;pop
TC;xlcyux999i;p0p100;2018;0.15666421;999;i
TC;xlcyup999i;p0p100;1970;1.4413649;999;i
TC;xlcyup999i;p0p100;1971;1.4214214;999;i
TC;xlcyup999i;p0p100;1972;1.443446;999;i
TC;xlcyup999i;p0p100;1973;1.4418755;999;i
TC;xlcyup999i;p0p100;1974;1.4561279;999;i
TC;xlcyup999i;p0p100;1975;1.4647449;999;i
TC;xlcyup999i;p0p100;1976;1.4317052;999;i
TC;xlcyup999i;p0p100;1977;1.4389106;999;i
TC;xlcyup999i;p0p100;1978;1.4306071;999;i
TC;xlcyup999i;p0p100;1979;1.3896157;999;i
TC;xlcyup999i;p0p100;1980;1.3299837;999;i
TC;xlcyup999i;p0p100;1981;1.3350164;999;i
TC;xlcyup999i;p0p100;1982;1.3405683;999;i
TC;xlcyup999i;p0p100;1983;1.3503886;999;i
TC;xlcyup999i;p0p100;1984;1.3923326;999;i
TC;xlcyup999i;p0p100;1985;1.3846987;999;i
TC;xlcyup999i;p0p100;1986;1.3360003;999;i
TC;xlcyup999i;p0p100;1987;1.2717347;999;i
TC;xlcyup999i;p0p100;1988;1.1213512;999;i
TC;xlcyup999i;p0p100;1989;0.96055847;999;i
TC;xlcyup999i;p0p100;1990;0.86309093;999;i
TC;xlcyup999i;p0p100;1991;0.84843481;999;i
TC;xlcyup999i;p0p100;1992;0.79002255;999;i
TC;xlcyup999i;p0p100;1993;0.6376937;999;i
TC;xlcyup999i;p0p100;1994;0.50080609;999;i
TC;xlcyup999i;p0p100;1995;0.43166474;999;i
TC;xlcyup999i;p0p100;1996;0.40095085;999;i
TC;xlcyup999i;p0p100;1997;0.38531289;999;i
TC;xlcyup999i;p0p100;1998;0.38877985;999;i
TC;xlcyup999i;p0p100;1999;0.39270347;999;i
TC;xlcyup999i;p0p100;2000;0.38022909;999;i
TC;xlcyup999i;p0p100;2001;0.39188835;999;i
TC;xlcyup999i;p0p100;2002;0.39577791;999;i
TC;xlcyup999i;p0p100;2003;0.39097217;999;i
TC;xlcyup999i;p0p100;2004;0.3900463;999;i
TC;xlcyup999i;p0p100;2005;0.38982072;999;i
TC;xlcyup999i;p0p100;2006;0.3989768;999;i
TC;xlcyup999i;p0p100;2007;0.37637526;999;i
TC;xlcyup999i;p0p100;2008;0.35963857;999;i
TC;xlcyup999i;p0p100;2009;0.36966524;999;i
TC;xlcyup999i;p0p100;2010;0.3344152;999;i
TC;xlcyup999i;p0p100;2011;0.31385964;999;i
TC;xlcyup999i;p0p100;2012;0.3115772;999;i
TC;xlcyup999i;p0p100;2013;0.31210622;999;i
TC;xlcyup999i;p0p100;2014;0.32384974;999;i
TC;xlcyup999i;p0p100;2015;0.33351284;999;i
TC;xlcyup999i;p0p100;2016;0.3418645;999;i
TC;xlcyup999i;p0p100;2017;0.35295412;999;i
TC;xlcyup999i;p0p100;2018;0.35824811;999;i
TC;xlcusx999i;p0p100;2018;1.0;999;i
TC;xlcusp999i;p0p100;1970;2.2285028;999;i
TC;xlcusp999i;p0p100;1971;2.1592224;999;i
TC;xlcusp999i;p0p100;1972;2.1064346;999;i
TC;xlcusp999i;p0p100;1973;2.033283;999;i
TC;xlcusp999i;p0p100;1974;1.9053985;999;i
TC;xlcusp999i;p0p100;1975;1.7806599;999;i
TC;xlcusp999i;p0p100;1976;1.71909;999;i
TC;xlcusp999i;p0p100;1977;1.6501616;999;i
TC;xlcusp999i;p0p100;1978;1.5715932;999;i
TC;xlcusp999i;p0p100;1979;1.4789379;999;i
TC;xlcusp999i;p0p100;1980;1.3825271;999;i
TC;xlcusp999i;p0p100;1981;1.2869008;999;i
TC;xlcusp999i;p0p100;1982;1.2346967;999;i
TC;xlcusp999i;p0p100;1983;1.2041478;999;i
TC;xlcusp999i;p0p100;1984;1.1796712;999;i
TC;xlcusp999i;p0p100;1985;1.1601466;999;i
TC;xlcusp999i;p0p100;1986;1.1574252;999;i
TC;xlcusp999i;p0p100;1987;1.148828;999;i
TC;xlcusp999i;p0p100;1988;1.1304185;999;i
TC;xlcusp999i;p0p100;1989;1.1021904;999;i
TC;xlcusp999i;p0p100;1990;1.0789386;999;i
TC;xlcusp999i;p0p100;1991;1.0618482;999;i
TC;xlcusp999i;p0p100;1992;1.0555944;999;i
TC;xlcusp999i;p0p100;1993;1.0544597;999;i
TC;xlcusp999i;p0p100;1994;1.0266201;999;i
TC;xlcusp999i;p0p100;1995;1.0382812;999;i
TC;xlcusp999i;p0p100;1996;1.0434799;999;i
TC;xlcusp999i;p0p100;1997;1.047451;999;i
TC;xlcusp999i;p0p100;1998;1.0508612;999;i
TC;xlcusp999i;p0p100;1999;1.0568858;999;i
TC;xlcusp999i;p0p100;2000;1.0673785;999;i
TC;xlcusp999i;p0p100;2001;1.0923715;999;i
TC;xlcusp999i;p0p100;2002;1.0845125;999;i
TC;xlcusp999i;p0p100;2003;1.0844053;999;i
TC;xlcusp999i;p0p100;2004;1.1222031;999;i
TC;xlcusp999i;p0p100;2005;1.1345593;999;i
TC;xlcusp999i;p0p100;2006;1.1660222;999;i
TC;xlcusp999i;p0p100;2007;1.1510851;999;i
TC;xlcusp999i;p0p100;2008;1.1622549;999;i
TC;xlcusp999i;p0p100;2009;1.1641636;999;i
TC;xlcusp999i;p0p100;2010;1.1081996;999;i
TC;xlcusp999i;p0p100;2011;1.1002463;999;i
TC;xlcusp999i;p0p100;2012;1.0878842;999;i
TC;xlcusp999i;p0p100;2013;1.0930171;999;i
TC;xlcusp999i;p0p100;2014;1.1200459;999;i
TC;xlcusp999i;p0p100;2015;1.1339049;999;i
TC;xlcusp999i;p0p100;2016;1.1427356;999;i
TC;xlcusp999i;p0p100;2017;1.1507567;999;i
TC;xlcusp999i;p0p100;2018;1.1353095;999;i
TC;xlceux999i;p0p100;2018;1.2258255;999;i
TC;xlceup999i;p0p100;1995;1.2333897;999;i
TC;xlceup999i;p0p100;1996;1.2331676;999;i
TC;xlceup999i;p0p100;1997;1.2646104;999;i
TC;xlceup999i;p0p100;1998;1.2718773;999;i
TC;xlceup999i;p0p100;1999;1.2786349;999;i
TC;xlceup999i;p0p100;2000;1.3032566;999;i
TC;xlceup999i;p0p100;2001;1.3346186;999;i
TC;xlceup999i;p0p100;2002;1.3160802;999;i
TC;xlceup999i;p0p100;2003;1.3159264;999;i
TC;xlceup999i;p0p100;2004;1.3736141;999;i
TC;xlceup999i;p0p100;2005;1.4041824;999;i
TC;xlceup999i;p0p100;2006;1.4572842;999;i
TC;xlceup999i;p0p100;2007;1.4426384;999;i
TC;xlceup999i;p0p100;2008;1.4561613;999;i
TC;xlceup999i;p0p100;2009;1.4612725;999;i
TC;xlceup999i;p0p100;2010;1.4040372;999;i
TC;xlceup999i;p0p100;2011;1.4098691;999;i
TC;xlceup999i;p0p100;2012;1.4025024;999;i
TC;xlceup999i;p0p100;2013;1.4146701;999;i
