country;variable;percentile;year;value;age;pop
TD;tptinc992j;p9p100;1990;78789.109375;992;j
TD;tptinc992j;p9p100;1991;80922.6953125;992;j
TD;tptinc992j;p9p100;1992;80942.546875;992;j
TD;tptinc992j;p9p100;1993;76607.75;992;j
TD;tptinc992j;p9p100;1994;79196.203125;992;j
TD;tptinc992j;p9p100;1995;77891.8359375;992;j
TD;tptinc992j;p9p100;1996;76998.75;992;j
TD;tptinc992j;p9p100;1997;78980.5078125;992;j
TD;tptinc992j;p9p100;1998;82134.828125;992;j
TD;tptinc992j;p9p100;1999;78872.796875;992;j
TD;tptinc992j;p9p100;2000;75274.7734375;992;j
TD;tptinc992j;p9p100;2001;81432.453125;992;j
TD;tptinc992j;p9p100;2002;84970.328125;992;j
TD;tptinc992j;p9p100;2003;99982.6015625;992;j
TD;tptinc992j;p9p100;2004;124709.8984375;992;j
TD;tptinc992j;p9p100;2005;124271.6640625;992;j
TD;tptinc992j;p9p100;2006;112532.8984375;992;j
TD;tptinc992j;p9p100;2007;123488.609375;992;j
TD;tptinc992j;p9p100;2008;115078.390625;992;j
TD;tptinc992j;p9p100;2009;115366.390625;992;j
TD;tptinc992j;p9p100;2010;122162.734375;992;j
TD;tptinc992j;p9p100;2011;120582.5390625;992;j
TD;tptinc992j;p9p100;2012;126217.15625;992;j
TD;tptinc992j;p9p100;2013;115481.703125;992;j
TD;tptinc992j;p9p100;2014;115134.453125;992;j
TD;tptinc992j;p9p100;2015;115428.328125;992;j
TD;tptinc992j;p9p100;2016;108283.6953125;992;j
TD;tptinc992j;p9p100;2017;101149.0703125;992;j
TD;tptinc992j;p9p10;1990;78789.109375;992;j
TD;tptinc992j;p9p10;1991;80922.6953125;992;j
TD;tptinc992j;p9p10;1992;80942.546875;992;j
TD;tptinc992j;p9p10;1993;76607.75;992;j
TD;tptinc992j;p9p10;1994;79196.203125;992;j
TD;tptinc992j;p9p10;1995;77891.8359375;992;j
TD;tptinc992j;p9p10;1996;76998.75;992;j
TD;tptinc992j;p9p10;1997;78980.5078125;992;j
TD;tptinc992j;p9p10;1998;82134.828125;992;j
TD;tptinc992j;p9p10;1999;78872.796875;992;j
TD;tptinc992j;p9p10;2000;75274.7734375;992;j
TD;tptinc992j;p9p10;2001;81432.453125;992;j
TD;tptinc992j;p9p10;2002;84970.328125;992;j
TD;tptinc992j;p9p10;2003;99982.6015625;992;j
TD;tptinc992j;p9p10;2004;124709.8984375;992;j
TD;tptinc992j;p9p10;2005;124271.6640625;992;j
TD;tptinc992j;p9p10;2006;112532.8984375;992;j
TD;tptinc992j;p9p10;2007;123488.609375;992;j
TD;tptinc992j;p9p10;2008;115078.390625;992;j
TD;tptinc992j;p9p10;2009;115366.390625;992;j
TD;tptinc992j;p9p10;2010;122162.734375;992;j
TD;tptinc992j;p9p10;2011;120582.5390625;992;j
TD;tptinc992j;p9p10;2012;126217.15625;992;j
TD;tptinc992j;p9p10;2013;115481.703125;992;j
TD;tptinc992j;p9p10;2014;115134.453125;992;j
TD;tptinc992j;p9p10;2015;115428.328125;992;j
TD;tptinc992j;p9p10;2016;108283.6953125;992;j
TD;tptinc992j;p9p10;2017;101149.0703125;992;j
TD;tptinc992j;p99p99.1;1990;4483694.0;992;j
TD;tptinc992j;p99p99.1;1991;4605111.5;992;j
TD;tptinc992j;p99p99.1;1992;4606241.0;992;j
TD;tptinc992j;p99p99.1;1993;4359558.5;992;j
TD;tptinc992j;p99p99.1;1994;4506861.0;992;j
TD;tptinc992j;p99p99.1;1995;4432632.5;992;j
TD;tptinc992j;p99p99.1;1996;4381809.5;992;j
TD;tptinc992j;p99p99.1;1997;4494586.0;992;j
TD;tptinc992j;p99p99.1;1998;4674091.0;992;j
TD;tptinc992j;p99p99.1;1999;4488457.0;992;j
TD;tptinc992j;p99p99.1;2000;4283702.0;992;j
TD;tptinc992j;p99p99.1;2001;4634120.5;992;j
TD;tptinc992j;p99p99.1;2002;4835452.0;992;j
TD;tptinc992j;p99p99.1;2003;5442087.0;992;j
TD;tptinc992j;p99p99.1;2004;7036196.0;992;j
TD;tptinc992j;p99p99.1;2005;7277932.0;992;j
TD;tptinc992j;p99p99.1;2006;6851209.5;992;j
TD;tptinc992j;p99p99.1;2007;7828448.0;992;j
TD;tptinc992j;p99p99.1;2008;7609851.5;992;j
TD;tptinc992j;p99p99.1;2009;7973333.5;992;j
TD;tptinc992j;p99p99.1;2010;8843099.0;992;j
TD;tptinc992j;p99p99.1;2011;9163828.0;992;j
TD;tptinc992j;p99p99.1;2012;9592038.0;992;j
