country;variable;percentile;year;value;age;pop
TG;tptinc992j;p99.996p99.997;1990;52626112.0;992;j
TG;tptinc992j;p99.996p99.997;1991;51792448.0;992;j
TG;tptinc992j;p99.996p99.997;1992;49067088.0;992;j
TG;tptinc992j;p99.996p99.997;1993;40511396.0;992;j
TG;tptinc992j;p99.996p99.997;1994;43598628.0;992;j
TG;tptinc992j;p99.996p99.997;1995;46173280.0;992;j
TG;tptinc992j;p99.996p99.997;1996;48128316.0;992;j
TG;tptinc992j;p99.996p99.997;1997;47962136.0;992;j
TG;tptinc992j;p99.996p99.997;1998;45074848.0;992;j
TG;tptinc992j;p99.996p99.997;1999;44078796.0;992;j
TG;tptinc992j;p99.996p99.997;2000;41902052.0;992;j
TG;tptinc992j;p99.996p99.997;2001;41014276.0;992;j
TG;tptinc992j;p99.996p99.997;2002;41667240.0;992;j
TG;tptinc992j;p99.996p99.997;2003;43245692.0;992;j
TG;tptinc992j;p99.996p99.997;2004;41218332.0;992;j
TG;tptinc992j;p99.996p99.997;2005;38036628.0;992;j
TG;tptinc992j;p99.996p99.997;2006;37943208.0;992;j
TG;tptinc992j;p99.996p99.997;2007;38369700.0;992;j
TG;tptinc992j;p99.996p99.997;2008;40961856.0;992;j
TG;tptinc992j;p99.996p99.997;2009;43739232.0;992;j
TG;tptinc992j;p99.996p99.997;2010;46920216.0;992;j
TG;tptinc992j;p99.996p99.997;2011;53957420.0;992;j
TG;tptinc992j;p99.996p99.997;2012;50509312.0;992;j
TG;tptinc992j;p99.996p99.997;2013;50129624.0;992;j
TG;tptinc992j;p99.996p99.997;2014;49412696.0;992;j
TG;tptinc992j;p99.996p99.997;2015;49612424.0;992;j
TG;tptinc992j;p99.996p99.997;2016;49615624.0;992;j
TG;tptinc992j;p99.996p99.997;2017;49862788.0;992;j
TG;tptinc992j;p99.996p100;1990;52626112.0;992;j
TG;tptinc992j;p99.996p100;1991;51792448.0;992;j
TG;tptinc992j;p99.996p100;1992;49067088.0;992;j
TG;tptinc992j;p99.996p100;1993;40511396.0;992;j
TG;tptinc992j;p99.996p100;1994;43598628.0;992;j
TG;tptinc992j;p99.996p100;1995;46173280.0;992;j
TG;tptinc992j;p99.996p100;1996;48128316.0;992;j
TG;tptinc992j;p99.996p100;1997;47962136.0;992;j
TG;tptinc992j;p99.996p100;1998;45074848.0;992;j
TG;tptinc992j;p99.996p100;1999;44078796.0;992;j
TG;tptinc992j;p99.996p100;2000;41902052.0;992;j
TG;tptinc992j;p99.996p100;2001;41014276.0;992;j
TG;tptinc992j;p99.996p100;2002;41667240.0;992;j
TG;tptinc992j;p99.996p100;2003;43245692.0;992;j
TG;tptinc992j;p99.996p100;2004;41218332.0;992;j
TG;tptinc992j;p99.996p100;2005;38036628.0;992;j
TG;tptinc992j;p99.996p100;2006;37943208.0;992;j
TG;tptinc992j;p99.996p100;2007;38369700.0;992;j
TG;tptinc992j;p99.996p100;2008;40961856.0;992;j
TG;tptinc992j;p99.996p100;2009;43739232.0;992;j
TG;tptinc992j;p99.996p100;2010;46920216.0;992;j
TG;tptinc992j;p99.996p100;2011;53957420.0;992;j
TG;tptinc992j;p99.996p100;2012;50509312.0;992;j
TG;tptinc992j;p99.996p100;2013;50129624.0;992;j
TG;tptinc992j;p99.996p100;2014;49412696.0;992;j
TG;tptinc992j;p99.996p100;2015;49612424.0;992;j
TG;tptinc992j;p99.996p100;2016;49615624.0;992;j
TG;tptinc992j;p99.996p100;2017;49862788.0;992;j
TG;tptinc992j;p99.995p99.996;1990;48507012.0;992;j
TG;tptinc992j;p99.995p99.996;1991;47738600.0;992;j
TG;tptinc992j;p99.995p99.996;1992;45226560.0;992;j
TG;tptinc992j;p99.995p99.996;1993;37340528.0;992;j
