country;variable;percentile;year;value;age;pop
TM;xlcyux999i;p0p100;1994;2.2275097;999;i
TM;xlcyux999i;p0p100;1995;13.281179;999;i
TM;xlcyux999i;p0p100;1996;391.82083;999;i
TM;xlcyux999i;p0p100;1997;499.82004;999;i
TM;xlcyux999i;p0p100;1998;590.67413;999;i
TM;xlcyux999i;p0p100;1999;628.1521;999;i
TM;xlcyux999i;p0p100;2000;628.13281;999;i
TM;xlcyux999i;p0p100;2001;628.24176;999;i
TM;xlcyux999i;p0p100;2018;0.53214824;999;i
TM;xlcyup999i;p0p100;1987;2.358e-07;999;i
TM;xlcyup999i;p0p100;1988;1.984e-07;999;i
TM;xlcyup999i;p0p100;1989;1.813e-07;999;i
TM;xlcyup999i;p0p100;1990;1.266e-07;999;i
TM;xlcyup999i;p0p100;1991;2.476e-07;999;i
TM;xlcyup999i;p0p100;1992;7.2327e-06;999;i
TM;xlcyup999i;p0p100;1993;7.03256e-05;999;i
TM;xlcyup999i;p0p100;1994;0.0005838273;999;i
TM;xlcyup999i;p0p100;1995;0.0039310041;999;i
TM;xlcyup999i;p0p100;1996;0.039657451;999;i
TM;xlcyup999i;p0p100;1997;0.060237065;999;i
TM;xlcyup999i;p0p100;1998;0.070347123;999;i
TM;xlcyup999i;p0p100;1999;0.085558966;999;i
TM;xlcyup999i;p0p100;2000;0.097168066;999;i
TM;xlcyup999i;p0p100;2001;0.12526648;999;i
TM;xlcyup999i;p0p100;2002;0.16087002;999;i
TM;xlcyup999i;p0p100;2003;0.1977286;999;i
TM;xlcyup999i;p0p100;2004;0.2194507;999;i
TM;xlcyup999i;p0p100;2005;0.22528823;999;i
TM;xlcyup999i;p0p100;2006;0.24460329;999;i
TM;xlcyup999i;p0p100;2007;0.24859405;999;i
TM;xlcyup999i;p0p100;2008;0.3682026;999;i
TM;xlcyup999i;p0p100;2009;0.40987745;999;i
TM;xlcyup999i;p0p100;2010;0.39236617;999;i
TM;xlcyup999i;p0p100;2011;0.40966916;999;i
TM;xlcyup999i;p0p100;2012;0.43720195;999;i
TM;xlcyup999i;p0p100;2013;0.43399724;999;i
TM;xlcyup999i;p0p100;2014;0.43471035;999;i
TM;xlcyup999i;p0p100;2015;0.4150148;999;i
TM;xlcyup999i;p0p100;2016;0.39723834;999;i
TM;xlcyup999i;p0p100;2017;0.39350098;999;i
TM;xlcyup999i;p0p100;2018;0.40066019;999;i
TM;xlcusx999i;p0p100;1994;19.198334;999;i
TM;xlcusx999i;p0p100;1995;110.91666;999;i
TM;xlcusx999i;p0p100;1996;3257.6667;999;i
TM;xlcusx999i;p0p100;1997;4143.4165;999;i
TM;xlcusx999i;p0p100;1998;4890.1665;999;i
TM;xlcusx999i;p0p100;1999;5200.0;999;i
TM;xlcusx999i;p0p100;2000;5200.0;999;i
TM;xlcusx999i;p0p100;2001;5200.0;999;i
TM;xlcusx999i;p0p100;2018;3.3967443;999;i
TM;xlcusp999i;p0p100;1987;2.13e-07;999;i
TM;xlcusp999i;p0p100;1988;2e-07;999;i
TM;xlcusp999i;p0p100;1989;2.08e-07;999;i
TM;xlcusp999i;p0p100;1990;1.583e-07;999;i
TM;xlcusp999i;p0p100;1991;3.099e-07;999;i
TM;xlcusp999i;p0p100;1992;9.664e-06;999;i
TM;xlcusp999i;p0p100;1993;0.0001162871;999;i
TM;xlcusp999i;p0p100;1994;0.0011968082;999;i
TM;xlcusp999i;p0p100;1995;0.0094552264;999;i
TM;xlcusp999i;p0p100;1996;0.10320904;999;i
TM;xlcusp999i;p0p100;1997;0.16375101;999;i
TM;xlcusp999i;p0p100;1998;0.19014634;999;i
TM;xlcusp999i;p0p100;1999;0.23026548;999;i
TM;xlcusp999i;p0p100;2000;0.27277005;999;i
TM;xlcusp999i;p0p100;2001;0.34917477;999;i
TM;xlcusp999i;p0p100;2002;0.44081676;999;i
TM;xlcusp999i;p0p100;2003;0.54842252;999;i
TM;xlcusp999i;p0p100;2004;0.63138211;999;i
TM;xlcusp999i;p0p100;2005;0.65569335;999;i
TM;xlcusp999i;p0p100;2006;0.7148608;999;i
