country;variable;percentile;year;value;age;pop
TN;tptinc992j;p9p100;1985;915.7117919922;992;j
TN;tptinc992j;p9p100;1986;883.9814453125;992;j
TN;tptinc992j;p9p100;1987;919.2048950195;992;j
TN;tptinc992j;p9p100;1988;918.5654296875;992;j
TN;tptinc992j;p9p100;1989;944.0140380859;992;j
TN;tptinc992j;p9p100;1990;1009.9097290039;992;j
TN;tptinc992j;p9p100;1991;1020.2321777344;992;j
TN;tptinc992j;p9p100;1992;1087.7525634766;992;j
TN;tptinc992j;p9p100;1993;1079.0856933594;992;j
TN;tptinc992j;p9p100;1994;1082.4528808594;992;j
TN;tptinc992j;p9p100;1995;1082.6303710938;992;j
TN;tptinc992j;p9p100;1996;1095.7697753906;992;j
TN;tptinc992j;p9p100;1997;1109.4052734375;992;j
TN;tptinc992j;p9p100;1998;1126.4367675781;992;j
TN;tptinc992j;p9p100;1999;1158.7794189453;992;j
TN;tptinc992j;p9p100;2000;1161.9063720703;992;j
TN;tptinc992j;p9p100;2001;1249.1607666016;992;j
TN;tptinc992j;p9p100;2002;1271.5366210938;992;j
TN;tptinc992j;p9p100;2003;1354.2818603516;992;j
TN;tptinc992j;p9p100;2004;1438.5533447266;992;j
TN;tptinc992j;p9p100;2005;1485.9323730469;992;j
TN;tptinc992j;p9p100;2006;1563.0788574219;992;j
TN;tptinc992j;p9p100;2007;1636.3485107422;992;j
TN;tptinc992j;p9p100;2008;1691.6320800781;992;j
TN;tptinc992j;p9p100;2009;1728.1955566406;992;j
TN;tptinc992j;p9p100;2010;1768.6420898438;992;j
TN;tptinc992j;p9p100;2011;1752.1550292969;992;j
TN;tptinc992j;p9p100;2012;1878.5712890625;992;j
TN;tptinc992j;p9p100;2013;1967.2374267578;992;j
TN;tptinc992j;p9p100;2014;2083.1149902344;992;j
TN;tptinc992j;p9p100;2015;2163.6433105469;992;j
TN;tptinc992j;p9p100;2016;2167.9775390625;992;j
TN;tptinc992j;p9p100;2017;2183.7758789062;992;j
TN;tptinc992j;p9p10;1985;915.7117919922;992;j
TN;tptinc992j;p9p10;1986;883.9814453125;992;j
TN;tptinc992j;p9p10;1987;919.2048950195;992;j
TN;tptinc992j;p9p10;1988;918.5654296875;992;j
TN;tptinc992j;p9p10;1989;944.0140380859;992;j
TN;tptinc992j;p9p10;1990;1009.9097290039;992;j
TN;tptinc992j;p9p10;1991;1020.2321777344;992;j
TN;tptinc992j;p9p10;1992;1087.7525634766;992;j
TN;tptinc992j;p9p10;1993;1079.0856933594;992;j
TN;tptinc992j;p9p10;1994;1082.4528808594;992;j
TN;tptinc992j;p9p10;1995;1082.6303710938;992;j
TN;tptinc992j;p9p10;1996;1095.7697753906;992;j
TN;tptinc992j;p9p10;1997;1109.4052734375;992;j
TN;tptinc992j;p9p10;1998;1126.4367675781;992;j
TN;tptinc992j;p9p10;1999;1158.7794189453;992;j
TN;tptinc992j;p9p10;2000;1161.9063720703;992;j
TN;tptinc992j;p9p10;2001;1249.1607666016;992;j
TN;tptinc992j;p9p10;2002;1271.5366210938;992;j
TN;tptinc992j;p9p10;2003;1354.2818603516;992;j
TN;tptinc992j;p9p10;2004;1438.5533447266;992;j
TN;tptinc992j;p9p10;2005;1485.9323730469;992;j
TN;tptinc992j;p9p10;2006;1563.0788574219;992;j
TN;tptinc992j;p9p10;2007;1636.3485107422;992;j
TN;tptinc992j;p9p10;2008;1691.6320800781;992;j
TN;tptinc992j;p9p10;2009;1728.1955566406;992;j
TN;tptinc992j;p9p10;2010;1768.6420898438;992;j
TN;tptinc992j;p9p10;2011;1752.1550292969;992;j
TN;tptinc992j;p9p10;2012;1878.5712890625;992;j
TN;tptinc992j;p9p10;2013;1967.2374267578;992;j
TN;tptinc992j;p9p10;2014;2083.1149902344;992;j
TN;tptinc992j;p9p10;2015;2163.6433105469;992;j
TN;tptinc992j;p9p10;2016;2167.9775390625;992;j
TN;tptinc992j;p9p10;2017;2183.7758789062;992;j
TN;tptinc992j;p99p99.1;1985;69423.671875;992;j
TN;tptinc992j;p99p99.1;1986;64228.36328125;992;j
TN;tptinc992j;p99p99.1;1987;64025.56640625;992;j
TN;tptinc992j;p99p99.1;1988;61349.37890625;992;j
TN;tptinc992j;p99p99.1;1989;60466.984375;992;j
TN;tptinc992j;p99p99.1;1990;62047.1796875;992;j
TN;tptinc992j;p99p99.1;1991;61935.34375;992;j
TN;tptinc992j;p99p99.1;1992;65255.21875;992;j
TN;tptinc992j;p99p99.1;1993;63977.92578125;992;j
TN;tptinc992j;p99p99.1;1994;63432.765625;992;j
TN;tptinc992j;p99p99.1;1995;62712.5703125;992;j
TN;tptinc992j;p99p99.1;1996;64249.3203125;992;j
TN;tptinc992j;p99p99.1;1997;65851.6015625;992;j
TN;tptinc992j;p99p99.1;1998;67696.015625;992;j
TN;tptinc992j;p99p99.1;1999;70516.7265625;992;j
TN;tptinc992j;p99p99.1;2000;71606.6953125;992;j
TN;tptinc992j;p99p99.1;2001;73932.53125;992;j
TN;tptinc992j;p99p99.1;2002;72309.609375;992;j
TN;tptinc992j;p99p99.1;2003;74029.078125;992;j
TN;tptinc992j;p99p99.1;2004;75610.3359375;992;j
TN;tptinc992j;p99p99.1;2005;75111.8671875;992;j
TN;tptinc992j;p99p99.1;2006;76835.7421875;992;j
