country;variable;percentile;year;value;age;pop
TT;xlcyux999i;p0p100;1960;0.69635379;999;i
TT;xlcyux999i;p0p100;1961;0.69635379;999;i
TT;xlcyux999i;p0p100;1962;0.69635379;999;i
TT;xlcyux999i;p0p100;1963;0.69635379;999;i
TT;xlcyux999i;p0p100;1964;0.69635379;999;i
TT;xlcyux999i;p0p100;1965;0.69635379;999;i
TT;xlcyux999i;p0p100;1966;0.69635379;999;i
TT;xlcyux999i;p0p100;1967;0.70602524;999;i
TT;xlcyux999i;p0p100;1968;0.81241071;999;i
TT;xlcyux999i;p0p100;1969;0.81241071;999;i
TT;xlcyux999i;p0p100;1970;0.81241071;999;i
TT;xlcyux999i;p0p100;1971;0.80220532;999;i
TT;xlcyux999i;p0p100;1972;0.85577905;999;i
TT;xlcyux999i;p0p100;1973;0.98482215;999;i
TT;xlcyux999i;p0p100;1974;1.0469755;999;i
TT;xlcyux999i;p0p100;1975;1.1666687;999;i
TT;xlcyux999i;p0p100;1976;1.2546448;999;i
TT;xlcyux999i;p0p100;1977;1.2918344;999;i
TT;xlcyux999i;p0p100;1978;1.4255258;999;i
TT;xlcyux999i;p0p100;1979;1.5434691;999;i
TT;xlcyux999i;p0p100;1980;1.6017234;999;i
TT;xlcyux999i;p0p100;1981;1.4080032;999;i
TT;xlcyux999i;p0p100;1982;1.2681359;999;i
TT;xlcyux999i;p0p100;1983;1.2147747;999;i
TT;xlcyux999i;p0p100;1984;1.0344642;999;i
TT;xlcyux999i;p0p100;1985;0.83428162;999;i
TT;xlcyux999i;p0p100;1986;1.0426346;999;i
TT;xlcyux999i;p0p100;1987;0.96719593;999;i
TT;xlcyux999i;p0p100;1988;1.0326831;999;i
TT;xlcyux999i;p0p100;1989;1.1287856;999;i
TT;xlcyux999i;p0p100;1990;0.88852495;999;i
TT;xlcyux999i;p0p100;1991;0.79836321;999;i
TT;xlcyux999i;p0p100;1992;0.77068263;999;i
TT;xlcyux999i;p0p100;1993;0.92869413;999;i
TT;xlcyux999i;p0p100;1994;0.68744701;999;i
TT;xlcyux999i;p0p100;1995;0.71219003;999;i
