country;variable;percentile;year;value;age;pop
TV;xlcyux999i;p0p100;2018;0.1980295;999;i
TV;xlcyup999i;p0p100;1970;0.58538622;999;i
TV;xlcyup999i;p0p100;1971;0.60543913;999;i
TV;xlcyup999i;p0p100;1972;0.64494938;999;i
TV;xlcyup999i;p0p100;1973;0.67627007;999;i
TV;xlcyup999i;p0p100;1974;0.71670115;999;i
TV;xlcyup999i;p0p100;1975;0.75577796;999;i
TV;xlcyup999i;p0p100;1976;0.77373207;999;i
TV;xlcyup999i;p0p100;1977;0.81663918;999;i
TV;xlcyup999i;p0p100;1978;0.85514128;999;i
TV;xlcyup999i;p0p100;1979;0.87044984;999;i
TV;xlcyup999i;p0p100;1980;0.86877823;999;i
TV;xlcyup999i;p0p100;1981;0.90914732;999;i
TV;xlcyup999i;p0p100;1982;0.96965742;999;i
TV;xlcyup999i;p0p100;1983;1.0460101;999;i
TV;xlcyup999i;p0p100;1984;1.0998948;999;i
TV;xlcyup999i;p0p100;1985;1.1140189;999;i
TV;xlcyup999i;p0p100;1986;1.1185176;999;i
TV;xlcyup999i;p0p100;1987;1.0802965;999;i
TV;xlcyup999i;p0p100;1988;0.99472141;999;i
TV;xlcyup999i;p0p100;1989;0.92232186;999;i
TV;xlcyup999i;p0p100;1990;0.83067763;999;i
TV;xlcyup999i;p0p100;1991;0.82401687;999;i
TV;xlcyup999i;p0p100;1992;0.81935245;999;i
TV;xlcyup999i;p0p100;1993;0.59915125;999;i
TV;xlcyup999i;p0p100;1994;0.47585973;999;i
TV;xlcyup999i;p0p100;1995;0.42462441;999;i
TV;xlcyup999i;p0p100;1996;0.41133627;999;i
TV;xlcyup999i;p0p100;1997;0.41353884;999;i
TV;xlcyup999i;p0p100;1998;0.39253077;999;i
TV;xlcyup999i;p0p100;1999;0.40334311;999;i
TV;xlcyup999i;p0p100;2000;0.33004534;999;i
TV;xlcyup999i;p0p100;2001;0.35916385;999;i
TV;xlcyup999i;p0p100;2002;0.38502488;999;i
TV;xlcyup999i;p0p100;2003;0.4035179;999;i
TV;xlcyup999i;p0p100;2004;0.39986151;999;i
TV;xlcyup999i;p0p100;2005;0.38616809;999;i
TV;xlcyup999i;p0p100;2006;0.38874736;999;i
TV;xlcyup999i;p0p100;2007;0.3610557;999;i
TV;xlcyup999i;p0p100;2008;0.34649581;999;i
TV;xlcyup999i;p0p100;2009;0.35388279;999;i
TV;xlcyup999i;p0p100;2010;0.33941534;999;i
TV;xlcyup999i;p0p100;2011;0.31662098;999;i
TV;xlcyup999i;p0p100;2012;0.31444472;999;i
TV;xlcyup999i;p0p100;2013;0.31457695;999;i
TV;xlcyup999i;p0p100;2014;0.32854643;999;i
TV;xlcyup999i;p0p100;2015;0.34588602;999;i
TV;xlcyup999i;p0p100;2016;0.37487701;999;i
TV;xlcyup999i;p0p100;2017;0.38345817;999;i
TV;xlcyup999i;p0p100;2018;0.40480152;999;i
TV;xlcusx999i;p0p100;2018;1.264038;999;i
TV;xlcusp999i;p0p100;1970;0.90506905;999;i
TV;xlcusp999i;p0p100;1971;0.91969752;999;i
TV;xlcusp999i;p0p100;1972;0.94118077;999;i
TV;xlcusp999i;p0p100;1973;0.95365268;999;i
TV;xlcusp999i;p0p100;1974;0.93783057;999;i
TV;xlcusp999i;p0p100;1975;0.91878349;999;i
TV;xlcusp999i;p0p100;1976;0.92904252;999;i
TV;xlcusp999i;p0p100;1977;0.93653256;999;i
TV;xlcusp999i;p0p100;1978;0.93941534;999;i
TV;xlcusp999i;p0p100;1979;0.92640096;999;i
TV;xlcusp999i;p0p100;1980;0.90310085;999;i
TV;xlcusp999i;p0p100;1981;0.87638056;999;i
TV;xlcusp999i;p0p100;1982;0.89307857;999;i
TV;xlcusp999i;p0p100;1983;0.93273211;999;i
TV;xlcusp999i;p0p100;1984;0.93189961;999;i
TV;xlcusp999i;p0p100;1985;0.93336207;999;i
TV;xlcusp999i;p0p100;1986;0.96901208;999;i
TV;xlcusp999i;p0p100;1987;0.97589141;999;i
TV;xlcusp999i;p0p100;1988;1.0027648;999;i
TV;xlcusp999i;p0p100;1989;1.0583159;999;i
TV;xlcusp999i;p0p100;1990;1.0384191;999;i
TV;xlcusp999i;p0p100;1991;1.0312881;999;i
TV;xlcusp999i;p0p100;1992;1.0947838;999;i
TV;xlcusp999i;p0p100;1993;0.99072772;999;i
TV;xlcusp999i;p0p100;1994;0.97548169;999;i
TV;xlcusp999i;p0p100;1995;1.0213472;999;i
TV;xlcusp999i;p0p100;1996;1.0705081;999;i
TV;xlcusp999i;p0p100;1997;1.1241816;999;i
TV;xlcusp999i;p0p100;1998;1.0609999;999;i
TV;xlcusp999i;p0p100;1999;1.0855204;999;i
TV;xlcusp999i;p0p100;2000;0.92650282;999;i
TV;xlcusp999i;p0p100;2001;1.0011533;999;i
TV;xlcusp999i;p0p100;2002;1.0550469;999;i
TV;xlcusp999i;p0p100;2003;1.1192023;999;i
TV;xlcusp999i;p0p100;2004;1.1504425;999;i
TV;xlcusp999i;p0p100;2005;1.1239284;999;i
TV;xlcusp999i;p0p100;2006;1.1361264;999;i
TV;xlcusp999i;p0p100;2007;1.1042327;999;i
TV;xlcusp999i;p0p100;2008;1.119781;999;i
TV;xlcusp999i;p0p100;2009;1.1144609;999;i
TV;xlcusp999i;p0p100;2010;1.1247693;999;i
TV;xlcusp999i;p0p100;2011;1.1099262;999;i
TV;xlcusp999i;p0p100;2012;1.0978962;999;i
TV;xlcusp999i;p0p100;2013;1.1016698;999;i
TV;xlcusp999i;p0p100;2014;1.1362896;999;i
TV;xlcusp999i;p0p100;2015;1.1759723;999;i
TV;xlcusp999i;p0p100;2016;1.2530851;999;i
TV;xlcusp999i;p0p100;2017;1.2502109;999;i
TV;xlcusp999i;p0p100;2018;1.2828399;999;i
TV;xlceux999i;p0p100;2018;1.54949;999;i
TV;xlceup999i;p0p100;1995;1.2132735;999;i
TV;xlceup999i;p0p100;1996;1.2651092;999;i
TV;xlceup999i;p0p100;1997;1.3572489;999;i
TV;xlceup999i;p0p100;1998;1.2841482;999;i
TV;xlceup999i;p0p100;1999;1.3132774;999;i
TV;xlceup999i;p0p100;2000;1.1312491;999;i
TV;xlceup999i;p0p100;2001;1.2231717;999;i
TV;xlceup999i;p0p100;2002;1.2803231;999;i
TV;xlceup999i;p0p100;2003;1.3581526;999;i
TV;xlceup999i;p0p100;2004;1.40818;999;i
TV;xlceup999i;p0p100;2005;1.3910252;999;i
TV;xlceup999i;p0p100;2006;1.4199207;999;i
TV;xlceup999i;p0p100;2007;1.3839189;999;i
TV;xlceup999i;p0p100;2008;1.4029467;999;i
TV;xlceup999i;p0p100;2009;1.3988851;999;i
TV;xlceup999i;p0p100;2010;1.4250304;999;i
TV;xlceup999i;p0p100;2011;1.422273;999;i
TV;xlceup999i;p0p100;2012;1.4154099;999;i
TV;xlceup999i;p0p100;2013;1.4258691;999;i
TV;xlceup999i;p0p100;2014;1.4825826;999;i
TV;xlceup999i;p0p100;2015;1.5298336;999;i
TV;xlceup999i;p0p100;2016;1.6335239;999;i
TV;xlceup999i;p0p100;2017;1.6433949;999;i
TV;xlceup999i;p0p100;2018;1.7008885;999;i
TV;npopul999i;p0p100;1950;4673.0;999;i
TV;npopul999i;p0p100;1951;4790.0;999;i
TV;npopul999i;p0p100;1952;4868.0;999;i
TV;npopul999i;p0p100;1953;4950.0;999;i
TV;npopul999i;p0p100;1954;5014.0;999;i
TV;npopul999i;p0p100;1955;5069.0;999;i
TV;npopul999i;p0p100;1956;5135.0;999;i
TV;npopul999i;p0p100;1957;5188.0;999;i
TV;npopul999i;p0p100;1958;5241.0;999;i
TV;npopul999i;p0p100;1959;5291.0;999;i
TV;npopul999i;p0p100;1960;5323.0;999;i
TV;npopul999i;p0p100;1961;5335.0;999;i
TV;npopul999i;p0p100;1962;5340.0;999;i
TV;npopul999i;p0p100;1963;5343.0;999;i
TV;npopul999i;p0p100;1964;5356.0;999;i
TV;npopul999i;p0p100;1965;5386.0;999;i
TV;npopul999i;p0p100;1966;5438.0;999;i
TV;npopul999i;p0p100;1967;5511.0;999;i
TV;npopul999i;p0p100;1968;5597.0;999;i
TV;npopul999i;p0p100;1969;5670.0;999;i
TV;npopul999i;p0p100;1970;5735.0;999;i
TV;npopul999i;p0p100;1971;5766.0;999;i
TV;npopul999i;p0p100;1972;5790.0;999;i
TV;npopul999i;p0p100;1973;5822.0;999;i
TV;npopul999i;p0p100;1974;5905.0;999;i
TV;npopul999i;p0p100;1975;6060.0;999;i
TV;npopul999i;p0p100;1976;6323.0;999;i
TV;npopul999i;p0p100;1977;6650.0;999;i
TV;npopul999i;p0p100;1978;7014.0;999;i
TV;npopul999i;p0p100;1979;7358.0;999;i
TV;npopul999i;p0p100;1980;7637.0;999;i
TV;npopul999i;p0p100;1981;7827.0;999;i
TV;npopul999i;p0p100;1982;7956.0;999;i
TV;npopul999i;p0p100;1983;8041.0;999;i
TV;npopul999i;p0p100;1984;8115.0;999;i
TV;npopul999i;p0p100;1985;8219.0;999;i
TV;npopul999i;p0p100;1986;8336.0;999;i
