country;variable;percentile;year;value;age;pop
TW;xlcyux999i;p0p100;2018;4.5945969;999;i
TW;xlcyup999i;p0p100;1952;7.7795253;999;i
TW;xlcyup999i;p0p100;1953;7.9802575;999;i
TW;xlcyup999i;p0p100;1954;7.0845289;999;i
TW;xlcyup999i;p0p100;1955;7.889648;999;i
TW;xlcyup999i;p0p100;1956;8.5826044;999;i
TW;xlcyup999i;p0p100;1957;9.0931225;999;i
TW;xlcyup999i;p0p100;1958;8.5013895;999;i
TW;xlcyup999i;p0p100;1959;8.905714;999;i
TW;xlcyup999i;p0p100;1960;10.129492;999;i
TW;xlcyup999i;p0p100;1961;8.5544472;999;i
TW;xlcyup999i;p0p100;1962;9.9438896;999;i
TW;xlcyup999i;p0p100;1963;10.673263;999;i
TW;xlcyup999i;p0p100;1964;10.445083;999;i
TW;xlcyup999i;p0p100;1965;9.8358259;999;i
TW;xlcyup999i;p0p100;1966;9.9130011;999;i
TW;xlcyup999i;p0p100;1967;10.075463;999;i
TW;xlcyup999i;p0p100;1968;10.574435;999;i
TW;xlcyup999i;p0p100;1969;11.227753;999;i
TW;xlcyup999i;p0p100;1970;11.411938;999;i
TW;xlcyup999i;p0p100;1971;11.351693;999;i
TW;xlcyup999i;p0p100;1972;11.619635;999;i
TW;xlcyup999i;p0p100;1973;14.143435;999;i
TW;xlcyup999i;p0p100;1974;18.793259;999;i
TW;xlcyup999i;p0p100;1975;18.612936;999;i
TW;xlcyup999i;p0p100;1976;18.518187;999;i
TW;xlcyup999i;p0p100;1977;19.513361;999;i
TW;xlcyup999i;p0p100;1978;20.156651;999;i
TW;xlcyup999i;p0p100;1979;21.107307;999;i
TW;xlcyup999i;p0p100;1980;23.617729;999;i
TW;xlcyup999i;p0p100;1981;27.087479;999;i
TW;xlcyup999i;p0p100;1982;27.375587;999;i
TW;xlcyup999i;p0p100;1983;27.800394;999;i
TW;xlcyup999i;p0p100;1984;28.528902;999;i
TW;xlcyup999i;p0p100;1985;27.881542;999;i
TW;xlcyup999i;p0p100;1986;27.719324;999;i
TW;xlcyup999i;p0p100;1987;25.920467;999;i
TW;xlcyup999i;p0p100;1988;22.433613;999;i
TW;xlcyup999i;p0p100;1989;19.414795;999;i
TW;xlcyup999i;p0p100;1990;18.017817;999;i
TW;xlcyup999i;p0p100;1991;17.981256;999;i
TW;xlcyup999i;p0p100;1992;16.938843;999;i
TW;xlcyup999i;p0p100;1993;13.815202;999;i
TW;xlcyup999i;p0p100;1994;11.091467;999;i
TW;xlcyup999i;p0p100;1995;9.4801388;999;i
TW;xlcyup999i;p0p100;1996;8.7840958;999;i
TW;xlcyup999i;p0p100;1997;8.432662;999;i
TW;xlcyup999i;p0p100;1998;8.6452732;999;i
TW;xlcyup999i;p0p100;1999;8.3805838;999;i
TW;xlcyup999i;p0p100;2000;7.7786374;999;i
TW;xlcyup999i;p0p100;2001;7.5950446;999;i
TW;xlcyup999i;p0p100;2002;7.5600028;999;i
TW;xlcyup999i;p0p100;2003;7.2057247;999;i
TW;xlcyup999i;p0p100;2004;6.7403145;999;i
TW;xlcyup999i;p0p100;2005;6.3669276;999;i
TW;xlcyup999i;p0p100;2006;6.0948105;999;i
TW;xlcyup999i;p0p100;2007;5.6442699;999;i
TW;xlcyup999i;p0p100;2008;5.0996556;999;i
TW;xlcyup999i;p0p100;2009;5.1801095;999;i
TW;xlcyup999i;p0p100;2010;4.7706857;999;i
TW;xlcyup999i;p0p100;2011;4.3108959;999;i
TW;xlcyup999i;p0p100;2012;4.2702522;999;i
TW;xlcyup999i;p0p100;2013;4.2471733;999;i
TW;xlcyup999i;p0p100;2014;4.3047829;999;i
TW;xlcyup999i;p0p100;2015;4.4729371;999;i
TW;xlcyup999i;p0p100;2016;4.540585;999;i
TW;xlcyup999i;p0p100;2017;4.5156159;999;i
TW;xlcyup999i;p0p100;2018;4.5005255;999;i
TW;xlcusx999i;p0p100;2018;29.327675;999;i
TW;xlcusp999i;p0p100;1897;2.97762e-05;999;i
TW;xlcusp999i;p0p100;1898;3.16688e-05;999;i
TW;xlcusp999i;p0p100;1899;2.92838e-05;999;i
TW;xlcusp999i;p0p100;1900;3.23769e-05;999;i
TW;xlcusp999i;p0p100;1901;3.14619e-05;999;i
TW;xlcusp999i;p0p100;1902;3.21031e-05;999;i
TW;xlcusp999i;p0p100;1903;3.30278e-05;999;i
TW;xlcusp999i;p0p100;1904;3.58962e-05;999;i
TW;xlcusp999i;p0p100;1905;3.75878e-05;999;i
TW;xlcusp999i;p0p100;1906;3.64071e-05;999;i
TW;xlcusp999i;p0p100;1907;3.51785e-05;999;i
TW;xlcusp999i;p0p100;1908;3.75931e-05;999;i
TW;xlcusp999i;p0p100;1909;4.01795e-05;999;i
TW;xlcusp999i;p0p100;1910;4.46143e-05;999;i
TW;xlcusp999i;p0p100;1911;4.50388e-05;999;i
TW;xlcusp999i;p0p100;1912;4.79803e-05;999;i
TW;xlcusp999i;p0p100;1913;4.84937e-05;999;i
TW;xlcusp999i;p0p100;1914;4.69094e-05;999;i
TW;xlcusp999i;p0p100;1915;4.30262e-05;999;i
TW;xlcusp999i;p0p100;1916;4.23514e-05;999;i
TW;xlcusp999i;p0p100;1917;4.35075e-05;999;i
TW;xlcusp999i;p0p100;1918;4.61761e-05;999;i
TW;xlcusp999i;p0p100;1919;5.02832e-05;999;i
TW;xlcusp999i;p0p100;1920;3.89274e-05;999;i
TW;xlcusp999i;p0p100;1921;3.95809e-05;999;i
TW;xlcusp999i;p0p100;1922;3.95315e-05;999;i
TW;xlcusp999i;p0p100;1923;3.76812e-05;999;i
TW;xlcusp999i;p0p100;1924;4.02522e-05;999;i
TW;xlcusp999i;p0p100;1925;4.13726e-05;999;i
TW;xlcusp999i;p0p100;1926;3.98827e-05;999;i
TW;xlcusp999i;p0p100;1927;3.81888e-05;999;i
TW;xlcusp999i;p0p100;1928;3.90607e-05;999;i
TW;xlcusp999i;p0p100;1929;3.93249e-05;999;i
TW;xlcusp999i;p0p100;1930;3.56779e-05;999;i
TW;xlcusp999i;p0p100;1931;3.58883e-05;999;i
TW;xlcusp999i;p0p100;1932;4.00893e-05;999;i
TW;xlcusp999i;p0p100;1933;4.35094e-05;999;i
TW;xlcusp999i;p0p100;1934;4.2556e-05;999;i
TW;xlcusp999i;p0p100;1935;4.41812e-05;999;i
TW;xlcusp999i;p0p100;1936;4.64815e-05;999;i
TW;xlcusp999i;p0p100;1937;4.79488e-05;999;i
TW;xlcusp999i;p0p100;1938;5.1773e-05;999;i
TW;xlcusp999i;p0p100;1939;5.89715e-05;999;i
TW;xlcusp999i;p0p100;1940;6.01336e-05;999;i
TW;xlcusp999i;p0p100;1941;6.01715e-05;999;i
TW;xlcusp999i;p0p100;1942;6.16814e-05;999;i
TW;xlcusp999i;p0p100;1943;7.18389e-05;999;i
TW;xlcusp999i;p0p100;1944;0.0001121264;999;i
TW;xlcusp999i;p0p100;1945;0.0003557277;999;i
TW;xlcusp999i;p0p100;1946;0.0032418009;999;i
TW;xlcusp999i;p0p100;1947;0.010478741;999;i
TW;xlcusp999i;p0p100;1948;0.06589634;999;i
TW;xlcusp999i;p0p100;1949;3.2610815;999;i
TW;xlcusp999i;p0p100;1950;7.7927504;999;i
TW;xlcusp999i;p0p100;1951;9.9087992;999;i
TW;xlcusp999i;p0p100;1952;11.309242;999;i
TW;xlcusp999i;p0p100;1953;12.613642;999;i
TW;xlcusp999i;p0p100;1954;11.350908;999;i
TW;xlcusp999i;p0p100;1955;12.623913;999;i
TW;xlcusp999i;p0p100;1956;13.826977;999;i
TW;xlcusp999i;p0p100;1957;13.578047;999;i
TW;xlcusp999i;p0p100;1958;13.447899;999;i
TW;xlcusp999i;p0p100;1959;14.654732;999;i
TW;xlcusp999i;p0p100;1960;17.196392;999;i
TW;xlcusp999i;p0p100;1961;17.685865;999;i
TW;xlcusp999i;p0p100;1962;17.968143;999;i
TW;xlcusp999i;p0p100;1963;17.85667;999;i
TW;xlcusp999i;p0p100;1964;17.669682;999;i
TW;xlcusp999i;p0p100;1965;17.449455;999;i
TW;xlcusp999i;p0p100;1966;17.240009;999;i
TW;xlcusp999i;p0p100;1967;17.481979;999;i
TW;xlcusp999i;p0p100;1968;17.767279;999;i
TW;xlcusp999i;p0p100;1969;17.909649;999;i
TW;xlcusp999i;p0p100;1970;17.644064;999;i
TW;xlcusp999i;p0p100;1971;17.243887;999;i
TW;xlcusp999i;p0p100;1972;16.956644;999;i
TW;xlcusp999i;p0p100;1973;19.944584;999;i
TW;xlcusp999i;p0p100;1974;24.59169;999;i
TW;xlcusp999i;p0p100;1975;22.627357;999;i
TW;xlcusp999i;p0p100;1976;22.235323;999;i
TW;xlcusp999i;p0p100;1977;22.37818;999;i
TW;xlcusp999i;p0p100;1978;22.143085;999;i
