country;variable;percentile;year;value;age;pop
TZ;tptinc992j;p9p100;1990;413718.46875;992;j
TZ;tptinc992j;p9p100;1991;425589.40625;992;j
TZ;tptinc992j;p9p100;1992;418090.9375;992;j
TZ;tptinc992j;p9p100;1993;421658.9375;992;j
TZ;tptinc992j;p9p100;1994;419219.875;992;j
TZ;tptinc992j;p9p100;1995;417814.65625;992;j
TZ;tptinc992j;p9p100;1996;421188.5;992;j
TZ;tptinc992j;p9p100;1997;413426.5625;992;j
TZ;tptinc992j;p9p100;1998;417139.71875;992;j
TZ;tptinc992j;p9p100;1999;420660.3125;992;j
TZ;tptinc992j;p9p100;2000;421990.53125;992;j
TZ;tptinc992j;p9p100;2001;422813.96875;992;j
TZ;tptinc992j;p9p100;2002;441400.125;992;j
TZ;tptinc992j;p9p100;2003;446303.53125;992;j
TZ;tptinc992j;p9p100;2004;456940.0;992;j
TZ;tptinc992j;p9p100;2005;463502.15625;992;j
TZ;tptinc992j;p9p100;2006;477403.3125;992;j
TZ;tptinc992j;p9p100;2007;489956.53125;992;j
TZ;tptinc992j;p9p100;2008;529039.6875;992;j
TZ;tptinc992j;p9p100;2009;562339.1875;992;j
TZ;tptinc992j;p9p100;2010;597911.875;992;j
TZ;tptinc992j;p9p100;2011;654193.1875;992;j
TZ;tptinc992j;p9p100;2012;671628.75;992;j
TZ;tptinc992j;p9p100;2013;700526.4375;992;j
TZ;tptinc992j;p9p100;2014;723375.875;992;j
TZ;tptinc992j;p9p100;2015;740287.75;992;j
TZ;tptinc992j;p9p100;2016;761899.75;992;j
TZ;tptinc992j;p9p100;2017;783550.6875;992;j
TZ;tptinc992j;p9p10;1990;413718.46875;992;j
TZ;tptinc992j;p9p10;1991;425589.40625;992;j
TZ;tptinc992j;p9p10;1992;418090.9375;992;j
TZ;tptinc992j;p9p10;1993;421658.9375;992;j
TZ;tptinc992j;p9p10;1994;419219.875;992;j
TZ;tptinc992j;p9p10;1995;417814.65625;992;j
TZ;tptinc992j;p9p10;1996;421188.5;992;j
TZ;tptinc992j;p9p10;1997;413426.5625;992;j
TZ;tptinc992j;p9p10;1998;417139.71875;992;j
TZ;tptinc992j;p9p10;1999;420660.3125;992;j
TZ;tptinc992j;p9p10;2000;421990.53125;992;j
TZ;tptinc992j;p9p10;2001;422813.96875;992;j
TZ;tptinc992j;p9p10;2002;441400.125;992;j
TZ;tptinc992j;p9p10;2003;446303.53125;992;j
TZ;tptinc992j;p9p10;2004;456940.0;992;j
TZ;tptinc992j;p9p10;2005;463502.15625;992;j
TZ;tptinc992j;p9p10;2006;477403.3125;992;j
TZ;tptinc992j;p9p10;2007;489956.53125;992;j
TZ;tptinc992j;p9p10;2008;529039.6875;992;j
TZ;tptinc992j;p9p10;2009;562339.1875;992;j
TZ;tptinc992j;p9p10;2010;597911.875;992;j
TZ;tptinc992j;p9p10;2011;654193.1875;992;j
TZ;tptinc992j;p9p10;2012;671628.75;992;j
TZ;tptinc992j;p9p10;2013;700526.4375;992;j
TZ;tptinc992j;p9p10;2014;723375.875;992;j
TZ;tptinc992j;p9p10;2015;740287.75;992;j
TZ;tptinc992j;p9p10;2016;761899.75;992;j
TZ;tptinc992j;p9p10;2017;783550.6875;992;j
TZ;tptinc992j;p99p99.1;1990;17508546.0;992;j
TZ;tptinc992j;p99p99.1;1991;18010922.0;992;j
TZ;tptinc992j;p99p99.1;1992;17918846.0;992;j
TZ;tptinc992j;p99p99.1;1993;18302154.0;992;j
TZ;tptinc992j;p99p99.1;1994;18428612.0;992;j
TZ;tptinc992j;p99p99.1;1995;18601720.0;992;j
TZ;tptinc992j;p99p99.1;1996;18992146.0;992;j
TZ;tptinc992j;p99p99.1;1997;18881398.0;992;j
TZ;tptinc992j;p99p99.1;1998;19295956.0;992;j
TZ;tptinc992j;p99p99.1;1999;19709544.0;992;j
TZ;tptinc992j;p99p99.1;2000;20027194.0;992;j
TZ;tptinc992j;p99p99.1;2001;20732006.0;992;j
TZ;tptinc992j;p99p99.1;2002;22352608.0;992;j
TZ;tptinc992j;p99p99.1;2003;23333084.0;992;j
TZ;tptinc992j;p99p99.1;2004;24654786.0;992;j
