country;variable;percentile;year;value;age;pop
UA;xlcyux999i;p0p100;1993;0.0078662494;999;i
UA;xlcyux999i;p0p100;1994;0.038000226;999;i
UA;xlcyux999i;p0p100;1995;0.17638625;999;i
UA;xlcyux999i;p0p100;1996;0.22004212;999;i
UA;xlcyux999i;p0p100;1997;0.2245717;999;i
UA;xlcyux999i;p0p100;1998;0.29587558;999;i
UA;xlcyux999i;p0p100;1999;0.49895108;999;i
UA;xlcyux999i;p0p100;2000;0.6571517;999;i
UA;xlcyux999i;p0p100;2001;0.64904124;999;i
UA;xlcyux999i;p0p100;2002;0.64354867;999;i
UA;xlcyux999i;p0p100;2003;0.64427507;999;i
UA;xlcyux999i;p0p100;2004;0.64266139;999;i
UA;xlcyux999i;p0p100;2005;0.62540042;999;i
UA;xlcyux999i;p0p100;2006;0.63335288;999;i
UA;xlcyux999i;p0p100;2007;0.6638158;999;i
UA;xlcyux999i;p0p100;2008;0.75802028;999;i
UA;xlcyux999i;p0p100;2009;1.1405015;999;i
UA;xlcyux999i;p0p100;2010;1.1721306;999;i
UA;xlcyux999i;p0p100;2011;1.2330898;999;i
UA;xlcyux999i;p0p100;2012;1.2659392;999;i
UA;xlcyux999i;p0p100;2013;1.2900761;999;i
UA;xlcyux999i;p0p100;2014;1.9348559;999;i
UA;xlcyux999i;p0p100;2015;3.507786;999;i
UA;xlcyux999i;p0p100;2016;3.8454993;999;i
UA;xlcyux999i;p0p100;2017;3.9351339;999;i
UA;xlcyux999i;p0p100;2018;4.3301086;999;i
UA;xlcusx999i;p0p100;1993;0.045325;999;i
UA;xlcusx999i;p0p100;1994;0.32751417;999;i
UA;xlcusx999i;p0p100;1995;1.473075;999;i
UA;xlcusx999i;p0p100;1996;1.8294686;999;i
UA;xlcusx999i;p0p100;1997;1.8616583;999;i
UA;xlcusx999i;p0p100;1998;2.4495416;999;i
UA;xlcusx999i;p0p100;1999;4.1304417;999;i
UA;xlcusx999i;p0p100;2000;5.4402332;999;i
UA;xlcusx999i;p0p100;2001;5.3721585;999;i
UA;xlcusx999i;p0p100;2002;5.3266249;999;i
UA;xlcusx999i;p0p100;2003;5.3326883;999;i
UA;xlcusx999i;p0p100;2004;5.3191805;999;i
UA;xlcusx999i;p0p100;2005;5.1247292;999;i
UA;xlcusx999i;p0p100;2006;5.0500002;999;i
UA;xlcusx999i;p0p100;2007;5.0500002;999;i
UA;xlcusx999i;p0p100;2008;5.2672215;999;i
UA;xlcusx999i;p0p100;2009;7.7912402;999;i
UA;xlcusx999i;p0p100;2010;7.9356394;999;i
UA;xlcusx999i;p0p100;2011;7.9675627;999;i
UA;xlcusx999i;p0p100;2012;7.9910293;999;i
UA;xlcusx999i;p0p100;2013;7.993;999;i
UA;xlcusx999i;p0p100;2014;11.88666;999;i
UA;xlcusx999i;p0p100;2015;21.844698;999;i
UA;xlcusx999i;p0p100;2016;25.551334;999;i
UA;xlcusx999i;p0p100;2017;26.596607;999;i
UA;xlcusx999i;p0p100;2018;27.639425;999;i
UA;xlcusp999i;p0p100;1987;4.4434e-06;999;i
UA;xlcusp999i;p0p100;1988;4.3627e-06;999;i
UA;xlcusp999i;p0p100;1989;4.351e-06;999;i
UA;xlcusp999i;p0p100;1990;4.8671e-06;999;i
UA;xlcusp999i;p0p100;1991;9.222e-06;999;i
UA;xlcusp999i;p0p100;1992;0.0001677256;999;i
UA;xlcusp999i;p0p100;1993;0.0056186258;999;i
UA;xlcusp999i;p0p100;1994;0.057919502;999;i
UA;xlcusp999i;p0p100;1995;0.29254478;999;i
UA;xlcusp999i;p0p100;1996;0.47640821;999;i
UA;xlcusp999i;p0p100;1997;0.55171305;999;i
UA;xlcusp999i;p0p100;1998;0.6103341;999;i
UA;xlcusp999i;p0p100;1999;0.76516283;999;i
UA;xlcusp999i;p0p100;2000;0.92042822;999;i
UA;xlcusp999i;p0p100;2001;0.98917085;999;i
UA;xlcusp999i;p0p100;2002;1.0229625;999;i
UA;xlcusp999i;p0p100;2003;1.0826024;999;i
UA;xlcusp999i;p0p100;2004;1.2143828;999;i
UA;xlcusp999i;p0p100;2005;1.4623828;999;i
UA;xlcusp999i;p0p100;2006;1.6311979;999;i
UA;xlcusp999i;p0p100;2007;1.9502857;999;i
UA;xlcusp999i;p0p100;2008;2.4664245;999;i
UA;xlcusp999i;p0p100;2009;2.7462914;999;i
UA;xlcusp999i;p0p100;2010;3.0722749;999;i
UA;xlcusp999i;p0p100;2011;3.4342976;999;i
UA;xlcusp999i;p0p100;2012;3.6328421;999;i
UA;xlcusp999i;p0p100;2013;3.7297173;999;i
UA;xlcusp999i;p0p100;2014;4.2494359;999;i
UA;xlcusp999i;p0p100;2015;5.8370996;999;i
UA;xlcusp999i;p0p100;2016;6.761137;999;i
UA;xlcusp999i;p0p100;2017;8.0928392;999;i
UA;xlcusp999i;p0p100;2018;9.1343145;999;i
UA;xlcyup999i;p0p100;1987;4.9187e-06;999;i
UA;xlcyup999i;p0p100;1988;4.3277e-06;999;i
UA;xlcyup999i;p0p100;1989;3.7919e-06;999;i
UA;xlcyup999i;p0p100;1990;3.8934e-06;999;i
UA;xlcyup999i;p0p100;1991;7.3685e-06;999;i
UA;xlcyup999i;p0p100;1992;0.0001255283;999;i
UA;xlcyup999i;p0p100;1993;0.0033979132;999;i
UA;xlcyup999i;p0p100;1994;0.028254308;999;i
UA;xlcyup999i;p0p100;1995;0.1216253;999;i
UA;xlcyup999i;p0p100;1996;0.18305698;999;i
UA;xlcyup999i;p0p100;1997;0.20295188;999;i
UA;xlcyup999i;p0p100;1998;0.22580108;999;i
UA;xlcyup999i;p0p100;1999;0.28430894;999;i
UA;xlcyup999i;p0p100;2000;0.32788143;999;i
UA;xlcyup999i;p0p100;2001;0.35486513;999;i
UA;xlcyup999i;p0p100;2002;0.37331608;999;i
UA;xlcyup999i;p0p100;2003;0.39032215;999;i
UA;xlcyup999i;p0p100;2004;0.42208534;999;i
UA;xlcyup999i;p0p100;2005;0.5024569;999;i
UA;xlcyup999i;p0p100;2006;0.55814558;999;i
UA;xlcyup999i;p0p100;2007;0.63769329;999;i
UA;xlcyup999i;p0p100;2008;0.76319003;999;i
UA;xlcyup999i;p0p100;2009;0.87204969;999;i
UA;xlcyup999i;p0p100;2010;0.92710322;999;i
UA;xlcyup999i;p0p100;2011;0.97967827;999;i
UA;xlcyup999i;p0p100;2012;1.0404699;999;i
UA;xlcyup999i;p0p100;2013;1.0650043;999;i
UA;xlcyup999i;p0p100;2014;1.2286806;999;i
UA;xlcyup999i;p0p100;2015;1.7168525;999;i
UA;xlcyup999i;p0p100;2016;2.0226836;999;i
UA;xlcyup999i;p0p100;2017;2.4821935;999;i
UA;xlcyup999i;p0p100;2018;2.8823428;999;i
UA;xlceux999i;p0p100;1999;4.4005132;999;i
UA;xlceux999i;p0p100;2000;5.0121884;999;i
UA;xlceux999i;p0p100;2001;4.8072577;999;i
UA;xlceux999i;p0p100;2002;5.0130506;999;i
UA;xlceux999i;p0p100;2003;6.0186033;999;i
UA;xlceux999i;p0p100;2004;6.6046829;999;i
UA;xlceux999i;p0p100;2005;6.3730898;999;i
UA;xlceux999i;p0p100;2006;6.3351417;999;i
UA;xlceux999i;p0p100;2007;6.9117727;999;i
UA;xlceux999i;p0p100;2008;7.7155657;999;i
UA;xlceux999i;p0p100;2009;10.823522;999;i
UA;xlceux999i;p0p100;2010;10.510155;999;i
UA;xlceux999i;p0p100;2011;11.075978;999;i
UA;xlceux999i;p0p100;2012;10.267371;999;i
UA;xlceux999i;p0p100;2013;10.612631;999;i
UA;xlceux999i;p0p100;2014;15.770432;999;i
UA;xlceux999i;p0p100;2015;24.227228;999;i
UA;xlceux999i;p0p100;2016;28.263651;999;i
UA;xlceux999i;p0p100;2017;29.971472;999;i
UA;xlceux999i;p0p100;2018;33.881115;999;i
UA;xlceup999i;p0p100;1995;0.34751832;999;i
UA;xlceup999i;p0p100;1996;0.56301153;999;i
UA;xlceup999i;p0p100;1997;0.6660952;999;i
UA;xlceup999i;p0p100;1998;0.7386989;999;i
UA;xlceup999i;p0p100;1999;0.92570442;999;i
UA;xlceup999i;p0p100;2000;1.123832;999;i
UA;xlceup999i;p0p100;2001;1.208532;999;i
UA;xlceup999i;p0p100;2002;1.2413878;999;i
UA;xlceup999i;p0p100;2003;1.3137386;999;i
UA;xlceup999i;p0p100;2004;1.4864451;999;i
UA;xlceup999i;p0p100;2005;1.8099118;999;i
UA;xlceup999i;p0p100;2006;2.0386567;999;i
UA;xlceup999i;p0p100;2007;2.4442649;999;i
UA;xlceup999i;p0p100;2008;3.0901239;999;i
UA;xlceup999i;p0p100;2009;3.4471788;999;i
UA;xlceup999i;p0p100;2010;3.8924291;999;i
UA;xlceup999i;p0p100;2011;4.4007506;999;i
UA;xlceup999i;p0p100;2012;4.6834669;999;i
UA;xlceup999i;p0p100;2013;4.8272982;999;i
UA;xlceup999i;p0p100;2014;5.5444841;999;i
UA;xlceup999i;p0p100;2015;7.5935383;999;i
UA;xlceup999i;p0p100;2016;8.8138294;999;i
UA;xlceup999i;p0p100;2017;10.637991;999;i
UA;xlceup999i;p0p100;2018;12.110982;999;i
UA;npopul999m;p0p100;1950;16008781.0;999;m
UA;npopul999m;p0p100;1951;16292328.0;999;m
UA;npopul999m;p0p100;1952;16590318.0;999;m
UA;npopul999m;p0p100;1953;16897088.0;999;m
UA;npopul999m;p0p100;1954;17208072.0;999;m
UA;npopul999m;p0p100;1955;17519672.0;999;m
UA;npopul999m;p0p100;1956;17829428.0;999;m
UA;npopul999m;p0p100;1957;18135886.0;999;m
UA;npopul999m;p0p100;1958;18438536.0;999;m
UA;npopul999m;p0p100;1959;18737520.0;999;m
UA;npopul999m;p0p100;1960;19033012.0;999;m
UA;npopul999m;p0p100;1961;19324506.0;999;m
UA;npopul999m;p0p100;1962;19610138.0;999;m
UA;npopul999m;p0p100;1963;19886528.0;999;m
UA;npopul999m;p0p100;1964;20149422.0;999;m
UA;npopul999m;p0p100;1965;20395976.0;999;m
UA;npopul999m;p0p100;1966;20624358.0;999;m
UA;npopul999m;p0p100;1967;20835704.0;999;m
UA;npopul999m;p0p100;1968;21033906.0;999;m
UA;npopul999m;p0p100;1969;21224608.0;999;m
UA;npopul999m;p0p100;1970;21411886.0;999;m
UA;npopul999m;p0p100;1971;21597318.0;999;m
UA;npopul999m;p0p100;1972;21779690.0;999;m
UA;npopul999m;p0p100;1973;21956972.0;999;m
UA;npopul999m;p0p100;1974;22125988.0;999;m
UA;npopul999m;p0p100;1975;22284530.0;999;m
UA;npopul999m;p0p100;1976;22432042.0;999;m
UA;npopul999m;p0p100;1977;22569824.0;999;m
UA;npopul999m;p0p100;1978;22699890.0;999;m
UA;npopul999m;p0p100;1979;22825062.0;999;m
UA;npopul999m;p0p100;1980;22947354.0;999;m
UA;npopul999m;p0p100;1981;23066192.0;999;m
UA;npopul999m;p0p100;1982;23180670.0;999;m
UA;npopul999m;p0p100;1983;23292000.0;999;m
UA;npopul999m;p0p100;1984;23401646.0;999;m
UA;npopul999m;p0p100;1985;23509874.0;999;m
UA;npopul999m;p0p100;1986;23616806.0;999;m
UA;npopul999m;p0p100;1987;23719634.0;999;m
UA;npopul999m;p0p100;1988;23811946.0;999;m
UA;npopul999m;p0p100;1989;23885290.0;999;m
UA;npopul999m;p0p100;1990;23933036.0;999;m
UA;npopul999m;p0p100;1991;23954576.0;999;m
UA;npopul999m;p0p100;1992;23949972.0;999;m
UA;npopul999m;p0p100;1993;23914458.0;999;m
UA;npopul999m;p0p100;1994;23842630.0;999;m
UA;npopul999m;p0p100;1995;23731788.0;999;m
UA;npopul999m;p0p100;1996;23580230.0;999;m
UA;npopul999m;p0p100;1997;23392238.0;999;m
UA;npopul999m;p0p100;1998;23178922.0;999;m
UA;npopul999m;p0p100;1999;22955406.0;999;m
UA;npopul999m;p0p100;2000;22733656.0;999;m
UA;npopul999m;p0p100;2001;22517798.0;999;m
UA;npopul999m;p0p100;2002;22308256.0;999;m
UA;npopul999m;p0p100;2003;22108644.0;999;m
UA;npopul999m;p0p100;2004;21921876.0;999;m
UA;npopul999m;p0p100;2005;21750106.0;999;m
UA;npopul999m;p0p100;2006;21595092.0;999;m
UA;npopul999m;p0p100;2007;21457512.0;999;m
UA;npopul999m;p0p100;2008;21336532.0;999;m
UA;npopul999m;p0p100;2009;21230324.0;999;m
UA;npopul999m;p0p100;2010;21136816.0;999;m
UA;npopul999m;p0p100;2011;21056342.0;999;m
UA;npopul999m;p0p100;2012;20987404.0;999;m
UA;npopul999m;p0p100;2013;20923752.0;999;m
UA;npopul999m;p0p100;2014;20857268.0;999;m
UA;npopul999m;p0p100;2015;20781964.0;999;m
UA;npopul999m;p0p100;2016;20695238.0;999;m
UA;npopul999m;p0p100;2017;20597842.0;999;m
UA;npopul999m;p0p100;2018;20491390.0;999;m
UA;npopul999i;p0p100;1950;37297648.0;999;i
UA;npopul999i;p0p100;1951;37815536.0;999;i
UA;npopul999i;p0p100;1952;38360064.0;999;i
UA;npopul999i;p0p100;1953;38915824.0;999;i
UA;npopul999i;p0p100;1954;39471404.0;999;i
UA;npopul999i;p0p100;1955;40019492.0;999;i
UA;npopul999i;p0p100;1956;40557024.0;999;i
UA;npopul999i;p0p100;1957;41085024.0;999;i
UA;npopul999i;p0p100;1958;41607892.0;999;i
UA;npopul999i;p0p100;1959;42132436.0;999;i
UA;npopul999i;p0p100;1960;42664652.0;999;i
UA;npopul999i;p0p100;1961;43206344.0;999;i
UA;npopul999i;p0p100;1962;43752232.0;999;i
UA;npopul999i;p0p100;1963;44288608.0;999;i
UA;npopul999i;p0p100;1964;44796964.0;999;i
UA;npopul999i;p0p100;1965;45264548.0;999;i
UA;npopul999i;p0p100;1966;45684980.0;999;i
UA;npopul999i;p0p100;1967;46063228.0;999;i
UA;npopul999i;p0p100;1968;46411808.0;999;i
UA;npopul999i;p0p100;1969;46749284.0;999;i
UA;npopul999i;p0p100;1970;47088856.0;999;i
UA;npopul999i;p0p100;1971;47435008.0;999;i
UA;npopul999i;p0p100;1972;47783004.0;999;i
UA;npopul999i;p0p100;1973;48125840.0;999;i
UA;npopul999i;p0p100;1974;48452624.0;999;i
UA;npopul999i;p0p100;1975;48755664.0;999;i
UA;npopul999i;p0p100;1976;49032728.0;999;i
UA;npopul999i;p0p100;1977;49287128.0;999;i
UA;npopul999i;p0p100;1978;49523312.0;999;i
UA;npopul999i;p0p100;1979;49747988.0;999;i
UA;npopul999i;p0p100;1980;49965872.0;999;i
UA;npopul999i;p0p100;1981;50176400.0;999;i
UA;npopul999i;p0p100;1982;50377072.0;999;i
UA;npopul999i;p0p100;1983;50568028.0;999;i
UA;npopul999i;p0p100;1984;50749188.0;999;i
UA;npopul999i;p0p100;1985;50919276.0;999;i
UA;npopul999i;p0p100;1986;51077456.0;999;i
UA;npopul999i;p0p100;1987;51219912.0;999;i
UA;npopul999i;p0p100;1988;51338384.0;999;i
UA;npopul999i;p0p100;1989;51422332.0;999;i
UA;npopul999i;p0p100;1990;51463104.0;999;i
UA;npopul999i;p0p100;1991;51461272.0;999;i
UA;npopul999i;p0p100;1992;51415964.0;999;i
UA;npopul999i;p0p100;1993;51316008.0;999;i
UA;npopul999i;p0p100;1994;51147772.0;999;i
UA;npopul999i;p0p100;1995;50903784.0;999;i
UA;npopul999i;p0p100;1996;50580476.0;999;i
UA;npopul999i;p0p100;1997;50187276.0;999;i
