country;variable;percentile;year;value;age;pop
UG;tptinc992j;p9p100;1989;297454.1875;992;j
UG;tptinc992j;p9p100;1990;315412.375;992;j
UG;tptinc992j;p9p100;1991;333547.46875;992;j
UG;tptinc992j;p9p100;1992;351570.53125;992;j
UG;tptinc992j;p9p100;1993;383681.28125;992;j
UG;tptinc992j;p9p100;1994;433341.0;992;j
UG;tptinc992j;p9p100;1995;475846.8125;992;j
UG;tptinc992j;p9p100;1996;511322.125;992;j
UG;tptinc992j;p9p100;1997;498505.125;992;j
UG;tptinc992j;p9p100;1998;502022.0;992;j
UG;tptinc992j;p9p100;1999;480127.0625;992;j
UG;tptinc992j;p9p100;2000;479990.3125;992;j
UG;tptinc992j;p9p100;2001;496912.59375;992;j
UG;tptinc992j;p9p100;2002;511415.65625;992;j
UG;tptinc992j;p9p100;2003;532429.9375;992;j
UG;tptinc992j;p9p100;2004;544474.0625;992;j
UG;tptinc992j;p9p100;2005;595513.5;992;j
UG;tptinc992j;p9p100;2006;612516.3125;992;j
UG;tptinc992j;p9p100;2007;637475.0;992;j
UG;tptinc992j;p9p100;2008;676959.9375;992;j
UG;tptinc992j;p9p100;2009;690065.3125;992;j
UG;tptinc992j;p9p100;2010;750468.875;992;j
UG;tptinc992j;p9p100;2011;787161.8125;992;j
UG;tptinc992j;p9p100;2012;808034.5625;992;j
UG;tptinc992j;p9p100;2013;800865.8125;992;j
UG;tptinc992j;p9p100;2014;798447.875;992;j
UG;tptinc992j;p9p100;2015;803268.3125;992;j
UG;tptinc992j;p9p100;2016;772665.125;992;j
UG;tptinc992j;p9p100;2017;768818.875;992;j
UG;tptinc992j;p9p10;1989;297454.1875;992;j
UG;tptinc992j;p9p10;1990;315412.375;992;j
UG;tptinc992j;p9p10;1991;333547.46875;992;j
UG;tptinc992j;p9p10;1992;351570.53125;992;j
UG;tptinc992j;p9p10;1993;383681.28125;992;j
UG;tptinc992j;p9p10;1994;433341.0;992;j
UG;tptinc992j;p9p10;1995;475846.8125;992;j
UG;tptinc992j;p9p10;1996;511322.125;992;j
UG;tptinc992j;p9p10;1997;498505.125;992;j
UG;tptinc992j;p9p10;1998;502022.0;992;j
UG;tptinc992j;p9p10;1999;480127.0625;992;j
UG;tptinc992j;p9p10;2000;479990.3125;992;j
UG;tptinc992j;p9p10;2001;496912.59375;992;j
