country;variable;percentile;year;value;age;pop
US-AK;afiinc992t;p90p100;1917;56503.398;992;t
US-AK;afiinc992t;p90p100;1918;44187.0;992;t
US-AK;afiinc992t;p90p100;1919;41885.5;992;t
US-AK;afiinc992t;p90p100;1920;35347.301;992;t
US-AK;afiinc992t;p90p100;1939;66561.0;992;t
US-AK;afiinc992t;p90p100;1940;73108.398;992;t
US-AK;afiinc992t;p90p100;1941;82805.102;992;t
US-AK;afiinc992t;p90p100;1942;97987.203;992;t
US-AK;afiinc992t;p90p100;1955;106741.7;992;t
US-AK;afiinc992t;p90p100;1956;106327.4;992;t
US-AK;afiinc992t;p90p100;1957;115138.5;992;t
US-AK;afiinc992t;p90p100;1958;105148.1;992;t
US-AK;afiinc992t;p90p100;1959;109884.0;992;t
US-AK;afiinc992t;p90p100;1960;125486.5;992;t
US-AK;afiinc992t;p90p100;1961;121418.4;992;t
US-AK;afiinc992t;p90p100;1962;121018.7;992;t
US-AK;afiinc992t;p90p100;1963;123358.8;992;t
US-AK;afiinc992t;p90p100;1964;137395.0;992;t
US-AK;afiinc992t;p90p100;1965;145195.41;992;t
US-AK;afiinc992t;p90p100;1966;147186.0;992;t
US-AK;afiinc992t;p90p100;1967;152496.91;992;t
US-AK;afiinc992t;p90p100;1968;153641.91;992;t
US-AK;afiinc992t;p90p100;1969;174153.3;992;t
US-AK;afiinc992t;p90p100;1970;165934.0;992;t
US-AK;afiinc992t;p90p100;1971;177437.91;992;t
US-AK;afiinc992t;p90p100;1972;172605.8;992;t
US-AK;afiinc992t;p90p100;1973;177823.0;992;t
US-AK;afiinc992t;p90p100;1974;229658.7;992;t
US-AK;afiinc992t;p90p100;1975;220327.5;992;t
US-AK;afiinc992t;p90p100;1976;233718.7;992;t
US-AK;afiinc992t;p90p100;1977;225434.59;992;t
US-AK;afiinc992t;p90p100;1978;214389.91;992;t
US-AK;afiinc992t;p90p100;1979;209252.91;992;t
US-AK;afiinc992t;p90p100;1980;212092.7;992;t
US-AK;afiinc992t;p90p100;1981;214297.3;992;t
US-AK;afiinc992t;p90p100;1982;258920.09;992;t
US-AK;afiinc992t;p90p100;1983;234397.8;992;t
US-AK;afiinc992t;p90p100;1984;229966.0;992;t
US-AK;afiinc992t;p90p100;1985;225045.41;992;t
US-AK;afiinc992t;p90p100;1986;229601.2;992;t
US-AK;afiinc992t;p90p100;1987;203986.5;992;t
US-AK;afiinc992t;p90p100;1988;222450.7;992;t
US-AK;afiinc992t;p90p100;1989;241035.0;992;t
US-AK;afiinc992t;p90p100;1990;241811.5;992;t
US-AK;afiinc992t;p90p100;1991;217454.0;992;t
US-AK;afiinc992t;p90p100;1992;220877.59;992;t
US-AK;afiinc992t;p90p100;1993;213590.8;992;t
US-AK;afiinc992t;p90p100;1994;214117.59;992;t
US-AK;afiinc992t;p90p100;1995;221841.0;992;t
US-AK;afiinc992t;p90p100;1996;229260.41;992;t
US-AK;afiinc992t;p90p100;1997;239096.59;992;t
US-AK;afiinc992t;p90p100;1998;252703.59;992;t
US-AK;afiinc992t;p90p100;1999;257404.0;992;t
US-AK;afiinc992t;p90p100;2000;268203.91;992;t
US-AK;afiinc992t;p90p100;2001;247839.41;992;t
US-AK;afiinc992t;p90p100;2002;241353.0;992;t
US-AK;afiinc992t;p90p100;2003;245221.09;992;t
US-AK;afiinc992t;p90p100;2004;252880.09;992;t
US-AK;afiinc992t;p90p100;2005;267541.5;992;t
US-AK;afiinc992t;p90p100;2006;281546.5;992;t
US-AK;afiinc992t;p90p100;2007;301141.5;992;t
US-AK;afiinc992t;p90p100;2008;280098.81;992;t
US-AK;afiinc992t;p90p100;2009;269609.91;992;t
US-AK;afiinc992t;p90p100;2010;262807.91;992;t
US-AK;afiinc992t;p90p100;2011;258343.5;992;t
US-AK;afiinc992t;p90p100;2012;277376.19;992;t
US-AK;afiinc992t;p90p100;2013;264981.59;992;t
US-AK;afiinc992t;p90p100;2014;280022.0;992;t
US-AK;afiinc992t;p90p100;2015;295684.59;992;t
US-AK;afiinc992t;p0p99;1917;48931.699;992;t
US-AK;afiinc992t;p0p99;1918;46803.602;992;t
US-AK;afiinc992t;p0p99;1919;47224.5;992;t
US-AK;afiinc992t;p0p99;1920;42277.801;992;t
US-AK;afiinc992t;p0p99;1939;46183.398;992;t
US-AK;afiinc992t;p0p99;1940;48202.898;992;t
US-AK;afiinc992t;p0p99;1941;54944.0;992;t
US-AK;afiinc992t;p0p99;1942;64324.801;992;t
US-AK;afiinc992t;p0p99;1955;70786.398;992;t
US-AK;afiinc992t;p0p99;1956;68824.797;992;t
US-AK;afiinc992t;p0p99;1957;61324.199;992;t
US-AK;afiinc992t;p0p99;1958;56251.699;992;t
US-AK;afiinc992t;p0p99;1959;56206.602;992;t
US-AK;afiinc992t;p0p99;1960;59552.699;992;t
US-AK;afiinc992t;p0p99;1961;56254.398;992;t
US-AK;afiinc992t;p0p99;1962;55764.699;992;t
US-AK;afiinc992t;p0p99;1963;58347.602;992;t
US-AK;afiinc992t;p0p99;1964;62471.5;992;t
US-AK;afiinc992t;p0p99;1965;64126.801;992;t
US-AK;afiinc992t;p0p99;1966;64889.699;992;t
US-AK;afiinc992t;p0p99;1967;67868.0;992;t
US-AK;afiinc992t;p0p99;1968;68689.797;992;t
US-AK;afiinc992t;p0p99;1969;71617.5;992;t
US-AK;afiinc992t;p0p99;1970;74099.297;992;t
US-AK;afiinc992t;p0p99;1971;73782.898;992;t
US-AK;afiinc992t;p0p99;1972;74071.0;992;t
US-AK;afiinc992t;p0p99;1973;72683.5;992;t
US-AK;afiinc992t;p0p99;1974;77441.297;992;t
US-AK;afiinc992t;p0p99;1975;96223.0;992;t
US-AK;afiinc992t;p0p99;1976;105323.0;992;t
US-AK;afiinc992t;p0p99;1977;96357.703;992;t
US-AK;afiinc992t;p0p99;1978;87627.102;992;t
US-AK;afiinc992t;p0p99;1979;81849.898;992;t
US-AK;afiinc992t;p0p99;1980;82230.5;992;t
US-AK;afiinc992t;p0p99;1981;79725.102;992;t
US-AK;afiinc992t;p0p99;1982;88613.297;992;t
US-AK;afiinc992t;p0p99;1983;96960.398;992;t
US-AK;afiinc992t;p0p99;1984;78656.398;992;t
US-AK;afiinc992t;p0p99;1985;77970.102;992;t
US-AK;afiinc992t;p0p99;1986;75755.898;992;t
US-AK;afiinc992t;p0p99;1987;66650.5;992;t
US-AK;afiinc992t;p0p99;1988;71824.203;992;t
US-AK;afiinc992t;p0p99;1989;75027.102;992;t
US-AK;afiinc992t;p0p99;1990;63712.5;992;t
US-AK;afiinc992t;p0p99;1991;63769.199;992;t
US-AK;afiinc992t;p0p99;1992;62602.5;992;t
US-AK;afiinc992t;p0p99;1993;60767.199;992;t
US-AK;afiinc992t;p0p99;1994;60146.898;992;t
US-AK;afiinc992t;p0p99;1995;63195.398;992;t
US-AK;afiinc992t;p0p99;1996;62814.602;992;t
US-AK;afiinc992t;p0p99;1997;64621.898;992;t
US-AK;afiinc992t;p0p99;1998;65155.398;992;t
US-AK;afiinc992t;p0p99;1999;68374.398;992;t
US-AK;afiinc992t;p0p99;2000;68998.5;992;t
US-AK;afiinc992t;p0p99;2001;66076.0;992;t
US-AK;afiinc992t;p0p99;2002;65571.797;992;t
US-AK;afiinc992t;p0p99;2003;65597.102;992;t
US-AK;afiinc992t;p0p99;2004;66179.898;992;t
US-AK;afiinc992t;p0p99;2005;70202.297;992;t
US-AK;afiinc992t;p0p99;2006;70450.203;992;t
US-AK;afiinc992t;p0p99;2007;74668.5;992;t
