country;variable;percentile;year;value;age;pop
US-AR;sptinc992t;p99p99.5;1917;0.035599999;992;t
US-AR;sptinc992t;p99p99.5;1918;0.0374;992;t
US-AR;sptinc992t;p99p99.5;1919;0.0405;992;t
US-AR;sptinc992t;p99p99.5;1920;0.038600001;992;t
US-AR;sptinc992t;p99p99.5;1921;0.044300001;992;t
US-AR;sptinc992t;p99p99.5;1922;0.0447;992;t
US-AR;sptinc992t;p99p99.5;1923;0.043900002;992;t
US-AR;sptinc992t;p99p99.5;1924;0.042800002;992;t
US-AR;sptinc992t;p99p99.5;1925;0.0416;992;t
US-AR;sptinc992t;p99p99.5;1926;0.043499999;992;t
US-AR;sptinc992t;p99p99.5;1927;0.0405;992;t
US-AR;sptinc992t;p99p99.5;1928;0.039700001;992;t
US-AR;sptinc992t;p99p99.5;1929;0.0392;992;t
US-AR;sptinc992t;p99p99.5;1930;0.0414;992;t
US-AR;sptinc992t;p99p99.5;1931;0.035999998;992;t
US-AR;sptinc992t;p99p99.5;1932;0.044599999;992;t
US-AR;sptinc992t;p99p99.5;1933;0.048300002;992;t
US-AR;sptinc992t;p99p99.5;1934;0.0462;992;t
US-AR;sptinc992t;p99p99.5;1935;0.044199999;992;t
US-AR;sptinc992t;p99p99.5;1936;0.044199999;992;t
US-AR;sptinc992t;p99p99.5;1937;0.042300001;992;t
US-AR;sptinc992t;p99p99.5;1938;0.045600001;992;t
US-AR;sptinc992t;p99p99.5;1939;0.046100002;992;t
US-AR;sptinc992t;p99p99.5;1940;0.045899998;992;t
US-AR;sptinc992t;p99p99.5;1941;0.045299999;992;t
US-AR;sptinc992t;p99p99.5;1942;0.033799998;992;t
US-AR;sptinc992t;p99p99.5;1943;0.033199999;992;t
US-AR;sptinc992t;p99p99.5;1944;0.0295;992;t
US-AR;sptinc992t;p99p99.5;1945;0.029100001;992;t
US-AR;sptinc992t;p99p99.5;1946;0.0381;992;t
US-AR;sptinc992t;p99p99.5;1947;0.0383;992;t
US-AR;sptinc992t;p99p99.5;1948;0.033100002;992;t
US-AR;sptinc992t;p99p99.5;1949;0.034699999;992;t
US-AR;sptinc992t;p99p99.5;1950;0.034699999;992;t
US-AR;sptinc992t;p99p99.5;1951;0.032099999;992;t
US-AR;sptinc992t;p99p99.5;1952;0.029899999;992;t
US-AR;sptinc992t;p99p99.5;1953;0.0307;992;t
US-AR;sptinc992t;p99p99.5;1954;0.033100002;992;t
US-AR;sptinc992t;p99p99.5;1955;0.0319;992;t
US-AR;sptinc992t;p99p99.5;1956;0.033399999;992;t
US-AR;sptinc992t;p99p99.5;1957;0.031099999;992;t
US-AR;sptinc992t;p99p99.5;1958;0.031800002;992;t
US-AR;sptinc992t;p99p99.5;1959;0.031500001;992;t
US-AR;sptinc992t;p99p99.5;1960;0.031300001;992;t
US-AR;sptinc992t;p99p99.5;1961;0.030300001;992;t
US-AR;sptinc992t;p99p99.5;1962;0.031399999;992;t
US-AR;sptinc992t;p99p99.5;1963;0.034000002;992;t
US-AR;sptinc992t;p99p99.5;1964;0.035100002;992;t
US-AR;sptinc992t;p99p99.5;1965;0.039500002;992;t
US-AR;sptinc992t;p99p99.5;1966;0.032900002;992;t
US-AR;sptinc992t;p99p99.5;1967;0.033799998;992;t
US-AR;sptinc992t;p99p99.5;1968;0.033599999;992;t
US-AR;sptinc992t;p99p99.5;1969;0.0308;992;t
US-AR;sptinc992t;p99p99.5;1970;0.0306;992;t
US-AR;sptinc992t;p99p99.5;1971;0.0328;992;t
US-AR;sptinc992t;p99p99.5;1972;0.033399999;992;t
US-AR;sptinc992t;p99p99.5;1973;0.033799998;992;t
US-AR;sptinc992t;p99p99.5;1974;0.0309;992;t
US-AR;sptinc992t;p99p99.5;1975;0.0317;992;t
US-AR;sptinc992t;p99p99.5;1976;0.031399999;992;t
US-AR;sptinc992t;p99p99.5;1977;0.0309;992;t
US-AR;sptinc992t;p99p99.5;1978;0.028200001;992;t
US-AR;sptinc992t;p99p99.5;1979;0.0296;992;t
US-AR;sptinc992t;p99p99.5;1980;0.0285;992;t
US-AR;sptinc992t;p99p99.5;1981;0.028200001;992;t
US-AR;sptinc992t;p99p99.5;1982;0.028100001;992;t
US-AR;sptinc992t;p99p99.5;1983;0.0287;992;t
US-AR;sptinc992t;p99p99.5;1984;0.028899999;992;t
US-AR;sptinc992t;p99p99.5;1985;0.029999999;992;t
