country;variable;percentile;year;value;age;pop
US-AZ;sptinc992t;p99p99.5;1917;0.029200001;992;t
US-AZ;sptinc992t;p99p99.5;1918;0.0275;992;t
US-AZ;sptinc992t;p99p99.5;1919;0.028899999;992;t
US-AZ;sptinc992t;p99p99.5;1920;0.0241;992;t
US-AZ;sptinc992t;p99p99.5;1921;0.0284;992;t
US-AZ;sptinc992t;p99p99.5;1922;0.0283;992;t
US-AZ;sptinc992t;p99p99.5;1923;0.0264;992;t
US-AZ;sptinc992t;p99p99.5;1924;0.0285;992;t
US-AZ;sptinc992t;p99p99.5;1925;0.031800002;992;t
US-AZ;sptinc992t;p99p99.5;1926;0.032099999;992;t
US-AZ;sptinc992t;p99p99.5;1927;0.0348;992;t
US-AZ;sptinc992t;p99p99.5;1928;0.038800001;992;t
US-AZ;sptinc992t;p99p99.5;1929;0.0394;992;t
US-AZ;sptinc992t;p99p99.5;1930;0.036400001;992;t
US-AZ;sptinc992t;p99p99.5;1931;0.0381;992;t
US-AZ;sptinc992t;p99p99.5;1932;0.0403;992;t
US-AZ;sptinc992t;p99p99.5;1933;0.0383;992;t
US-AZ;sptinc992t;p99p99.5;1934;0.039900001;992;t
US-AZ;sptinc992t;p99p99.5;1935;0.0392;992;t
US-AZ;sptinc992t;p99p99.5;1936;0.042199999;992;t
US-AZ;sptinc992t;p99p99.5;1937;0.039500002;992;t
US-AZ;sptinc992t;p99p99.5;1938;0.037;992;t
US-AZ;sptinc992t;p99p99.5;1939;0.038199998;992;t
US-AZ;sptinc992t;p99p99.5;1940;0.037599999;992;t
US-AZ;sptinc992t;p99p99.5;1941;0.034899998;992;t
US-AZ;sptinc992t;p99p99.5;1942;0.0286;992;t
US-AZ;sptinc992t;p99p99.5;1943;0.025599999;992;t
US-AZ;sptinc992t;p99p99.5;1944;0.025599999;992;t
US-AZ;sptinc992t;p99p99.5;1945;0.028899999;992;t
US-AZ;sptinc992t;p99p99.5;1946;0.034699999;992;t
US-AZ;sptinc992t;p99p99.5;1947;0.031800002;992;t
US-AZ;sptinc992t;p99p99.5;1948;0.033199999;992;t
US-AZ;sptinc992t;p99p99.5;1949;0.028200001;992;t
US-AZ;sptinc992t;p99p99.5;1950;0.036899999;992;t
US-AZ;sptinc992t;p99p99.5;1951;0.034699999;992;t
US-AZ;sptinc992t;p99p99.5;1952;0.031800002;992;t
US-AZ;sptinc992t;p99p99.5;1953;0.0254;992;t
US-AZ;sptinc992t;p99p99.5;1954;0.0288;992;t
US-AZ;sptinc992t;p99p99.5;1955;0.0319;992;t
US-AZ;sptinc992t;p99p99.5;1956;0.028200001;992;t
US-AZ;sptinc992t;p99p99.5;1957;0.0286;992;t
US-AZ;sptinc992t;p99p99.5;1958;0.0295;992;t
US-AZ;sptinc992t;p99p99.5;1959;0.032400001;992;t
US-AZ;sptinc992t;p99p99.5;1960;0.0287;992;t
US-AZ;sptinc992t;p99p99.5;1961;0.0272;992;t
US-AZ;sptinc992t;p99p99.5;1962;0.0276;992;t
