country;variable;percentile;year;value;age;pop
US-CO;sptinc992t;p99p99.5;1917;0.032900002;992;t
US-CO;sptinc992t;p99p99.5;1918;0.0295;992;t
US-CO;sptinc992t;p99p99.5;1919;0.034600001;992;t
US-CO;sptinc992t;p99p99.5;1920;0.032099999;992;t
US-CO;sptinc992t;p99p99.5;1921;0.032099999;992;t
US-CO;sptinc992t;p99p99.5;1922;0.032499999;992;t
US-CO;sptinc992t;p99p99.5;1923;0.029100001;992;t
US-CO;sptinc992t;p99p99.5;1924;0.032200001;992;t
US-CO;sptinc992t;p99p99.5;1925;0.034499999;992;t
US-CO;sptinc992t;p99p99.5;1926;0.0381;992;t
US-CO;sptinc992t;p99p99.5;1927;0.040399998;992;t
US-CO;sptinc992t;p99p99.5;1928;0.042399999;992;t
US-CO;sptinc992t;p99p99.5;1929;0.0436;992;t
US-CO;sptinc992t;p99p99.5;1930;0.039299998;992;t
US-CO;sptinc992t;p99p99.5;1931;0.040899999;992;t
US-CO;sptinc992t;p99p99.5;1932;0.040600002;992;t
US-CO;sptinc992t;p99p99.5;1933;0.038199998;992;t
US-CO;sptinc992t;p99p99.5;1934;0.045600001;992;t
US-CO;sptinc992t;p99p99.5;1935;0.0429;992;t
US-CO;sptinc992t;p99p99.5;1936;0.044199999;992;t
US-CO;sptinc992t;p99p99.5;1937;0.044399999;992;t
US-CO;sptinc992t;p99p99.5;1938;0.039900001;992;t
US-CO;sptinc992t;p99p99.5;1939;0.0425;992;t
US-CO;sptinc992t;p99p99.5;1940;0.0416;992;t
US-CO;sptinc992t;p99p99.5;1941;0.040399998;992;t
US-CO;sptinc992t;p99p99.5;1942;0.034299999;992;t
US-CO;sptinc992t;p99p99.5;1943;0.034699999;992;t
US-CO;sptinc992t;p99p99.5;1944;0.034200002;992;t
US-CO;sptinc992t;p99p99.5;1945;0.037099998;992;t
US-CO;sptinc992t;p99p99.5;1946;0.0394;992;t
US-CO;sptinc992t;p99p99.5;1947;0.037300002;992;t
US-CO;sptinc992t;p99p99.5;1948;0.037799999;992;t
US-CO;sptinc992t;p99p99.5;1949;0.032900002;992;t
US-CO;sptinc992t;p99p99.5;1950;0.036899999;992;t
US-CO;sptinc992t;p99p99.5;1951;0.034200002;992;t
US-CO;sptinc992t;p99p99.5;1952;0.033300001;992;t
US-CO;sptinc992t;p99p99.5;1953;0.0287;992;t
