country;variable;percentile;year;value;age;pop
US-DC;sptinc992t;p99p99.5;1917;0.032299999;992;t
US-DC;sptinc992t;p99p99.5;1918;0.035999998;992;t
US-DC;sptinc992t;p99p99.5;1919;0.034499999;992;t
US-DC;sptinc992t;p99p99.5;1920;0.033500001;992;t
US-DC;sptinc992t;p99p99.5;1921;0.034899998;992;t
US-DC;sptinc992t;p99p99.5;1922;0.036499999;992;t
US-DC;sptinc992t;p99p99.5;1923;0.035500001;992;t
US-DC;sptinc992t;p99p99.5;1924;0.036699999;992;t
US-DC;sptinc992t;p99p99.5;1925;0.039500002;992;t
US-DC;sptinc992t;p99p99.5;1926;0.039999999;992;t
US-DC;sptinc992t;p99p99.5;1927;0.039099999;992;t
US-DC;sptinc992t;p99p99.5;1928;0.0429;992;t
US-DC;sptinc992t;p99p99.5;1929;0.039700001;992;t
US-DC;sptinc992t;p99p99.5;1930;0.034600001;992;t
US-DC;sptinc992t;p99p99.5;1931;0.032900002;992;t
US-DC;sptinc992t;p99p99.5;1932;0.0295;992;t
US-DC;sptinc992t;p99p99.5;1933;0.030400001;992;t
US-DC;sptinc992t;p99p99.5;1934;0.033300001;992;t
US-DC;sptinc992t;p99p99.5;1935;0.0337;992;t
US-DC;sptinc992t;p99p99.5;1936;0.035599999;992;t
US-DC;sptinc992t;p99p99.5;1937;0.034200002;992;t
US-DC;sptinc992t;p99p99.5;1938;0.032000002;992;t
US-DC;sptinc992t;p99p99.5;1939;0.032600001;992;t
US-DC;sptinc992t;p99p99.5;1940;0.032400001;992;t
US-DC;sptinc992t;p99p99.5;1941;0.033500001;992;t
US-DC;sptinc992t;p99p99.5;1942;0.0286;992;t
US-DC;sptinc992t;p99p99.5;1943;0.026699999;992;t
US-DC;sptinc992t;p99p99.5;1944;0.025900001;992;t
US-DC;sptinc992t;p99p99.5;1945;0.027000001;992;t
US-DC;sptinc992t;p99p99.5;1946;0.0284;992;t
US-DC;sptinc992t;p99p99.5;1947;0.026699999;992;t
US-DC;sptinc992t;p99p99.5;1948;0.0262;992;t
US-DC;sptinc992t;p99p99.5;1949;0.025;992;t
US-DC;sptinc992t;p99p99.5;1950;0.028200001;992;t
US-DC;sptinc992t;p99p99.5;1951;0.031599998;992;t
US-DC;sptinc992t;p99p99.5;1952;0.025599999;992;t
US-DC;sptinc992t;p99p99.5;1953;0.024700001;992;t
US-DC;sptinc992t;p99p99.5;1954;0.028000001;992;t
US-DC;sptinc992t;p99p99.5;1955;0.0294;992;t
US-DC;sptinc992t;p99p99.5;1956;0.030400001;992;t
US-DC;sptinc992t;p99p99.5;1957;0.026799999;992;t
US-DC;sptinc992t;p99p99.5;1958;0.0264;992;t
US-DC;sptinc992t;p99p99.5;1959;0.035;992;t
US-DC;sptinc992t;p99p99.5;1960;0.032400001;992;t
US-DC;sptinc992t;p99p99.5;1961;0.032600001;992;t
US-DC;sptinc992t;p99p99.5;1962;0.029899999;992;t
US-DC;sptinc992t;p99p99.5;1963;0.0283;992;t
US-DC;sptinc992t;p99p99.5;1964;0.031399999;992;t
US-DC;sptinc992t;p99p99.5;1965;0.029999999;992;t
US-DC;sptinc992t;p99p99.5;1966;0.0261;992;t
US-DC;sptinc992t;p99p99.5;1967;0.026799999;992;t
US-DC;sptinc992t;p99p99.5;1968;0.0265;992;t
US-DC;sptinc992t;p99p99.5;1969;0.0275;992;t
US-DC;sptinc992t;p99p99.5;1970;0.0276;992;t
US-DC;sptinc992t;p99p99.5;1971;0.025800001;992;t
US-DC;sptinc992t;p99p99.5;1972;0.0255;992;t
US-DC;sptinc992t;p99p99.5;1973;0.028000001;992;t
US-DC;sptinc992t;p99p99.5;1974;0.028100001;992;t
US-DC;sptinc992t;p99p99.5;1975;0.0244;992;t
US-DC;sptinc992t;p99p99.5;1976;0.0263;992;t
US-DC;sptinc992t;p99p99.5;1977;0.0265;992;t
US-DC;sptinc992t;p99p99.5;1978;0.0286;992;t
US-DC;sptinc992t;p99p99.5;1979;0.031800002;992;t
US-DC;sptinc992t;p99p99.5;1980;0.032299999;992;t
US-DC;sptinc992t;p99p99.5;1981;0.0339;992;t
US-DC;sptinc992t;p99p99.5;1982;0.0374;992;t
US-DC;sptinc992t;p99p99.5;1983;0.035599999;992;t
US-DC;sptinc992t;p99p99.5;1984;0.037099998;992;t
