country;variable;percentile;year;value;age;pop
US-DE;sptinc992t;p99p99.5;1917;0.0392;992;t
US-DE;sptinc992t;p99p99.5;1918;0.039500002;992;t
US-DE;sptinc992t;p99p99.5;1919;0.0403;992;t
US-DE;sptinc992t;p99p99.5;1920;0.037099998;992;t
US-DE;sptinc992t;p99p99.5;1921;0.038899999;992;t
US-DE;sptinc992t;p99p99.5;1922;0.0403;992;t
US-DE;sptinc992t;p99p99.5;1923;0.0361;992;t
US-DE;sptinc992t;p99p99.5;1924;0.038800001;992;t
US-DE;sptinc992t;p99p99.5;1925;0.041299999;992;t
US-DE;sptinc992t;p99p99.5;1926;0.044;992;t
US-DE;sptinc992t;p99p99.5;1927;0.0537;992;t
US-DE;sptinc992t;p99p99.5;1928;0.058200002;992;t
US-DE;sptinc992t;p99p99.5;1929;0.048500001;992;t
US-DE;sptinc992t;p99p99.5;1930;0.045400001;992;t
US-DE;sptinc992t;p99p99.5;1931;0.038800001;992;t
US-DE;sptinc992t;p99p99.5;1932;0.042800002;992;t
US-DE;sptinc992t;p99p99.5;1933;0.043000001;992;t
US-DE;sptinc992t;p99p99.5;1934;0.045000002;992;t
US-DE;sptinc992t;p99p99.5;1935;0.048700001;992;t
US-DE;sptinc992t;p99p99.5;1936;0.057;992;t
US-DE;sptinc992t;p99p99.5;1937;0.054000001;992;t
US-DE;sptinc992t;p99p99.5;1938;0.048900001;992;t
US-DE;sptinc992t;p99p99.5;1939;0.050900001;992;t
US-DE;sptinc992t;p99p99.5;1940;0.048;992;t
US-DE;sptinc992t;p99p99.5;1941;0.043900002;992;t
US-DE;sptinc992t;p99p99.5;1942;0.0385;992;t
US-DE;sptinc992t;p99p99.5;1943;0.036400001;992;t
US-DE;sptinc992t;p99p99.5;1944;0.037799999;992;t
US-DE;sptinc992t;p99p99.5;1945;0.0374;992;t
US-DE;sptinc992t;p99p99.5;1946;0.038800001;992;t
US-DE;sptinc992t;p99p99.5;1947;0.035700001;992;t
US-DE;sptinc992t;p99p99.5;1948;0.037599999;992;t
US-DE;sptinc992t;p99p99.5;1949;0.036499999;992;t
US-DE;sptinc992t;p99p99.5;1950;0.0372;992;t
US-DE;sptinc992t;p99p99.5;1951;0.038600001;992;t
US-DE;sptinc992t;p99p99.5;1952;0.034400001;992;t
US-DE;sptinc992t;p99p99.5;1953;0.030999999;992;t
US-DE;sptinc992t;p99p99.5;1954;0.034200002;992;t
US-DE;sptinc992t;p99p99.5;1955;0.032000002;992;t
US-DE;sptinc992t;p99p99.5;1956;0.029100001;992;t
US-DE;sptinc992t;p99p99.5;1957;0.028000001;992;t
US-DE;sptinc992t;p99p99.5;1958;0.029999999;992;t
US-DE;sptinc992t;p99p99.5;1959;0.0298;992;t
US-DE;sptinc992t;p99p99.5;1960;0.0242;992;t
US-DE;sptinc992t;p99p99.5;1961;0.0276;992;t
US-DE;sptinc992t;p99p99.5;1962;0.0288;992;t
US-DE;sptinc992t;p99p99.5;1963;0.0288;992;t
US-DE;sptinc992t;p99p99.5;1964;0.032499999;992;t
