country;variable;percentile;year;value;age;pop
US-HI;sptinc992t;p99p99.5;1917;0.020400001;992;t
US-HI;sptinc992t;p99p99.5;1918;0.018100001;992;t
US-HI;sptinc992t;p99p99.5;1919;0.0195;992;t
US-HI;sptinc992t;p99p99.5;1920;0.0251;992;t
US-HI;sptinc992t;p99p99.5;1921;0.024700001;992;t
US-HI;sptinc992t;p99p99.5;1922;0.0228;992;t
US-HI;sptinc992t;p99p99.5;1923;0.022299999;992;t
US-HI;sptinc992t;p99p99.5;1924;0.0241;992;t
US-HI;sptinc992t;p99p99.5;1925;0.0239;992;t
US-HI;sptinc992t;p99p99.5;1926;0.024599999;992;t
US-HI;sptinc992t;p99p99.5;1927;0.0255;992;t
US-HI;sptinc992t;p99p99.5;1928;0.0251;992;t
US-HI;sptinc992t;p99p99.5;1929;0.024499999;992;t
US-HI;sptinc992t;p99p99.5;1930;0.024800001;992;t
US-HI;sptinc992t;p99p99.5;1931;0.028200001;992;t
US-HI;sptinc992t;p99p99.5;1932;0.032400001;992;t
US-HI;sptinc992t;p99p99.5;1933;0.034699999;992;t
US-HI;sptinc992t;p99p99.5;1934;0.033599999;992;t
US-HI;sptinc992t;p99p99.5;1935;0.034299999;992;t
US-HI;sptinc992t;p99p99.5;1936;0.037099998;992;t
US-HI;sptinc992t;p99p99.5;1937;0.034699999;992;t
US-HI;sptinc992t;p99p99.5;1938;0.035;992;t
US-HI;sptinc992t;p99p99.5;1939;0.033399999;992;t
US-HI;sptinc992t;p99p99.5;1940;0.034600001;992;t
US-HI;sptinc992t;p99p99.5;1941;0.0341;992;t
US-HI;sptinc992t;p99p99.5;1942;0.035500001;992;t
US-HI;sptinc992t;p99p99.5;1943;0.0337;992;t
US-HI;sptinc992t;p99p99.5;1944;0.0307;992;t
US-HI;sptinc992t;p99p99.5;1945;0.0341;992;t
US-HI;sptinc992t;p99p99.5;1946;0.0274;992;t
US-HI;sptinc992t;p99p99.5;1947;0.0255;992;t
US-HI;sptinc992t;p99p99.5;1948;0.0254;992;t
US-HI;sptinc992t;p99p99.5;1949;0.023499999;992;t
US-HI;sptinc992t;p99p99.5;1950;0.023600001;992;t
US-HI;sptinc992t;p99p99.5;1951;0.0254;992;t
US-HI;sptinc992t;p99p99.5;1952;0.020099999;992;t
US-HI;sptinc992t;p99p99.5;1953;0.0198;992;t
US-HI;sptinc992t;p99p99.5;1954;0.019400001;992;t
US-HI;sptinc992t;p99p99.5;1955;0.0218;992;t
US-HI;sptinc992t;p99p99.5;1956;0.0261;992;t
US-HI;sptinc992t;p99p99.5;1957;0.0218;992;t
US-HI;sptinc992t;p99p99.5;1958;0.0241;992;t
US-HI;sptinc992t;p99p99.5;1959;0.0221;992;t
US-HI;sptinc992t;p99p99.5;1960;0.023800001;992;t
US-HI;sptinc992t;p99p99.5;1961;0.0286;992;t
US-HI;sptinc992t;p99p99.5;1962;0.023499999;992;t
US-HI;sptinc992t;p99p99.5;1963;0.020099999;992;t
US-HI;sptinc992t;p99p99.5;1964;0.022500001;992;t
US-HI;sptinc992t;p99p99.5;1965;0.020300001;992;t
US-HI;sptinc992t;p99p99.5;1966;0.022500001;992;t
US-HI;sptinc992t;p99p99.5;1967;0.0244;992;t
US-HI;sptinc992t;p99p99.5;1968;0.0221;992;t
US-HI;sptinc992t;p99p99.5;1969;0.021299999;992;t
US-HI;sptinc992t;p99p99.5;1970;0.019300001;992;t
US-HI;sptinc992t;p99p99.5;1971;0.0199;992;t
US-HI;sptinc992t;p99p99.5;1972;0.0231;992;t
US-HI;sptinc992t;p99p99.5;1973;0.022500001;992;t
US-HI;sptinc992t;p99p99.5;1974;0.0221;992;t
US-HI;sptinc992t;p99p99.5;1975;0.0206;992;t
US-HI;sptinc992t;p99p99.5;1976;0.020099999;992;t
US-HI;sptinc992t;p99p99.5;1977;0.0217;992;t
US-HI;sptinc992t;p99p99.5;1978;0.021199999;992;t
US-HI;sptinc992t;p99p99.5;1979;0.021600001;992;t
US-HI;sptinc992t;p99p99.5;1980;0.0219;992;t
US-HI;sptinc992t;p99p99.5;1981;0.0218;992;t
US-HI;sptinc992t;p99p99.5;1982;0.020500001;992;t
US-HI;sptinc992t;p99p99.5;1983;0.0196;992;t
US-HI;sptinc992t;p99p99.5;1984;0.022399999;992;t
US-HI;sptinc992t;p99p99.5;1985;0.022500001;992;t
US-HI;sptinc992t;p99p99.5;1986;0.024700001;992;t
US-HI;sptinc992t;p99p99.5;1987;0.0252;992;t
US-HI;sptinc992t;p99p99.5;1988;0.027799999;992;t
US-HI;sptinc992t;p99p99.5;1989;0.0286;992;t
US-HI;sptinc992t;p99p99.5;1990;0.031099999;992;t
US-HI;sptinc992t;p99p99.5;1991;0.028000001;992;t
US-HI;sptinc992t;p99p99.5;1992;0.0272;992;t
US-HI;sptinc992t;p99p99.5;1993;0.0261;992;t
US-HI;sptinc992t;p99p99.5;1994;0.0261;992;t
US-HI;sptinc992t;p99p99.5;1995;0.0266;992;t
US-HI;sptinc992t;p99p99.5;1996;0.027899999;992;t
US-HI;sptinc992t;p99p99.5;1997;0.028999999;992;t
US-HI;sptinc992t;p99p99.5;1998;0.030400001;992;t
US-HI;sptinc992t;p99p99.5;1999;0.030400001;992;t
US-HI;sptinc992t;p99p99.5;2000;0.031399999;992;t
US-HI;sptinc992t;p99p99.5;2001;0.031500001;992;t
US-HI;sptinc992t;p99p99.5;2002;0.029100001;992;t
US-HI;sptinc992t;p99p99.5;2003;0.0306;992;t
US-HI;sptinc992t;p99p99.5;2004;0.032299999;992;t
US-HI;sptinc992t;p99p99.5;2005;0.0339;992;t
US-HI;sptinc992t;p99p99.5;2006;0.0328;992;t
US-HI;sptinc992t;p99p99.5;2007;0.0317;992;t
US-HI;sptinc992t;p99p99.5;2008;0.029899999;992;t
US-HI;sptinc992t;p99p99.5;2009;0.0296;992;t
US-HI;sptinc992t;p99p99.5;2010;0.026900001;992;t
US-HI;sptinc992t;p99p99.5;2011;0.0284;992;t
US-HI;sptinc992t;p99p99.5;2012;0.028999999;992;t
US-HI;sptinc992t;p99p99.5;2013;0.0294;992;t
US-HI;sptinc992t;p99p99.5;2014;0.028999999;992;t
US-HI;sptinc992t;p99p99.5;2015;0.0297;992;t
US-HI;sptinc992t;p99p100;1917;0.1217;992;t
US-HI;sptinc992t;p99p100;1918;0.0986;992;t
US-HI;sptinc992t;p99p100;1919;0.1002;992;t
US-HI;sptinc992t;p99p100;1920;0.13349999;992;t
US-HI;sptinc992t;p99p100;1921;0.1081;992;t
US-HI;sptinc992t;p99p100;1922;0.1;992;t
US-HI;sptinc992t;p99p100;1923;0.102;992;t
US-HI;sptinc992t;p99p100;1924;0.1157;992;t
US-HI;sptinc992t;p99p100;1925;0.1067;992;t
US-HI;sptinc992t;p99p100;1926;0.1129;992;t
US-HI;sptinc992t;p99p100;1927;0.1172;992;t
US-HI;sptinc992t;p99p100;1928;0.1181;992;t
US-HI;sptinc992t;p99p100;1929;0.1129;992;t
US-HI;sptinc992t;p99p100;1930;0.1119;992;t
US-HI;sptinc992t;p99p100;1931;0.1228;992;t
US-HI;sptinc992t;p99p100;1932;0.1287;992;t
US-HI;sptinc992t;p99p100;1933;0.14579999;992;t
US-HI;sptinc992t;p99p100;1934;0.1398;992;t
US-HI;sptinc992t;p99p100;1935;0.15459999;992;t
US-HI;sptinc992t;p99p100;1936;0.1742;992;t
US-HI;sptinc992t;p99p100;1937;0.148;992;t
US-HI;sptinc992t;p99p100;1938;0.1406;992;t
US-HI;sptinc992t;p99p100;1939;0.1276;992;t
US-HI;sptinc992t;p99p100;1940;0.1321;992;t
US-HI;sptinc992t;p99p100;1941;0.1296;992;t
US-HI;sptinc992t;p99p100;1942;0.13339999;992;t
US-HI;sptinc992t;p99p100;1943;0.1226;992;t
US-HI;sptinc992t;p99p100;1944;0.1008;992;t
US-HI;sptinc992t;p99p100;1945;0.1081;992;t
US-HI;sptinc992t;p99p100;1946;0.0858;992;t
US-HI;sptinc992t;p99p100;1947;0.078500003;992;t
US-HI;sptinc992t;p99p100;1948;0.085699998;992;t
US-HI;sptinc992t;p99p100;1949;0.075999998;992;t
US-HI;sptinc992t;p99p100;1950;0.081900001;992;t
US-HI;sptinc992t;p99p100;1951;0.091399997;992;t
US-HI;sptinc992t;p99p100;1952;0.065200001;992;t
US-HI;sptinc992t;p99p100;1953;0.059099998;992;t
US-HI;sptinc992t;p99p100;1954;0.064300001;992;t
US-HI;sptinc992t;p99p100;1955;0.068999998;992;t
US-HI;sptinc992t;p99p100;1956;0.080700003;992;t
US-HI;sptinc992t;p99p100;1957;0.069399998;992;t
US-HI;sptinc992t;p99p100;1958;0.076899998;992;t
US-HI;sptinc992t;p99p100;1959;0.080399998;992;t
US-HI;sptinc992t;p99p100;1960;0.085100003;992;t
US-HI;sptinc992t;p99p100;1961;0.095100001;992;t
US-HI;sptinc992t;p99p100;1962;0.071500003;992;t
US-HI;sptinc992t;p99p100;1963;0.066299997;992;t
US-HI;sptinc992t;p99p100;1964;0.069899999;992;t
US-HI;sptinc992t;p99p100;1965;0.077399999;992;t
US-HI;sptinc992t;p99p100;1966;0.071800001;992;t
US-HI;sptinc992t;p99p100;1967;0.074199997;992;t
US-HI;sptinc992t;p99p100;1968;0.073100001;992;t
US-HI;sptinc992t;p99p100;1969;0.073899999;992;t
US-HI;sptinc992t;p99p100;1970;0.060199998;992;t
US-HI;sptinc992t;p99p100;1971;0.0634;992;t
US-HI;sptinc992t;p99p100;1972;0.068499997;992;t
US-HI;sptinc992t;p99p100;1973;0.070500001;992;t
US-HI;sptinc992t;p99p100;1974;0.0726;992;t
US-HI;sptinc992t;p99p100;1975;0.062700003;992;t
US-HI;sptinc992t;p99p100;1976;0.061700001;992;t
US-HI;sptinc992t;p99p100;1977;0.065700002;992;t
US-HI;sptinc992t;p99p100;1978;0.067599997;992;t
US-HI;sptinc992t;p99p100;1979;0.072099999;992;t
US-HI;sptinc992t;p99p100;1980;0.074199997;992;t
US-HI;sptinc992t;p99p100;1981;0.0748;992;t
US-HI;sptinc992t;p99p100;1982;0.078100003;992;t
US-HI;sptinc992t;p99p100;1983;0.065800004;992;t
US-HI;sptinc992t;p99p100;1984;0.0845;992;t
US-HI;sptinc992t;p99p100;1985;0.0854;992;t
US-HI;sptinc992t;p99p100;1986;0.1084;992;t
US-HI;sptinc992t;p99p100;1987;0.093500003;992;t
US-HI;sptinc992t;p99p100;1988;0.1206;992;t
US-HI;sptinc992t;p99p100;1989;0.1175;992;t
US-HI;sptinc992t;p99p100;1990;0.1323;992;t
US-HI;sptinc992t;p99p100;1991;0.1052;992;t
US-HI;sptinc992t;p99p100;1992;0.1033;992;t
US-HI;sptinc992t;p99p100;1993;0.098300003;992;t
US-HI;sptinc992t;p99p100;1994;0.092299998;992;t
US-HI;sptinc992t;p99p100;1995;0.092500001;992;t
US-HI;sptinc992t;p99p100;1996;0.1035;992;t
US-HI;sptinc992t;p99p100;1997;0.1054;992;t
US-HI;sptinc992t;p99p100;1998;0.1108;992;t
US-HI;sptinc992t;p99p100;1999;0.1211;992;t
US-HI;sptinc992t;p99p100;2000;0.1301;992;t
US-HI;sptinc992t;p99p100;2001;0.1193;992;t
US-HI;sptinc992t;p99p100;2002;0.1111;992;t
US-HI;sptinc992t;p99p100;2003;0.1231;992;t
US-HI;sptinc992t;p99p100;2004;0.139;992;t
US-HI;sptinc992t;p99p100;2005;0.1603;992;t
US-HI;sptinc992t;p99p100;2006;0.1564;992;t
US-HI;sptinc992t;p99p100;2007;0.1549;992;t
US-HI;sptinc992t;p99p100;2008;0.1331;992;t
US-HI;sptinc992t;p99p100;2009;0.1285;992;t
US-HI;sptinc992t;p99p100;2010;0.1136;992;t
US-HI;sptinc992t;p99p100;2011;0.1114;992;t
US-HI;sptinc992t;p99p100;2012;0.1303;992;t
US-HI;sptinc992t;p99p100;2013;0.1187;992;t
US-HI;sptinc992t;p99p100;2014;0.1206;992;t
US-HI;sptinc992t;p99p100;2015;0.12800001;992;t
US-HI;sptinc992t;p99.9p99.99;1917;0.0425;992;t
US-HI;sptinc992t;p99.9p99.99;1918;0.033599999;992;t
US-HI;sptinc992t;p99.9p99.99;1919;0.033599999;992;t
US-HI;sptinc992t;p99.9p99.99;1920;0.041999999;992;t
US-HI;sptinc992t;p99.9p99.99;1921;0.032299999;992;t
US-HI;sptinc992t;p99.9p99.99;1922;0.027000001;992;t
US-HI;sptinc992t;p99.9p99.99;1923;0.030999999;992;t
US-HI;sptinc992t;p99.9p99.99;1924;0.035500001;992;t
US-HI;sptinc992t;p99.9p99.99;1925;0.0306;992;t
US-HI;sptinc992t;p99.9p99.99;1926;0.032699998;992;t
US-HI;sptinc992t;p99.9p99.99;1927;0.034400001;992;t
US-HI;sptinc992t;p99.9p99.99;1928;0.036800001;992;t
US-HI;sptinc992t;p99.9p99.99;1929;0.035100002;992;t
US-HI;sptinc992t;p99.9p99.99;1930;0.033500001;992;t
