country;variable;percentile;year;value;age;pop
US-IA;sptinc992t;p99p99.5;1917;0.032299999;992;t
US-IA;sptinc992t;p99p99.5;1918;0.038600001;992;t
US-IA;sptinc992t;p99p99.5;1919;0.039500002;992;t
US-IA;sptinc992t;p99p99.5;1920;0.055599999;992;t
US-IA;sptinc992t;p99p99.5;1921;0.0394;992;t
US-IA;sptinc992t;p99p99.5;1922;0.0352;992;t
US-IA;sptinc992t;p99p99.5;1923;0.031199999;992;t
US-IA;sptinc992t;p99p99.5;1924;0.0319;992;t
US-IA;sptinc992t;p99p99.5;1925;0.0308;992;t
US-IA;sptinc992t;p99p99.5;1926;0.031800002;992;t
US-IA;sptinc992t;p99p99.5;1927;0.0272;992;t
US-IA;sptinc992t;p99p99.5;1928;0.032200001;992;t
US-IA;sptinc992t;p99p99.5;1929;0.033100002;992;t
US-IA;sptinc992t;p99p99.5;1930;0.0341;992;t
US-IA;sptinc992t;p99p99.5;1931;0.036600001;992;t
US-IA;sptinc992t;p99p99.5;1932;0.0381;992;t
US-IA;sptinc992t;p99p99.5;1933;0.0407;992;t
US-IA;sptinc992t;p99p99.5;1934;0.042800002;992;t
US-IA;sptinc992t;p99p99.5;1935;0.0306;992;t
US-IA;sptinc992t;p99p99.5;1936;0.037700001;992;t
US-IA;sptinc992t;p99p99.5;1937;0.029200001;992;t
US-IA;sptinc992t;p99p99.5;1938;0.031599998;992;t
US-IA;sptinc992t;p99p99.5;1939;0.034899998;992;t
US-IA;sptinc992t;p99p99.5;1940;0.0348;992;t
US-IA;sptinc992t;p99p99.5;1941;0.0352;992;t
US-IA;sptinc992t;p99p99.5;1942;0.031800002;992;t
US-IA;sptinc992t;p99p99.5;1943;0.0309;992;t
US-IA;sptinc992t;p99p99.5;1944;0.028899999;992;t
US-IA;sptinc992t;p99p99.5;1945;0.0307;992;t
US-IA;sptinc992t;p99p99.5;1946;0.031599998;992;t
US-IA;sptinc992t;p99p99.5;1947;0.0361;992;t
US-IA;sptinc992t;p99p99.5;1948;0.026900001;992;t
US-IA;sptinc992t;p99p99.5;1949;0.029899999;992;t
