country;variable;percentile;year;value;age;pop
US-IL;sptinc992t;p99p99.5;1917;0.031199999;992;t
US-IL;sptinc992t;p99p99.5;1918;0.0341;992;t
US-IL;sptinc992t;p99p99.5;1919;0.037;992;t
US-IL;sptinc992t;p99p99.5;1920;0.038400002;992;t
US-IL;sptinc992t;p99p99.5;1921;0.041099999;992;t
US-IL;sptinc992t;p99p99.5;1922;0.041200001;992;t
US-IL;sptinc992t;p99p99.5;1923;0.0392;992;t
US-IL;sptinc992t;p99p99.5;1924;0.0429;992;t
US-IL;sptinc992t;p99p99.5;1925;0.045400001;992;t
US-IL;sptinc992t;p99p99.5;1926;0.044300001;992;t
US-IL;sptinc992t;p99p99.5;1927;0.044100001;992;t
US-IL;sptinc992t;p99p99.5;1928;0.045899998;992;t
US-IL;sptinc992t;p99p99.5;1929;0.041999999;992;t
US-IL;sptinc992t;p99p99.5;1930;0.040199999;992;t
US-IL;sptinc992t;p99p99.5;1931;0.0385;992;t
US-IL;sptinc992t;p99p99.5;1932;0.037599999;992;t
US-IL;sptinc992t;p99p99.5;1933;0.040399998;992;t
US-IL;sptinc992t;p99p99.5;1934;0.0416;992;t
US-IL;sptinc992t;p99p99.5;1935;0.041700002;992;t
US-IL;sptinc992t;p99p99.5;1936;0.0482;992;t
US-IL;sptinc992t;p99p99.5;1937;0.043400001;992;t
US-IL;sptinc992t;p99p99.5;1938;0.0425;992;t
US-IL;sptinc992t;p99p99.5;1939;0.043400001;992;t
US-IL;sptinc992t;p99p99.5;1940;0.0449;992;t
US-IL;sptinc992t;p99p99.5;1941;0.042800002;992;t
US-IL;sptinc992t;p99p99.5;1942;0.0381;992;t
US-IL;sptinc992t;p99p99.5;1943;0.036400001;992;t
US-IL;sptinc992t;p99p99.5;1944;0.033500001;992;t
US-IL;sptinc992t;p99p99.5;1945;0.036499999;992;t
US-IL;sptinc992t;p99p99.5;1946;0.037999999;992;t
US-IL;sptinc992t;p99p99.5;1947;0.035399999;992;t
US-IL;sptinc992t;p99p99.5;1948;0.033300001;992;t
US-IL;sptinc992t;p99p99.5;1949;0.033799998;992;t
US-IL;sptinc992t;p99p99.5;1950;0.035;992;t
US-IL;sptinc992t;p99p99.5;1951;0.0352;992;t
US-IL;sptinc992t;p99p99.5;1952;0.0309;992;t
US-IL;sptinc992t;p99p99.5;1953;0.0294;992;t
US-IL;sptinc992t;p99p99.5;1954;0.032000002;992;t
US-IL;sptinc992t;p99p99.5;1955;0.0307;992;t
US-IL;sptinc992t;p99p99.5;1956;0.0307;992;t
US-IL;sptinc992t;p99p99.5;1957;0.029300001;992;t
US-IL;sptinc992t;p99p99.5;1958;0.0306;992;t
US-IL;sptinc992t;p99p99.5;1959;0.0294;992;t
US-IL;sptinc992t;p99p99.5;1960;0.029100001;992;t
