country;variable;percentile;year;value;age;pop
US-KY;sptinc992t;p99p99.5;1917;0.033500001;992;t
US-KY;sptinc992t;p99p99.5;1918;0.0403;992;t
US-KY;sptinc992t;p99p99.5;1919;0.041099999;992;t
US-KY;sptinc992t;p99p99.5;1920;0.039000001;992;t
US-KY;sptinc992t;p99p99.5;1921;0.0416;992;t
US-KY;sptinc992t;p99p99.5;1922;0.0403;992;t
US-KY;sptinc992t;p99p99.5;1923;0.037599999;992;t
US-KY;sptinc992t;p99p99.5;1924;0.039299998;992;t
US-KY;sptinc992t;p99p99.5;1925;0.040899999;992;t
US-KY;sptinc992t;p99p99.5;1926;0.041099999;992;t
US-KY;sptinc992t;p99p99.5;1927;0.041999999;992;t
US-KY;sptinc992t;p99p99.5;1928;0.042399999;992;t
US-KY;sptinc992t;p99p99.5;1929;0.041900001;992;t
US-KY;sptinc992t;p99p99.5;1930;0.043400001;992;t
US-KY;sptinc992t;p99p99.5;1931;0.0436;992;t
US-KY;sptinc992t;p99p99.5;1932;0.046399999;992;t
US-KY;sptinc992t;p99p99.5;1933;0.046100002;992;t
US-KY;sptinc992t;p99p99.5;1934;0.046500001;992;t
US-KY;sptinc992t;p99p99.5;1935;0.043000001;992;t
US-KY;sptinc992t;p99p99.5;1936;0.045899998;992;t
US-KY;sptinc992t;p99p99.5;1937;0.040399998;992;t
US-KY;sptinc992t;p99p99.5;1938;0.0438;992;t
US-KY;sptinc992t;p99p99.5;1939;0.043499999;992;t
US-KY;sptinc992t;p99p99.5;1940;0.0451;992;t
US-KY;sptinc992t;p99p99.5;1941;0.0407;992;t
US-KY;sptinc992t;p99p99.5;1942;0.032200001;992;t
US-KY;sptinc992t;p99p99.5;1943;0.0283;992;t
US-KY;sptinc992t;p99p99.5;1944;0.0265;992;t
US-KY;sptinc992t;p99p99.5;1945;0.033;992;t
US-KY;sptinc992t;p99p99.5;1946;0.036499999;992;t
US-KY;sptinc992t;p99p99.5;1947;0.0381;992;t
US-KY;sptinc992t;p99p99.5;1948;0.034400001;992;t
US-KY;sptinc992t;p99p99.5;1949;0.031500001;992;t
US-KY;sptinc992t;p99p99.5;1950;0.0348;992;t
US-KY;sptinc992t;p99p99.5;1951;0.031399999;992;t
US-KY;sptinc992t;p99p99.5;1952;0.030400001;992;t
US-KY;sptinc992t;p99p99.5;1953;0.0286;992;t
US-KY;sptinc992t;p99p99.5;1954;0.0341;992;t
US-KY;sptinc992t;p99p99.5;1955;0.032299999;992;t
US-KY;sptinc992t;p99p99.5;1956;0.031500001;992;t
US-KY;sptinc992t;p99p99.5;1957;0.030999999;992;t
US-KY;sptinc992t;p99p99.5;1958;0.029999999;992;t
US-KY;sptinc992t;p99p99.5;1959;0.030099999;992;t
US-KY;sptinc992t;p99p99.5;1960;0.030099999;992;t
US-KY;sptinc992t;p99p99.5;1961;0.0298;992;t
US-KY;sptinc992t;p99p99.5;1962;0.029300001;992;t
US-KY;sptinc992t;p99p99.5;1963;0.0298;992;t
US-KY;sptinc992t;p99p99.5;1964;0.0317;992;t
US-KY;sptinc992t;p99p99.5;1965;0.032900002;992;t
US-KY;sptinc992t;p99p99.5;1966;0.029200001;992;t
US-KY;sptinc992t;p99p99.5;1967;0.029999999;992;t
US-KY;sptinc992t;p99p99.5;1968;0.0317;992;t
US-KY;sptinc992t;p99p99.5;1969;0.0283;992;t
US-KY;sptinc992t;p99p99.5;1970;0.028899999;992;t
US-KY;sptinc992t;p99p99.5;1971;0.0307;992;t
US-KY;sptinc992t;p99p99.5;1972;0.030200001;992;t
US-KY;sptinc992t;p99p99.5;1973;0.0298;992;t
US-KY;sptinc992t;p99p99.5;1974;0.0298;992;t
US-KY;sptinc992t;p99p99.5;1975;0.0296;992;t
US-KY;sptinc992t;p99p99.5;1976;0.027799999;992;t
US-KY;sptinc992t;p99p99.5;1977;0.027100001;992;t
US-KY;sptinc992t;p99p99.5;1978;0.028100001;992;t
US-KY;sptinc992t;p99p99.5;1979;0.0287;992;t
US-KY;sptinc992t;p99p99.5;1980;0.029100001;992;t
US-KY;sptinc992t;p99p99.5;1981;0.0286;992;t
US-KY;sptinc992t;p99p99.5;1982;0.027799999;992;t
US-KY;sptinc992t;p99p99.5;1983;0.0286;992;t
US-KY;sptinc992t;p99p99.5;1984;0.028000001;992;t
US-KY;sptinc992t;p99p99.5;1985;0.029300001;992;t
US-KY;sptinc992t;p99p99.5;1986;0.032400001;992;t
US-KY;sptinc992t;p99p99.5;1987;0.031399999;992;t
US-KY;sptinc992t;p99p99.5;1988;0.031500001;992;t
US-KY;sptinc992t;p99p99.5;1989;0.032600001;992;t
US-KY;sptinc992t;p99p99.5;1990;0.032000002;992;t
US-KY;sptinc992t;p99p99.5;1991;0.032299999;992;t
US-KY;sptinc992t;p99p99.5;1992;0.0328;992;t
US-KY;sptinc992t;p99p99.5;1993;0.033199999;992;t
US-KY;sptinc992t;p99p99.5;1994;0.033500001;992;t
US-KY;sptinc992t;p99p99.5;1995;0.034699999;992;t
US-KY;sptinc992t;p99p99.5;1996;0.034899998;992;t
US-KY;sptinc992t;p99p99.5;1997;0.035500001;992;t
US-KY;sptinc992t;p99p99.5;1998;0.036499999;992;t
US-KY;sptinc992t;p99p99.5;1999;0.036800001;992;t
US-KY;sptinc992t;p99p99.5;2000;0.035399999;992;t
US-KY;sptinc992t;p99p99.5;2001;0.035799999;992;t
US-KY;sptinc992t;p99p99.5;2002;0.0341;992;t
US-KY;sptinc992t;p99p99.5;2003;0.034699999;992;t
US-KY;sptinc992t;p99p99.5;2004;0.034499999;992;t
US-KY;sptinc992t;p99p99.5;2005;0.035;992;t
US-KY;sptinc992t;p99p99.5;2006;0.035700001;992;t
US-KY;sptinc992t;p99p99.5;2007;0.035500001;992;t
US-KY;sptinc992t;p99p99.5;2008;0.035;992;t
US-KY;sptinc992t;p99p99.5;2009;0.034899998;992;t
US-KY;sptinc992t;p99p99.5;2010;0.037999999;992;t
US-KY;sptinc992t;p99p99.5;2011;0.037700001;992;t
US-KY;sptinc992t;p99p99.5;2012;0.036899999;992;t
US-KY;sptinc992t;p99p99.5;2013;0.0372;992;t
US-KY;sptinc992t;p99p99.5;2014;0.036499999;992;t
US-KY;sptinc992t;p99p99.5;2015;0.037700001;992;t
US-KY;sptinc992t;p99p100;1917;0.1357;992;t
US-KY;sptinc992t;p99p100;1918;0.1498;992;t
US-KY;sptinc992t;p99p100;1919;0.1416;992;t
US-KY;sptinc992t;p99p100;1920;0.1398;992;t
US-KY;sptinc992t;p99p100;1921;0.1424;992;t
US-KY;sptinc992t;p99p100;1922;0.1481;992;t
US-KY;sptinc992t;p99p100;1923;0.1397;992;t
US-KY;sptinc992t;p99p100;1924;0.15360001;992;t
US-KY;sptinc992t;p99p100;1925;0.1604;992;t
US-KY;sptinc992t;p99p100;1926;0.16060001;992;t
US-KY;sptinc992t;p99p100;1927;0.17120001;992;t
US-KY;sptinc992t;p99p100;1928;0.1875;992;t
US-KY;sptinc992t;p99p100;1929;0.1846;992;t
US-KY;sptinc992t;p99p100;1930;0.1576;992;t
US-KY;sptinc992t;p99p100;1931;0.14650001;992;t
US-KY;sptinc992t;p99p100;1932;0.1568;992;t
US-KY;sptinc992t;p99p100;1933;0.16240001;992;t
US-KY;sptinc992t;p99p100;1934;0.1674;992;t
US-KY;sptinc992t;p99p100;1935;0.1613;992;t
US-KY;sptinc992t;p99p100;1936;0.1803;992;t
US-KY;sptinc992t;p99p100;1937;0.1477;992;t
US-KY;sptinc992t;p99p100;1938;0.15629999;992;t
US-KY;sptinc992t;p99p100;1939;0.1561;992;t
US-KY;sptinc992t;p99p100;1940;0.1621;992;t
US-KY;sptinc992t;p99p100;1941;0.15539999;992;t
US-KY;sptinc992t;p99p100;1942;0.12720001;992;t
US-KY;sptinc992t;p99p100;1943;0.1184;992;t
US-KY;sptinc992t;p99p100;1944;0.1032;992;t
US-KY;sptinc992t;p99p100;1945;0.122;992;t
US-KY;sptinc992t;p99p100;1946;0.1339;992;t
US-KY;sptinc992t;p99p100;1947;0.1293;992;t
US-KY;sptinc992t;p99p100;1948;0.12;992;t
US-KY;sptinc992t;p99p100;1949;0.1151;992;t
US-KY;sptinc992t;p99p100;1950;0.1225;992;t
US-KY;sptinc992t;p99p100;1951;0.1152;992;t
US-KY;sptinc992t;p99p100;1952;0.1004;992;t
US-KY;sptinc992t;p99p100;1953;0.095100001;992;t
US-KY;sptinc992t;p99p100;1954;0.1102;992;t
US-KY;sptinc992t;p99p100;1955;0.1069;992;t
US-KY;sptinc992t;p99p100;1956;0.1056;992;t
US-KY;sptinc992t;p99p100;1957;0.1163;992;t
US-KY;sptinc992t;p99p100;1958;0.1006;992;t
US-KY;sptinc992t;p99p100;1959;0.099100001;992;t
US-KY;sptinc992t;p99p100;1960;0.096900001;992;t
US-KY;sptinc992t;p99p100;1961;0.099799998;992;t
US-KY;sptinc992t;p99p100;1962;0.093599997;992;t
US-KY;sptinc992t;p99p100;1963;0.095899999;992;t
US-KY;sptinc992t;p99p100;1964;0.105;992;t
US-KY;sptinc992t;p99p100;1965;0.1041;992;t
US-KY;sptinc992t;p99p100;1966;0.097199999;992;t
US-KY;sptinc992t;p99p100;1967;0.098999999;992;t
US-KY;sptinc992t;p99p100;1968;0.1032;992;t
US-KY;sptinc992t;p99p100;1969;0.095399998;992;t
US-KY;sptinc992t;p99p100;1970;0.093099996;992;t
US-KY;sptinc992t;p99p100;1971;0.097000003;992;t
US-KY;sptinc992t;p99p100;1972;0.097499996;992;t
US-KY;sptinc992t;p99p100;1973;0.096000001;992;t
US-KY;sptinc992t;p99p100;1974;0.096299998;992;t
US-KY;sptinc992t;p99p100;1975;0.1063;992;t
US-KY;sptinc992t;p99p100;1976;0.093400002;992;t
US-KY;sptinc992t;p99p100;1977;0.093000002;992;t
US-KY;sptinc992t;p99p100;1978;0.090599999;992;t
US-KY;sptinc992t;p99p100;1979;0.095200002;992;t
US-KY;sptinc992t;p99p100;1980;0.097199999;992;t
US-KY;sptinc992t;p99p100;1981;0.098200001;992;t
US-KY;sptinc992t;p99p100;1982;0.1061;992;t
US-KY;sptinc992t;p99p100;1983;0.1114;992;t
US-KY;sptinc992t;p99p100;1984;0.1124;992;t
US-KY;sptinc992t;p99p100;1985;0.1191;992;t
US-KY;sptinc992t;p99p100;1986;0.152;992;t
US-KY;sptinc992t;p99p100;1987;0.1176;992;t
US-KY;sptinc992t;p99p100;1988;0.13420001;992;t
US-KY;sptinc992t;p99p100;1989;0.1318;992;t
US-KY;sptinc992t;p99p100;1990;0.1246;992;t
US-KY;sptinc992t;p99p100;1991;0.118;992;t
US-KY;sptinc992t;p99p100;1992;0.124;992;t
US-KY;sptinc992t;p99p100;1993;0.12639999;992;t
US-KY;sptinc992t;p99p100;1994;0.1244;992;t
