country;variable;percentile;year;value;age;pop
US-MD;sptinc992t;p99p99.5;1917;0.0449;992;t
US-MD;sptinc992t;p99p99.5;1918;0.040899999;992;t
US-MD;sptinc992t;p99p99.5;1919;0.046;992;t
US-MD;sptinc992t;p99p99.5;1920;0.043699998;992;t
US-MD;sptinc992t;p99p99.5;1921;0.0471;992;t
US-MD;sptinc992t;p99p99.5;1922;0.047200002;992;t
US-MD;sptinc992t;p99p99.5;1923;0.0427;992;t
US-MD;sptinc992t;p99p99.5;1924;0.045200001;992;t
US-MD;sptinc992t;p99p99.5;1925;0.0471;992;t
US-MD;sptinc992t;p99p99.5;1926;0.0482;992;t
US-MD;sptinc992t;p99p99.5;1927;0.050799999;992;t
US-MD;sptinc992t;p99p99.5;1928;0.050900001;992;t
US-MD;sptinc992t;p99p99.5;1929;0.049899999;992;t
US-MD;sptinc992t;p99p99.5;1930;0.045499999;992;t
US-MD;sptinc992t;p99p99.5;1931;0.042800002;992;t
US-MD;sptinc992t;p99p99.5;1932;0.041200001;992;t
US-MD;sptinc992t;p99p99.5;1933;0.0416;992;t
US-MD;sptinc992t;p99p99.5;1934;0.044;992;t
US-MD;sptinc992t;p99p99.5;1935;0.045600001;992;t
US-MD;sptinc992t;p99p99.5;1936;0.0491;992;t
US-MD;sptinc992t;p99p99.5;1937;0.0458;992;t
US-MD;sptinc992t;p99p99.5;1938;0.043099999;992;t
US-MD;sptinc992t;p99p99.5;1939;0.0436;992;t
US-MD;sptinc992t;p99p99.5;1940;0.042800002;992;t
US-MD;sptinc992t;p99p99.5;1941;0.0396;992;t
US-MD;sptinc992t;p99p99.5;1942;0.032400001;992;t
US-MD;sptinc992t;p99p99.5;1943;0.029999999;992;t
US-MD;sptinc992t;p99p99.5;1944;0.0276;992;t
US-MD;sptinc992t;p99p99.5;1945;0.0307;992;t
US-MD;sptinc992t;p99p99.5;1946;0.0348;992;t
US-MD;sptinc992t;p99p99.5;1947;0.033199999;992;t
US-MD;sptinc992t;p99p99.5;1948;0.0317;992;t
US-MD;sptinc992t;p99p99.5;1949;0.031199999;992;t
US-MD;sptinc992t;p99p99.5;1950;0.032400001;992;t
