country;variable;percentile;year;value;age;pop
US-NH;sptinc992t;p99p99.5;1917;0.033;992;t
US-NH;sptinc992t;p99p99.5;1918;0.033599999;992;t
US-NH;sptinc992t;p99p99.5;1919;0.0352;992;t
US-NH;sptinc992t;p99p99.5;1920;0.032299999;992;t
US-NH;sptinc992t;p99p99.5;1921;0.035700001;992;t
US-NH;sptinc992t;p99p99.5;1922;0.035700001;992;t
US-NH;sptinc992t;p99p99.5;1923;0.033799998;992;t
US-NH;sptinc992t;p99p99.5;1924;0.035700001;992;t
US-NH;sptinc992t;p99p99.5;1925;0.036400001;992;t
US-NH;sptinc992t;p99p99.5;1926;0.0372;992;t
US-NH;sptinc992t;p99p99.5;1927;0.039500002;992;t
US-NH;sptinc992t;p99p99.5;1928;0.040100001;992;t
US-NH;sptinc992t;p99p99.5;1929;0.040899999;992;t
US-NH;sptinc992t;p99p99.5;1930;0.037500001;992;t
US-NH;sptinc992t;p99p99.5;1931;0.038600001;992;t
US-NH;sptinc992t;p99p99.5;1932;0.039099999;992;t
US-NH;sptinc992t;p99p99.5;1933;0.037999999;992;t
US-NH;sptinc992t;p99p99.5;1934;0.037300002;992;t
US-NH;sptinc992t;p99p99.5;1935;0.0374;992;t
US-NH;sptinc992t;p99p99.5;1936;0.040899999;992;t
US-NH;sptinc992t;p99p99.5;1937;0.0394;992;t
US-NH;sptinc992t;p99p99.5;1938;0.037099998;992;t
US-NH;sptinc992t;p99p99.5;1939;0.038699999;992;t
US-NH;sptinc992t;p99p99.5;1940;0.039000001;992;t
US-NH;sptinc992t;p99p99.5;1941;0.0352;992;t
US-NH;sptinc992t;p99p99.5;1942;0.0305;992;t
US-NH;sptinc992t;p99p99.5;1943;0.028999999;992;t
US-NH;sptinc992t;p99p99.5;1944;0.026799999;992;t
US-NH;sptinc992t;p99p99.5;1945;0.0309;992;t
US-NH;sptinc992t;p99p99.5;1946;0.033199999;992;t
US-NH;sptinc992t;p99p99.5;1947;0.0284;992;t
US-NH;sptinc992t;p99p99.5;1948;0.0275;992;t
US-NH;sptinc992t;p99p99.5;1949;0.027100001;992;t
US-NH;sptinc992t;p99p99.5;1950;0.029999999;992;t
US-NH;sptinc992t;p99p99.5;1951;0.0305;992;t
US-NH;sptinc992t;p99p99.5;1952;0.0262;992;t
US-NH;sptinc992t;p99p99.5;1953;0.0275;992;t
US-NH;sptinc992t;p99p99.5;1954;0.0285;992;t
US-NH;sptinc992t;p99p99.5;1955;0.0252;992;t
US-NH;sptinc992t;p99p99.5;1956;0.023399999;992;t
US-NH;sptinc992t;p99p99.5;1957;0.0273;992;t
US-NH;sptinc992t;p99p99.5;1958;0.0251;992;t
US-NH;sptinc992t;p99p99.5;1959;0.0265;992;t
US-NH;sptinc992t;p99p99.5;1960;0.0241;992;t
US-NH;sptinc992t;p99p99.5;1961;0.0263;992;t
US-NH;sptinc992t;p99p99.5;1962;0.023700001;992;t
US-NH;sptinc992t;p99p99.5;1963;0.027000001;992;t
US-NH;sptinc992t;p99p99.5;1964;0.024700001;992;t
US-NH;sptinc992t;p99p99.5;1965;0.033300001;992;t
US-NH;sptinc992t;p99p99.5;1966;0.026000001;992;t
US-NH;sptinc992t;p99p99.5;1967;0.029300001;992;t
US-NH;sptinc992t;p99p99.5;1968;0.028899999;992;t
US-NH;sptinc992t;p99p99.5;1969;0.024;992;t
US-NH;sptinc992t;p99p99.5;1970;0.0274;992;t
US-NH;sptinc992t;p99p99.5;1971;0.031300001;992;t
US-NH;sptinc992t;p99p99.5;1972;0.026699999;992;t
US-NH;sptinc992t;p99p99.5;1973;0.025599999;992;t
US-NH;sptinc992t;p99p99.5;1974;0.025;992;t
US-NH;sptinc992t;p99p99.5;1975;0.026699999;992;t
US-NH;sptinc992t;p99p99.5;1976;0.0254;992;t
US-NH;sptinc992t;p99p99.5;1977;0.025900001;992;t
US-NH;sptinc992t;p99p99.5;1978;0.025900001;992;t
US-NH;sptinc992t;p99p99.5;1979;0.023800001;992;t
US-NH;sptinc992t;p99p99.5;1980;0.024700001;992;t
US-NH;sptinc992t;p99p99.5;1981;0.024900001;992;t
US-NH;sptinc992t;p99p99.5;1982;0.024800001;992;t
US-NH;sptinc992t;p99p99.5;1983;0.0252;992;t
US-NH;sptinc992t;p99p99.5;1984;0.0263;992;t
US-NH;sptinc992t;p99p99.5;1985;0.0273;992;t
US-NH;sptinc992t;p99p99.5;1986;0.031500001;992;t
US-NH;sptinc992t;p99p99.5;1987;0.029899999;992;t
US-NH;sptinc992t;p99p99.5;1988;0.031800002;992;t
US-NH;sptinc992t;p99p99.5;1989;0.0308;992;t
US-NH;sptinc992t;p99p99.5;1990;0.0283;992;t
US-NH;sptinc992t;p99p99.5;1991;0.0286;992;t
US-NH;sptinc992t;p99p99.5;1992;0.029999999;992;t
US-NH;sptinc992t;p99p99.5;1993;0.0309;992;t
US-NH;sptinc992t;p99p99.5;1994;0.031500001;992;t
US-NH;sptinc992t;p99p99.5;1995;0.033300001;992;t
US-NH;sptinc992t;p99p99.5;1996;0.0348;992;t
US-NH;sptinc992t;p99p99.5;1997;0.035300002;992;t
US-NH;sptinc992t;p99p99.5;1998;0.034699999;992;t
US-NH;sptinc992t;p99p99.5;1999;0.036800001;992;t
US-NH;sptinc992t;p99p99.5;2000;0.039299998;992;t
US-NH;sptinc992t;p99p99.5;2001;0.034000002;992;t
US-NH;sptinc992t;p99p99.5;2002;0.033199999;992;t
US-NH;sptinc992t;p99p99.5;2003;0.033199999;992;t
US-NH;sptinc992t;p99p99.5;2004;0.035300002;992;t
US-NH;sptinc992t;p99p99.5;2005;0.036200002;992;t
US-NH;sptinc992t;p99p99.5;2006;0.036400001;992;t
US-NH;sptinc992t;p99p99.5;2007;0.036800001;992;t
US-NH;sptinc992t;p99p99.5;2008;0.034400001;992;t
US-NH;sptinc992t;p99p99.5;2009;0.0339;992;t
US-NH;sptinc992t;p99p99.5;2010;0.030999999;992;t
US-NH;sptinc992t;p99p99.5;2011;0.032000002;992;t
US-NH;sptinc992t;p99p99.5;2012;0.033399999;992;t
US-NH;sptinc992t;p99p99.5;2013;0.032299999;992;t
US-NH;sptinc992t;p99p99.5;2014;0.034299999;992;t
US-NH;sptinc992t;p99p99.5;2015;0.034899998;992;t
US-NH;sptinc992t;p99p100;1917;0.1503;992;t
US-NH;sptinc992t;p99p100;1918;0.1443;992;t
US-NH;sptinc992t;p99p100;1919;0.1355;992;t
US-NH;sptinc992t;p99p100;1920;0.1203;992;t
US-NH;sptinc992t;p99p100;1921;0.12729999;992;t
US-NH;sptinc992t;p99p100;1922;0.1373;992;t
US-NH;sptinc992t;p99p100;1923;0.1268;992;t
US-NH;sptinc992t;p99p100;1924;0.1371;992;t
US-NH;sptinc992t;p99p100;1925;0.14219999;992;t
US-NH;sptinc992t;p99p100;1926;0.1427;992;t
US-NH;sptinc992t;p99p100;1927;0.16680001;992;t
US-NH;sptinc992t;p99p100;1928;0.17020001;992;t
US-NH;sptinc992t;p99p100;1929;0.16590001;992;t
US-NH;sptinc992t;p99p100;1930;0.1374;992;t
US-NH;sptinc992t;p99p100;1931;0.13500001;992;t
US-NH;sptinc992t;p99p100;1932;0.1363;992;t
US-NH;sptinc992t;p99p100;1933;0.1363;992;t
US-NH;sptinc992t;p99p100;1934;0.13770001;992;t
US-NH;sptinc992t;p99p100;1935;0.1384;992;t
US-NH;sptinc992t;p99p100;1936;0.1657;992;t
US-NH;sptinc992t;p99p100;1937;0.1587;992;t
US-NH;sptinc992t;p99p100;1938;0.13689999;992;t
US-NH;sptinc992t;p99p100;1939;0.146;992;t
US-NH;sptinc992t;p99p100;1940;0.1463;992;t
US-NH;sptinc992t;p99p100;1941;0.1364;992;t
US-NH;sptinc992t;p99p100;1942;0.115;992;t
US-NH;sptinc992t;p99p100;1943;0.1087;992;t
US-NH;sptinc992t;p99p100;1944;0.095399998;992;t
US-NH;sptinc992t;p99p100;1945;0.1083;992;t
US-NH;sptinc992t;p99p100;1946;0.1204;992;t
US-NH;sptinc992t;p99p100;1947;0.1036;992;t
US-NH;sptinc992t;p99p100;1948;0.093199998;992;t
US-NH;sptinc992t;p99p100;1949;0.0964;992;t
US-NH;sptinc992t;p99p100;1950;0.1072;992;t
US-NH;sptinc992t;p99p100;1951;0.1076;992;t
US-NH;sptinc992t;p99p100;1952;0.087800004;992;t
US-NH;sptinc992t;p99p100;1953;0.087200001;992;t
US-NH;sptinc992t;p99p100;1954;0.091899998;992;t
US-NH;sptinc992t;p99p100;1955;0.091799997;992;t
US-NH;sptinc992t;p99p100;1956;0.080899999;992;t
US-NH;sptinc992t;p99p100;1957;0.083300002;992;t
US-NH;sptinc992t;p99p100;1958;0.081200004;992;t
US-NH;sptinc992t;p99p100;1959;0.082099997;992;t
US-NH;sptinc992t;p99p100;1960;0.0757;992;t
US-NH;sptinc992t;p99p100;1961;0.083899997;992;t
US-NH;sptinc992t;p99p100;1962;0.075300001;992;t
US-NH;sptinc992t;p99p100;1963;0.082199998;992;t
US-NH;sptinc992t;p99p100;1964;0.084100001;992;t
US-NH;sptinc992t;p99p100;1965;0.091399997;992;t
US-NH;sptinc992t;p99p100;1966;0.084200002;992;t
US-NH;sptinc992t;p99p100;1967;0.089000002;992;t
US-NH;sptinc992t;p99p100;1968;0.093400002;992;t
US-NH;sptinc992t;p99p100;1969;0.0779;992;t
US-NH;sptinc992t;p99p100;1970;0.080600001;992;t
