country;variable;percentile;year;value;age;pop
US-NJ;sptinc992t;p99p99.5;1917;0.035300002;992;t
US-NJ;sptinc992t;p99p99.5;1918;0.0372;992;t
US-NJ;sptinc992t;p99p99.5;1919;0.0383;992;t
US-NJ;sptinc992t;p99p99.5;1920;0.0372;992;t
US-NJ;sptinc992t;p99p99.5;1921;0.042800002;992;t
US-NJ;sptinc992t;p99p99.5;1922;0.0429;992;t
US-NJ;sptinc992t;p99p99.5;1923;0.039900001;992;t
US-NJ;sptinc992t;p99p99.5;1924;0.044;992;t
US-NJ;sptinc992t;p99p99.5;1925;0.047699999;992;t
US-NJ;sptinc992t;p99p99.5;1926;0.046999998;992;t
US-NJ;sptinc992t;p99p99.5;1927;0.046700001;992;t
US-NJ;sptinc992t;p99p99.5;1928;0.048300002;992;t
US-NJ;sptinc992t;p99p99.5;1929;0.0436;992;t
US-NJ;sptinc992t;p99p99.5;1930;0.0396;992;t
US-NJ;sptinc992t;p99p99.5;1931;0.0385;992;t
US-NJ;sptinc992t;p99p99.5;1932;0.037500001;992;t
US-NJ;sptinc992t;p99p99.5;1933;0.0394;992;t
US-NJ;sptinc992t;p99p99.5;1934;0.040100001;992;t
US-NJ;sptinc992t;p99p99.5;1935;0.0403;992;t
US-NJ;sptinc992t;p99p99.5;1936;0.0436;992;t
US-NJ;sptinc992t;p99p99.5;1937;0.041299999;992;t
US-NJ;sptinc992t;p99p99.5;1938;0.039299998;992;t
US-NJ;sptinc992t;p99p99.5;1939;0.040100001;992;t
US-NJ;sptinc992t;p99p99.5;1940;0.039299998;992;t
US-NJ;sptinc992t;p99p99.5;1941;0.037500001;992;t
US-NJ;sptinc992t;p99p99.5;1942;0.032000002;992;t
US-NJ;sptinc992t;p99p99.5;1943;0.029100001;992;t
US-NJ;sptinc992t;p99p99.5;1944;0.026900001;992;t
US-NJ;sptinc992t;p99p99.5;1945;0.0305;992;t
US-NJ;sptinc992t;p99p99.5;1946;0.0328;992;t
US-NJ;sptinc992t;p99p99.5;1947;0.0295;992;t
US-NJ;sptinc992t;p99p99.5;1948;0.030300001;992;t
US-NJ;sptinc992t;p99p99.5;1949;0.029999999;992;t
US-NJ;sptinc992t;p99p99.5;1950;0.031099999;992;t
US-NJ;sptinc992t;p99p99.5;1951;0.0305;992;t
US-NJ;sptinc992t;p99p99.5;1952;0.026699999;992;t
US-NJ;sptinc992t;p99p99.5;1953;0.024499999;992;t
US-NJ;sptinc992t;p99p99.5;1954;0.027899999;992;t
US-NJ;sptinc992t;p99p99.5;1955;0.027899999;992;t
