country;variable;percentile;year;value;age;pop
US-NM;sptinc992t;p99p99.5;1917;0.033199999;992;t
US-NM;sptinc992t;p99p99.5;1918;0.033500001;992;t
US-NM;sptinc992t;p99p99.5;1919;0.030099999;992;t
US-NM;sptinc992t;p99p99.5;1920;0.0283;992;t
US-NM;sptinc992t;p99p99.5;1921;0.030200001;992;t
US-NM;sptinc992t;p99p99.5;1922;0.0317;992;t
US-NM;sptinc992t;p99p99.5;1923;0.030099999;992;t
US-NM;sptinc992t;p99p99.5;1924;0.031300001;992;t
US-NM;sptinc992t;p99p99.5;1925;0.0319;992;t
US-NM;sptinc992t;p99p99.5;1926;0.034699999;992;t
US-NM;sptinc992t;p99p99.5;1927;0.0383;992;t
US-NM;sptinc992t;p99p99.5;1928;0.041499998;992;t
US-NM;sptinc992t;p99p99.5;1929;0.043099999;992;t
US-NM;sptinc992t;p99p99.5;1930;0.045600001;992;t
US-NM;sptinc992t;p99p99.5;1931;0.044599999;992;t
US-NM;sptinc992t;p99p99.5;1932;0.048999999;992;t
US-NM;sptinc992t;p99p99.5;1933;0.046399999;992;t
US-NM;sptinc992t;p99p99.5;1934;0.046799999;992;t
US-NM;sptinc992t;p99p99.5;1935;0.041999999;992;t
US-NM;sptinc992t;p99p99.5;1936;0.044199999;992;t
US-NM;sptinc992t;p99p99.5;1937;0.042100001;992;t
US-NM;sptinc992t;p99p99.5;1938;0.043099999;992;t
US-NM;sptinc992t;p99p99.5;1939;0.044100001;992;t
US-NM;sptinc992t;p99p99.5;1940;0.042800002;992;t
US-NM;sptinc992t;p99p99.5;1941;0.039000001;992;t
US-NM;sptinc992t;p99p99.5;1942;0.033399999;992;t
US-NM;sptinc992t;p99p99.5;1943;0.029899999;992;t
US-NM;sptinc992t;p99p99.5;1944;0.0262;992;t
US-NM;sptinc992t;p99p99.5;1945;0.027799999;992;t
US-NM;sptinc992t;p99p99.5;1946;0.0339;992;t
US-NM;sptinc992t;p99p99.5;1947;0.030999999;992;t
US-NM;sptinc992t;p99p99.5;1948;0.035399999;992;t
US-NM;sptinc992t;p99p99.5;1949;0.032000002;992;t
US-NM;sptinc992t;p99p99.5;1950;0.035799999;992;t
US-NM;sptinc992t;p99p99.5;1951;0.037599999;992;t
US-NM;sptinc992t;p99p99.5;1952;0.0308;992;t
US-NM;sptinc992t;p99p99.5;1953;0.025599999;992;t
US-NM;sptinc992t;p99p99.5;1954;0.0276;992;t
US-NM;sptinc992t;p99p99.5;1955;0.027799999;992;t
US-NM;sptinc992t;p99p99.5;1956;0.0274;992;t
US-NM;sptinc992t;p99p99.5;1957;0.0272;992;t
US-NM;sptinc992t;p99p99.5;1958;0.0251;992;t
