country;variable;percentile;year;value;age;pop
US-NY;sptinc992t;p99p99.5;1917;0.0462;992;t
US-NY;sptinc992t;p99p99.5;1918;0.044;992;t
US-NY;sptinc992t;p99p99.5;1919;0.049800001;992;t
US-NY;sptinc992t;p99p99.5;1920;0.042399999;992;t
US-NY;sptinc992t;p99p99.5;1921;0.043699998;992;t
US-NY;sptinc992t;p99p99.5;1922;0.046799999;992;t
US-NY;sptinc992t;p99p99.5;1923;0.041999999;992;t
US-NY;sptinc992t;p99p99.5;1924;0.048300002;992;t
US-NY;sptinc992t;p99p99.5;1925;0.0539;992;t
US-NY;sptinc992t;p99p99.5;1926;0.0526;992;t
US-NY;sptinc992t;p99p99.5;1927;0.056600001;992;t
US-NY;sptinc992t;p99p99.5;1928;0.0623;992;t
US-NY;sptinc992t;p99p99.5;1929;0.054000001;992;t
US-NY;sptinc992t;p99p99.5;1930;0.043299999;992;t
US-NY;sptinc992t;p99p99.5;1931;0.0396;992;t
US-NY;sptinc992t;p99p99.5;1932;0.040600002;992;t
US-NY;sptinc992t;p99p99.5;1933;0.0429;992;t
US-NY;sptinc992t;p99p99.5;1934;0.044100001;992;t
US-NY;sptinc992t;p99p99.5;1935;0.045400001;992;t
US-NY;sptinc992t;p99p99.5;1936;0.050099999;992;t
US-NY;sptinc992t;p99p99.5;1937;0.044500001;992;t
US-NY;sptinc992t;p99p99.5;1938;0.040100001;992;t
US-NY;sptinc992t;p99p99.5;1939;0.042199999;992;t
US-NY;sptinc992t;p99p99.5;1940;0.0429;992;t
US-NY;sptinc992t;p99p99.5;1941;0.042199999;992;t
US-NY;sptinc992t;p99p99.5;1942;0.039799999;992;t
US-NY;sptinc992t;p99p99.5;1943;0.038800001;992;t
US-NY;sptinc992t;p99p99.5;1944;0.0385;992;t
US-NY;sptinc992t;p99p99.5;1945;0.042800002;992;t
US-NY;sptinc992t;p99p99.5;1946;0.043299999;992;t
US-NY;sptinc992t;p99p99.5;1947;0.037599999;992;t
US-NY;sptinc992t;p99p99.5;1948;0.0383;992;t
US-NY;sptinc992t;p99p99.5;1949;0.036200002;992;t
US-NY;sptinc992t;p99p99.5;1950;0.039700001;992;t
US-NY;sptinc992t;p99p99.5;1951;0.040100001;992;t
US-NY;sptinc992t;p99p99.5;1952;0.035399999;992;t
US-NY;sptinc992t;p99p99.5;1953;0.034299999;992;t
US-NY;sptinc992t;p99p99.5;1954;0.0359;992;t
US-NY;sptinc992t;p99p99.5;1955;0.0363;992;t
US-NY;sptinc992t;p99p99.5;1956;0.034200002;992;t
US-NY;sptinc992t;p99p99.5;1957;0.033300001;992;t
US-NY;sptinc992t;p99p99.5;1958;0.034000002;992;t
US-NY;sptinc992t;p99p99.5;1959;0.036699999;992;t
US-NY;sptinc992t;p99p99.5;1960;0.032699998;992;t
US-NY;sptinc992t;p99p99.5;1961;0.0339;992;t
US-NY;sptinc992t;p99p99.5;1962;0.033300001;992;t
US-NY;sptinc992t;p99p99.5;1963;0.033199999;992;t
US-NY;sptinc992t;p99p99.5;1964;0.035100002;992;t
US-NY;sptinc992t;p99p99.5;1965;0.0359;992;t
US-NY;sptinc992t;p99p99.5;1966;0.033;992;t
US-NY;sptinc992t;p99p99.5;1967;0.035700001;992;t
US-NY;sptinc992t;p99p99.5;1968;0.0361;992;t
US-NY;sptinc992t;p99p99.5;1969;0.0337;992;t
US-NY;sptinc992t;p99p99.5;1970;0.031099999;992;t
US-NY;sptinc992t;p99p99.5;1971;0.031800002;992;t
US-NY;sptinc992t;p99p99.5;1972;0.031399999;992;t
US-NY;sptinc992t;p99p99.5;1973;0.030200001;992;t
US-NY;sptinc992t;p99p99.5;1974;0.0306;992;t
US-NY;sptinc992t;p99p99.5;1975;0.0296;992;t
US-NY;sptinc992t;p99p99.5;1976;0.0306;992;t
US-NY;sptinc992t;p99p99.5;1977;0.029300001;992;t
US-NY;sptinc992t;p99p99.5;1978;0.029899999;992;t
US-NY;sptinc992t;p99p99.5;1979;0.031199999;992;t
US-NY;sptinc992t;p99p99.5;1980;0.031599998;992;t
US-NY;sptinc992t;p99p99.5;1981;0.0308;992;t
US-NY;sptinc992t;p99p99.5;1982;0.031300001;992;t
US-NY;sptinc992t;p99p99.5;1983;0.032600001;992;t
US-NY;sptinc992t;p99p99.5;1984;0.0339;992;t
