country;variable;percentile;year;value;age;pop
US-OH;sptinc992t;p99p99.5;1917;0.0317;992;t
US-OH;sptinc992t;p99p99.5;1918;0.033100002;992;t
US-OH;sptinc992t;p99p99.5;1919;0.035700001;992;t
US-OH;sptinc992t;p99p99.5;1920;0.034899998;992;t
US-OH;sptinc992t;p99p99.5;1921;0.040399998;992;t
US-OH;sptinc992t;p99p99.5;1922;0.039799999;992;t
US-OH;sptinc992t;p99p99.5;1923;0.037500001;992;t
US-OH;sptinc992t;p99p99.5;1924;0.039700001;992;t
US-OH;sptinc992t;p99p99.5;1925;0.0407;992;t
US-OH;sptinc992t;p99p99.5;1926;0.0403;992;t
US-OH;sptinc992t;p99p99.5;1927;0.0405;992;t
US-OH;sptinc992t;p99p99.5;1928;0.0403;992;t
US-OH;sptinc992t;p99p99.5;1929;0.037900001;992;t
US-OH;sptinc992t;p99p99.5;1930;0.037700001;992;t
US-OH;sptinc992t;p99p99.5;1931;0.036499999;992;t
US-OH;sptinc992t;p99p99.5;1932;0.038699999;992;t
US-OH;sptinc992t;p99p99.5;1933;0.0363;992;t
US-OH;sptinc992t;p99p99.5;1934;0.037500001;992;t
US-OH;sptinc992t;p99p99.5;1935;0.037300002;992;t
US-OH;sptinc992t;p99p99.5;1936;0.041700002;992;t
US-OH;sptinc992t;p99p99.5;1937;0.0396;992;t
US-OH;sptinc992t;p99p99.5;1938;0.038400002;992;t
US-OH;sptinc992t;p99p99.5;1939;0.0394;992;t
US-OH;sptinc992t;p99p99.5;1940;0.041000001;992;t
US-OH;sptinc992t;p99p99.5;1941;0.0392;992;t
US-OH;sptinc992t;p99p99.5;1942;0.034000002;992;t
US-OH;sptinc992t;p99p99.5;1943;0.0306;992;t
US-OH;sptinc992t;p99p99.5;1944;0.029899999;992;t
US-OH;sptinc992t;p99p99.5;1945;0.032299999;992;t
US-OH;sptinc992t;p99p99.5;1946;0.0352;992;t
US-OH;sptinc992t;p99p99.5;1947;0.032400001;992;t
US-OH;sptinc992t;p99p99.5;1948;0.032499999;992;t
US-OH;sptinc992t;p99p99.5;1949;0.032699998;992;t
US-OH;sptinc992t;p99p99.5;1950;0.032900002;992;t
US-OH;sptinc992t;p99p99.5;1951;0.033;992;t
US-OH;sptinc992t;p99p99.5;1952;0.0305;992;t
US-OH;sptinc992t;p99p99.5;1953;0.0286;992;t
US-OH;sptinc992t;p99p99.5;1954;0.0283;992;t
US-OH;sptinc992t;p99p99.5;1955;0.029300001;992;t
US-OH;sptinc992t;p99p99.5;1956;0.028100001;992;t
US-OH;sptinc992t;p99p99.5;1957;0.0283;992;t
US-OH;sptinc992t;p99p99.5;1958;0.027799999;992;t
US-OH;sptinc992t;p99p99.5;1959;0.0273;992;t
US-OH;sptinc992t;p99p99.5;1960;0.0273;992;t
US-OH;sptinc992t;p99p99.5;1961;0.0286;992;t
US-OH;sptinc992t;p99p99.5;1962;0.026699999;992;t
US-OH;sptinc992t;p99p99.5;1963;0.0284;992;t
US-OH;sptinc992t;p99p99.5;1964;0.0298;992;t
US-OH;sptinc992t;p99p99.5;1965;0.0298;992;t
US-OH;sptinc992t;p99p99.5;1966;0.028100001;992;t
US-OH;sptinc992t;p99p99.5;1967;0.029899999;992;t
US-OH;sptinc992t;p99p99.5;1968;0.029300001;992;t
US-OH;sptinc992t;p99p99.5;1969;0.0266;992;t
US-OH;sptinc992t;p99p99.5;1970;0.0254;992;t
