country;variable;percentile;year;value;age;pop
US-OK;sptinc992t;p99p99.5;1917;0.034000002;992;t
US-OK;sptinc992t;p99p99.5;1918;0.0317;992;t
US-OK;sptinc992t;p99p99.5;1919;0.034899998;992;t
US-OK;sptinc992t;p99p99.5;1920;0.0383;992;t
US-OK;sptinc992t;p99p99.5;1921;0.0383;992;t
US-OK;sptinc992t;p99p99.5;1922;0.042300001;992;t
US-OK;sptinc992t;p99p99.5;1923;0.037;992;t
US-OK;sptinc992t;p99p99.5;1924;0.034200002;992;t
US-OK;sptinc992t;p99p99.5;1925;0.044199999;992;t
US-OK;sptinc992t;p99p99.5;1926;0.045000002;992;t
US-OK;sptinc992t;p99p99.5;1927;0.044199999;992;t
US-OK;sptinc992t;p99p99.5;1928;0.043099999;992;t
US-OK;sptinc992t;p99p99.5;1929;0.043000001;992;t
US-OK;sptinc992t;p99p99.5;1930;0.043000001;992;t
US-OK;sptinc992t;p99p99.5;1931;0.040399998;992;t
US-OK;sptinc992t;p99p99.5;1932;0.047200002;992;t
US-OK;sptinc992t;p99p99.5;1933;0.046599999;992;t
US-OK;sptinc992t;p99p99.5;1934;0.048900001;992;t
US-OK;sptinc992t;p99p99.5;1935;0.044500001;992;t
US-OK;sptinc992t;p99p99.5;1936;0.047499999;992;t
US-OK;sptinc992t;p99p99.5;1937;0.043299999;992;t
US-OK;sptinc992t;p99p99.5;1938;0.0429;992;t
US-OK;sptinc992t;p99p99.5;1939;0.0451;992;t
US-OK;sptinc992t;p99p99.5;1940;0.043499999;992;t
US-OK;sptinc992t;p99p99.5;1941;0.0429;992;t
US-OK;sptinc992t;p99p99.5;1942;0.033;992;t
US-OK;sptinc992t;p99p99.5;1943;0.0297;992;t
US-OK;sptinc992t;p99p99.5;1944;0.0244;992;t
US-OK;sptinc992t;p99p99.5;1945;0.029200001;992;t
US-OK;sptinc992t;p99p99.5;1946;0.030099999;992;t
US-OK;sptinc992t;p99p99.5;1947;0.031099999;992;t
US-OK;sptinc992t;p99p99.5;1948;0.0383;992;t
US-OK;sptinc992t;p99p99.5;1949;0.036800001;992;t
US-OK;sptinc992t;p99p99.5;1950;0.040399998;992;t
US-OK;sptinc992t;p99p99.5;1951;0.036600001;992;t
US-OK;sptinc992t;p99p99.5;1952;0.031399999;992;t
US-OK;sptinc992t;p99p99.5;1953;0.0328;992;t
US-OK;sptinc992t;p99p99.5;1954;0.034000002;992;t
US-OK;sptinc992t;p99p99.5;1955;0.033300001;992;t
US-OK;sptinc992t;p99p99.5;1956;0.032000002;992;t
US-OK;sptinc992t;p99p99.5;1957;0.034400001;992;t
US-OK;sptinc992t;p99p99.5;1958;0.029200001;992;t
US-OK;sptinc992t;p99p99.5;1959;0.031300001;992;t
US-OK;sptinc992t;p99p99.5;1960;0.030300001;992;t
US-OK;sptinc992t;p99p99.5;1961;0.0306;992;t
US-OK;sptinc992t;p99p99.5;1962;0.030999999;992;t
US-OK;sptinc992t;p99p99.5;1963;0.031599998;992;t
US-OK;sptinc992t;p99p99.5;1964;0.0348;992;t
US-OK;sptinc992t;p99p99.5;1965;0.035599999;992;t
US-OK;sptinc992t;p99p99.5;1966;0.0306;992;t
US-OK;sptinc992t;p99p99.5;1967;0.033799998;992;t
US-OK;sptinc992t;p99p99.5;1968;0.032200001;992;t
US-OK;sptinc992t;p99p99.5;1969;0.030099999;992;t
US-OK;sptinc992t;p99p99.5;1970;0.027899999;992;t
US-OK;sptinc992t;p99p99.5;1971;0.028899999;992;t
US-OK;sptinc992t;p99p99.5;1972;0.0296;992;t
US-OK;sptinc992t;p99p99.5;1973;0.0297;992;t
US-OK;sptinc992t;p99p99.5;1974;0.0294;992;t
US-OK;sptinc992t;p99p99.5;1975;0.0295;992;t
US-OK;sptinc992t;p99p99.5;1976;0.029200001;992;t
US-OK;sptinc992t;p99p99.5;1977;0.0294;992;t
US-OK;sptinc992t;p99p99.5;1978;0.030200001;992;t
US-OK;sptinc992t;p99p99.5;1979;0.029300001;992;t
US-OK;sptinc992t;p99p99.5;1980;0.0309;992;t
US-OK;sptinc992t;p99p99.5;1981;0.0308;992;t
US-OK;sptinc992t;p99p99.5;1982;0.029200001;992;t
US-OK;sptinc992t;p99p99.5;1983;0.0294;992;t
US-OK;sptinc992t;p99p99.5;1984;0.030999999;992;t
US-OK;sptinc992t;p99p99.5;1985;0.030099999;992;t
US-OK;sptinc992t;p99p99.5;1986;0.0297;992;t
US-OK;sptinc992t;p99p99.5;1987;0.0286;992;t
US-OK;sptinc992t;p99p99.5;1988;0.029300001;992;t
US-OK;sptinc992t;p99p99.5;1989;0.0298;992;t
US-OK;sptinc992t;p99p99.5;1990;0.0306;992;t
US-OK;sptinc992t;p99p99.5;1991;0.0308;992;t
US-OK;sptinc992t;p99p99.5;1992;0.0309;992;t
US-OK;sptinc992t;p99p99.5;1993;0.0307;992;t
US-OK;sptinc992t;p99p99.5;1994;0.0308;992;t
US-OK;sptinc992t;p99p99.5;1995;0.031800002;992;t
US-OK;sptinc992t;p99p99.5;1996;0.032499999;992;t
US-OK;sptinc992t;p99p99.5;1997;0.034000002;992;t
US-OK;sptinc992t;p99p99.5;1998;0.035;992;t
US-OK;sptinc992t;p99p99.5;1999;0.035599999;992;t
US-OK;sptinc992t;p99p99.5;2000;0.034899998;992;t
US-OK;sptinc992t;p99p99.5;2001;0.035100002;992;t
US-OK;sptinc992t;p99p99.5;2002;0.032699998;992;t
US-OK;sptinc992t;p99p99.5;2003;0.0328;992;t
US-OK;sptinc992t;p99p99.5;2004;0.033399999;992;t
US-OK;sptinc992t;p99p99.5;2005;0.0339;992;t
US-OK;sptinc992t;p99p99.5;2006;0.0352;992;t
US-OK;sptinc992t;p99p99.5;2007;0.035799999;992;t
US-OK;sptinc992t;p99p99.5;2008;0.034899998;992;t
US-OK;sptinc992t;p99p99.5;2009;0.035100002;992;t
US-OK;sptinc992t;p99p99.5;2010;0.036600001;992;t
US-OK;sptinc992t;p99p99.5;2011;0.038699999;992;t
US-OK;sptinc992t;p99p99.5;2012;0.038600001;992;t
US-OK;sptinc992t;p99p99.5;2013;0.035700001;992;t
US-OK;sptinc992t;p99p99.5;2014;0.035799999;992;t
US-OK;sptinc992t;p99p99.5;2015;0.034400001;992;t
US-OK;sptinc992t;p99p100;1917;0.1426;992;t
US-OK;sptinc992t;p99p100;1918;0.1128;992;t
US-OK;sptinc992t;p99p100;1919;0.12899999;992;t
US-OK;sptinc992t;p99p100;1920;0.1443;992;t
US-OK;sptinc992t;p99p100;1921;0.1301;992;t
US-OK;sptinc992t;p99p100;1922;0.1595;992;t
US-OK;sptinc992t;p99p100;1923;0.1293;992;t
